word,class
dusky,hard
backward,hard
transparent,hard
liquid,hard
ripe,hard
crooked,hard
bushy,hard
character,abstract
honour,abstract
conduct,abstract
respect,abstract
worthy,abstract
temper,abstract
innocent,abstract
shame,abstract
admiration,abstract
manners,abstract
dignity,abstract
guilty,abstract
ashamed,abstract
virtue,abstract
sin,abstract
moral,abstract
wicked,abstract
contempt,abstract
respectable,abstract
goodness,abstract
admired,abstract
principle,abstract
reproach,abstract
innocence,abstract
disgrace,abstract
admire,abstract
reputation,abstract
guilt,abstract
vice,abstract
merit,abstract
esteem,abstract
unworthy,abstract
virtuous,abstract
foul,abstract
dignified,abstract
respected,abstract
despise,abstract
despised,abstract
malice,abstract
nobility,abstract
excellence,abstract
esteemed,abstract
wickedness,abstract
morality,abstract
integrity,abstract
malicious,abstract
valour,abstract
infamous,abstract
reproof,abstract
disgraceful,abstract
disgraced,abstract
sinful,abstract
malignant,abstract
sordid,abstract
notorious,abstract
shameful,abstract
contemptible,abstract
etiquette,abstract
infamy,abstract
righteous,abstract
iniquity,abstract
corruption,abstract
rectitude,abstract
baseness,abstract
perverse,abstract
corrupt,abstract
faultless,abstract
chaste,abstract
laudable,abstract
outrageous,abstract
pernicious,abstract
scandalous,abstract
despicable,abstract
guiltless,abstract
unpardonable,abstract
depravity,abstract
villainy,abstract
disdained,abstract
magnanimous,abstract
depraved,abstract
malignity,abstract
magnanimity,abstract
reprobate,abstract
misconduct,abstract
degenerate,abstract
tainted,abstract
ignominious,abstract
licentious,abstract
corrupted,abstract
heinous,abstract
ignominy,abstract
righteousness,abstract
flagrant,abstract
immoral,abstract
unwholesome,abstract
irreproachable,abstract
indecent,abstract
iniquitous,abstract
reprove,abstract
debased,abstract
chastity,abstract
reputable,abstract
inexcusable,abstract
debauchery,abstract
licentiousness,abstract
perverseness,abstract
untainted,abstract
debauch,abstract
badness,abstract
turpitude,abstract
incorruptible,abstract
ribaldry,abstract
corrupting,abstract
debauched,abstract
uncorrupted,abstract
undefiled,abstract
lewd,abstract
corruptible,abstract
correct,abstract
prejudice,abstract
partial,abstract
disinterested,abstract
partiality,abstract
prejudiced,abstract
detached,abstract
bias,abstract
impartial,abstract
inveterate,abstract
detachment,abstract
bigotry,abstract
disinterestedness,abstract
prepossessed,abstract
impartiality,abstract
prepossession,abstract
prejudicial,abstract
bigot,abstract
prepossess,abstract
sober-minded,abstract
heart,abstract
feeling,abstract
passion,abstract
bosom,abstract
emotion,abstract
sentiment,abstract
ardent,abstract
coldly,abstract
pang,abstract
blushing,abstract
affect,abstract
passionately,abstract
ardour,abstract
pathetic,abstract
sensibility,abstract
heartless,abstract
sentimental,abstract
fervour,abstract
vehemently,abstract
fervent,abstract
fervently,abstract
vehement,abstract
impassioned,abstract
zealous,abstract
unfeeling,abstract
ecstasy,abstract
ardently,abstract
insensibility,abstract
callous,abstract
fervid,abstract
hard-hearted,abstract
pathetically,abstract
feelingly,abstract
cold-blooded,abstract
tearless,abstract
ebullition,abstract
heartlessness,abstract
cold-hearted,abstract
unblushing,abstract
sentimentality,abstract
dispassionate,abstract
dispassionately,abstract
fervency,abstract
ardor,abstract
passioned,abstract
sentimentally,abstract
callousness,abstract
mawkish,abstract
unimpassioned,abstract
frigidity,abstract
unsentimental,abstract
sentimentalist,abstract
master-passion,abstract
gentle,abstract
pride,abstract
proud,abstract
proper,abstract
agreeable,abstract
humble,abstract
becoming,abstract
sensible,abstract
vanity,abstract
gracious,abstract
elegant,abstract
vulgar,abstract
delicacy,abstract
reserve,abstract
subdued,abstract
mild,abstract
reserved,abstract
simplicity,abstract
reasonable,abstract
haughty,abstract
caution,abstract
courtesy,abstract
polite,abstract
modest,abstract
prudent,abstract
coarse,abstract
indulge,abstract
sober,abstract
propriety,abstract
indulgence,abstract
refined,abstract
decent,abstract
rash,abstract
politeness,abstract
cautious,abstract
boast,abstract
superiority,abstract
moderate,abstract
restraint,abstract
discretion,abstract
humility,abstract
courteous,abstract
restrain,abstract
excess,abstract
modesty,abstract
civility,abstract
gentleness,abstract
restrained,abstract
insolent,abstract
extravagant,abstract
deference,abstract
thoughtless,abstract
appropriate,abstract
impertinent,abstract
insolence,abstract
softness,abstract
excessive,abstract
refinement,abstract
judicious,abstract
impetuous,abstract
extravagance,abstract
considerate,abstract
gross,abstract
genteel,abstract
affectation,abstract
presumption,abstract
impertinence,abstract
discreet,abstract
condescension,abstract
improper,abstract
scrupulous,abstract
impudence,abstract
rudeness,abstract
conceit,abstract
impudent,abstract
decorum,abstract
conceited,abstract
orderly,abstract
pompous,abstract
presumptuous,abstract
profligate,abstract
decency,abstract
wanton,abstract
affront,abstract
impropriety,abstract
prodigal,abstract
condescending,abstract
moderation,abstract
ungracious,abstract
demure,abstract
uncouth,abstract
unrestrained,abstract
unbecoming,abstract
solicitous,abstract
indiscreet,abstract
arrogance,abstract
haughtiness,abstract
decorous,abstract
unseemly,abstract
temperate,abstract
petulance,abstract
arrogant,abstract
supercilious,abstract
inconsiderate,abstract
petulant,abstract
mildness,abstract
nicety,abstract
overbearing,abstract
ostentation,abstract
sobriety,abstract
urbanity,abstract
conformity,abstract
disorderly,abstract
intemperance,abstract
unassuming,abstract
indecent,abstract
indelicate,abstract
intemperate,abstract
unrelenting,abstract
seemly,abstract
circumspection,abstract
indecorous,abstract
prodigality,abstract
circumspect,abstract
wantonness,abstract
immoderate,abstract
incivility,abstract
indelicacy,abstract
boastful,abstract
rusticity,abstract
grossness,abstract
bragging,abstract
indecency,abstract
superciliousness,abstract
immodest,abstract
ungenteel,abstract
