docid	allcopiesofwork	author	authordate	category	copiesin25yrs	enumcron	firstpub	gender	genres	hathiadvent	imprint	inferreddate	latestcomp	nationality	pseudonym	realname	shorttitle	subjects
uiuo.ark+=13960=t9z03qj2x	3	Ollier, Charles	1788-1859.	longfiction	3	v.1	1842.0	m		contemporary	London;Richard Bentley;1842.	1842	1842	uk			Ferrers	
uc1.b3460299	1	Winter, Léon de	1954-	shortfiction	1		1985.0	m	Fiction	contemporary	New York|Vehicle Editions|1985.	1985	1985	ne			The day before yesterday : six stories	
njp.32101066591742	3	Lamb, Caroline, Lady	1785-1828.	longfiction	3	vol.2	1823.0	f	Fiction	contemporary	London;J. Murray;1823.	1823	1823				Ada Reis : a tale	
uc1.b4588945	2	O'Donovan, Anne		shortfiction	2		1966.0	f	NotFiction	contemporary	Brisbane|Jacaranda|1966].	1966	1966	au			Under twenty-five : [an anthology	Australian literature|20th century
mdp.39015039792554	5	Bird, Robert Montgomery	1806-1854.	longfiction	5	v.3	1837.0	m	Fiction	contemporary	London;R. Bentley;1837.	1837	1837	us			Nick of the woods; a story of Kentucky	Frontier and pioneer life|Kentucky
uc2.ark+=13960=t5k933b88	1			longfiction	1		1846.0	u		contemporary	London;Simpkin, Marshall;1846.	1846	1846				The round preacher, or, Reminiscences of Methodist circuit life	
uiuo.ark+=13960=t6sx6jk7s	3	Ainsworth, William Harrison	1805-1882.	longfiction	3	v.2	1874.0	m		contemporary	Leipzig;B. Tauchnitz;1874.	1874	1874	uk			Merry England	Tyler, Wat|d. 1381|Fiction
wu.89098879935	2	Phillips, Mary Geisler	1881-1964.	juvenile	2		1926.0	f	Juvenile audience|Fiction	contemporary	Philadelphia|Macrae Smith Co.|1926.	1926	1926				Honey bees and fairy dust	Folklore|Bees
mdp.39015022067816	1	Banks, Russell	1940-	longfiction	1		1991.0	m	Fiction	contemporary	New York, NY|HarperCollinsPublishers|c1991.	1991	1991	us			The sweet hereafter : a novel	
mdp.39015056287512	1	Egerton, Frank	b. 1959	longfiction	1		2003.0	m	Novel	contemporary	Gwynedd|Smaller Sky|2003.	2003	2003	uk			The lock	Sexual behavior|Adultery|England|Fiction|Oxford|College teachers
nyp.33433075752224	2	Steele, Anna C. (Anna Caroline)	1841-1920	longfiction	2	v. 2	1867.0	f	Fiction	contemporary	London;Chapman & Hall;1867.	1867	1867	uk			Gardenhurst	English fiction
inu.39000001112445	1	Nzekwe, Amaechi		longfiction	1		1985.0	m	Fiction	contemporary	Enugu, Nigeria|Fourth Dimension|1985.	1985	1985				A killer on the loose	
uc1.$b252040	1	Taaffe, Michael		longfiction	1		1963.0	m	Fiction	contemporary	London|Putnam|1963	1963	1963				The dark glass	
nyp.33433075728604	3	Fletcher, J. S. (Joseph Smith)	1863-1935.	longfiction	3		1900.0	m	Fiction	contemporary	New York;A. A. Knopf;1921.	1921	1921	uk			The Herapath property	
mdp.39015030948247	1	Brown, Hilton	1890-1961	shortfiction	1		1933.0	m	Fiction	contemporary	Calcutta|Art Press|1923.	1933	1933	uk	Brown, Hilton	Brown, Charles Hilton	Maya; some more South Indian stories	
nyp.33433082531827	1	Eddy, Daniel C. (Daniel Clarke)	1823-1896.	juvenile	1		1864.0	m	Juvenile audience|Fiction	contemporary	New York;Sheldon;1868, c1864.	1864	1864	us		Eddy, Daniel Clarke	Walter in Constantinople	Description and travel|Children's stories, American
nyp.33433075861728	3	Zangwill, Israel	1864-1926.	longfiction	3		1891.0	m	Fiction	contemporary	New York;Brentano's;1891.	1891	1891	uk			The bachelors' club	English fiction
uc2.ark+=13960=t5bc3xz0x	1			shortfiction	1	v.04	1889.0	u		contemporary	Edinburgh;W. Blackwood;1889-91	1889	1889				"Tales from ""Blackwood."""	Short stories, English
nyp.33433067293880	1	Edgeworth, Maria	1767-1849.	longfiction	1	v. 11-12	1832.0	m	NotFiction	contemporary	New York;Printed and published by J. & J. Harper;1832-1834.	1832	1832	ir			Tales and novels	
