docid	allcopiesofwork	author	authordate	category	copiesin25yrs	enumcron	firstpub	gender	genres	hathiadvent	imprint	inferreddate	latestcomp	nationality	pseudonym	realname	shorttitle	subjects
mdp.49015000838012	1	Fraser, Peter	1932-	notfiction	1		1971.0	m	Bibliographies|NotFiction	contemporary	Boston|Plays inc.|1971	1971	1971	us			Puppet circus	Puppet theater
mdp.39015063561586	5	Ferrier, Susan	1782-1854.	longfiction	3	v.2	1818.0	f	Bibliographies|Fiction	contemporary	Edinburgh;W. Blackwood and J. Murray;1818.	1818	1818	uk		Ferrier, Susan Edmonstone	Marriage, a novel	English fiction
uc1.$b473613	1	Mann, Erika	1905-1969.	longfiction	1		1940.0	f	NotFiction	contemporary	New York|Toronto|Farrar & Rinehart, inc.|c1940	1940	1940	de		Mann, Erika	The lights go down	Social life and customs
nyp.33433074931597	2	Forrester, Charles Robert	1803-1850.	juvenile	2	v. 2	1843.0	m	NotFiction	contemporary	London;R. Bentley;1843.	1843	1843	uk	Crowquill, Alfred; Willis, Hal	Forrester, Charles Robert	Phantasmagoria of fun	
mdp.39015030126505	1	Roscoe, Thomas (trans.)	1791-1871.	shortfiction	1	v.1	1200.0	m	UnknownGenre	reprint	London;H. Colburn;1826.	1826	1826	uk			Introduction. Reineke Fuchs (Reynard the Fox) numerous authors and editions of it. The pleasant history of Reynard the Fox Flowleglass, the merry jester. Doctor Faustus	
dul1.ark+=13960=t89g6ct7k	2	Edgeworth, Maria	1767-1849.	longfiction	2		1804.0	f	NotFiction	contemporary	London;J. Johnson;1805.	1805	1805	uk			The modern Griselda	
mdp.39015062378909	1	Stork, Charles Wharton (trans.)	1881-1971	shortfiction	1		1923.0	m	Short stories	contemporary	New York|Dutton|c1923.	1923	1923	us			Modern Swedish masterpieces : short stories	Short stories, Swedish|Short stories, English|Translations into English|Translations from Swedish
uc2.ark+=13960=t45q53b1s	3	Knighton, W	d. 1900	notfiction	3	v.1	1854.0	m		contemporary	London;Hurst and Blackett;1854.	1854	1854	uk		Knighton, William	Forest life in Ceylon	Description and travel|Sri Lanka
dul1.ark+=13960=t4vh67297	2	Grafigny	1695-1758	longfiction	2	v.2	1802.0	f		contemporary	Paris;printed for Durand Bookseller;1802.	1802	1802	fr		Graffigny, Mme de (Françoise d'Issembourg d'Happoncourt)	Letters of a Peruvian princess	Utopias
uc2.ark+=13960=t0pr7sq62	14	Thackeray, William Makepeace	1811-1863.	shortfiction	1	v.03	1855.0	m	Fiction|ContainsBiogMaterial|NotFiction	contemporary	London;Bradbury & Evans;1855-1857.	1855	1855	uk			The memoirs of Barry Lyndon, Esq. A legend of the Rhine. Rebecca and Rowena. A little dinner at Timmins's. The Bedford-Row conspiracy	English literature
mdp.39015061469139	2	Candelaria, Nash	(1928)-	longfiction	2		1977.0	m	Novel|Fiction	contemporary	Tempe, AZ|Bilingual Press|1987, c1977.	1977	1977	us			Memories of the Alhambra	Social life and customs|Mexican Americans|Fiction
uc1.$b746092	1	Andersen, Hartvig		notfiction	1		1954.0	m	NotFiction	contemporary	New York|Rinehart|1954	1954	1954	de			The dark city; a true account of adventures of a secret agent in Berlin, as told to Hartvig Andersen	Secret service|United States|Germany|Berlin|World War, 1939-1945
nyp.33433081652574	2	Fraser, James Baillie	1783-1856.	notfiction	2	v.1	1838.0	m	NotFiction	contemporary	London;R. Bentley;1838.	1838	1838	uk			Narrative of the residence of the Persian princes in London, in 1835 and 1836. With an account of their journey from Persia, and subsequent adventures	Prices|Social life and customs|Description and travel
uc1.$b301045	1	Kent, Louise Andrews	1886-1969.	longfiction	1		1945.0	f	Fiction	contemporary	Boston|Houghton Mifflin|c1945	1945	1945	us			Country mouse	
nyp.33433074856836	1	Gibbon, Muriel Morgan		longfiction	1		1921.0	f	NotFiction	contemporary	Garden City, N.Y.;Toronto;Doubleday, Page & Company;1921.	1921	1921	uk			The alternative	
pst.000005752546	1	Stewart, Elizabeth Grey	1914-	longfiction	1		1961.0	f	NotFiction	contemporary	New York|Putnam|1961].	1961	1961	us			Young man of the year : a novel	
uc1.32106009522654	1	Humphreys, Emyr	b. 1919	longfiction	1		1991.0	m	Fiction	contemporary	London|Macdonald|1991.	1991	1991	uk			Bonds of attachment	Parry, Amy (Fictitious character)|Women|Widows|Fiction|Older women|Death|Fathers|Mothers and sons|Wales
uc1.b248787	2	Eggleston, Edward	1837-1902.	juvenile	2		1870.0	m		contemporary	Chicago [Ill.;Adams, Blackmer, & Lyon Publishing Co.;1872.	1872	1870	us			Mr. Blake's walking stick	Christmas stories
mdp.39015060836171	1	Escandón, María Amparo	b. 1957	longfiction	1		2005.0	f	Domestic fiction|Novel|Psychological fiction	contemporary	New York|Three Rivers Press|c2005.	2005	2005	me			González and Daughter Trucking Co. : a road novel with literary license	Fiction|Women prisoners|Trucking|Fathers and daughters
uc1.$b101946	2	Hedden, Worth Tuttle	1918-1985	longfiction	2		1952.0	f	NotFiction	contemporary	New York|Crown Publishers|1952	1952	1952	us			Love is a wound	
mdp.39015033493647	1	Simenon, Georges	1903-1989.	longfiction	1		1967.0	m	Fiction	contemporary	New York|Harcourt Brace Jovanovich|1977] c1967.	1977	1967	be			Monsieur Monde vanishes	
nyp.33433081963146	1	Wade, Mary Hazelton Blanchard	1860-1936.	juvenile	1		1904.0	f	NotFiction	contemporary	Boston;Chicago;W. A. Wilde company;c1904	1904	1904	us			Ten little Indians; stories of how Indian children lived and played	Indian children|North America
nyp.33433076025943	1	Smith, John Hyatt	1824-1886.	longfiction	1		1874.0	m	Fiction	contemporary	Brooklyn;D. S. Holmes;1874.	1874	1874	us			The open door; or, Light and liberty	American fiction
pst.000014560620	1	Joseph, Mark	b. 1946	longfiction	1		1986.0	m	NotFiction	contemporary	New York|D.I. Fine|c1986.	1986	1986	us			To kill the Potemkin : a novel	
mdp.39015048717071	1	Conrad, Joseph	1857-1924.	longfiction	1		1920.0	m	Fiction	contemporary	New York;E. P. Dutton and company; [etc., etc.;1920	1920	1920	uk			Youth and Gaspar Ruiz	
nyp.33433074928775	1	Bell, John Keble	1875-1928	longfiction	1		1917.0	m	NotFiction	contemporary	New York;London;1917.	1917	1917	uk	Howard, Keble	Bell, John Keble	The gay life	
uc2.ark+=13960=t21c1v37w	1	Sidney, Margaret	1844-1924.	juvenile	1		1916.0	f		contemporary	Boston;Lothrop, Lee & Shepard co.;1916	1916	1916	us	Sidney, Margaret	Lothrop, Harriet Mulford Stone	Our Davie Pepper	
nyp.33433074866561	1	Kinross, Albert	1870-1929.	longfiction	1		1908.0	m	Fiction	contemporary	New York;Macmillan;1908.	1908	1908	uk			Joan of Garioch	
nyp.33433074793831	2	Corbin, John	1870-1959.	longfiction	2		1907.0	m	Fiction	contemporary	New York;D. Appleton and company;1907.	1907	1907	us			The cave man	
nyp.33433082303151	1	Franklin, Josephine		juvenile	1		1865.0	f	Juvenile audience|Fiction	contemporary	Boston;Taggard and Thompson;1865.	1865	1865	us			Martin and the miller	
uiuo.ark+=13960=t75t4866z	4	Roche, Regina Maria	1764-1845.	longfiction	4	v.4	1824.0	f		contemporary	London;Printed for A. K. Newman and Co.;1824.	1824	1824	uk			The tradition of the castle;	
nyp.33433074862305	1	Cambridge, William G		longfiction	1		1853.0	m	NotFiction	contemporary	Boston;Abel Tompkins and B. B. Mussey;1853.	1853	1853	us			Henri : or, the web and woof of life	
uc2.ark+=13960=t1ng4h02g	1	Greenleaf, Sue		longfiction	1		1906.0	f		contemporary	New York;B. W. Dodge and Company;c1906	1906	1906	us			Don Miguel Lehumada	sf
uiuo.ark+=13960=t44q88r9x	3	Gore	1798-1861	longfiction	3	v.3	1838.0	f		contemporary	London;H. Colburn;1838.	1838	1838	uk		Gore, Catherine Grace Frances	The heir of Selwood, or, Three epochs of a life	
mdp.39015001153629	1	Christie, Agatha	1890-1976.	longfiction	1		1933.0	f	Fiction	contemporary	New York|Dodd, Mead & company|1933.	1933	1933	us			Thirteen at dinner	
coo.31924064998069	2	White, Percy	1852-1938.	longfiction	2	v.2	1905.0	m	NotFiction	contemporary	Leipzig;B. Tauchnitz;1905.	1905	1905	uk			The system	
uc2.ark+=13960=t4nk38459	2	Pitt, William	1708-1778	notfiction	2		1804.0	m		contemporary	London;Printed for T. Payne ... by T. Bensley;1804.	1804	1804	uk			Letters written by the late Earl of Chatham to his nephew, Thomas Pitt, esq	Pitt, William|Camelford, Thomas Pitt|Earl of Chatham|Baron|Correspondence|1708-1778|1737-1793
uc2.ark+=13960=t3dz04t88	1	Flynn, William J	1861-1928	notfiction	1		1919.0	m		contemporary	New York;J.A. McCann;1919.	1919	1919	us			The barrel mystery	
dul1.ark+=13960=t9g45ch9h	2	Godfrey, Hollis	1874-1936	longfiction	2		1908.0	m		contemporary	Boston;Little, Brown & Company;1908.	1908	1908	us			The man who ended war;	
mdp.39015042099278	1	Head, Ann	b. 1915- 	longfiction	1		1961.0	f	Fiction	contemporary	Garden City, N.Y.|Doubleday|1961.	1961	1961	us			Always in August	
uc1.$b555827	1	Trenker, Luis	1892-1990	notfiction	1		1933.0	m	NotFiction	contemporary	New York|E. P. Dutton and company|1934.	1934	1934				Brothers of the snow	Mountaineering
uc2.ark+=13960=t4rj4ck98	3			longfiction	3		1846.0	u		contemporary	New York;Stanford and Swords;1846.	1846	1846				Recantation	
uc2.ark+=13960=t8mc8ss07	2			notfiction	2		1854.0	u		contemporary	Boston;E. W. Hinks;1854.	1854	1854				One link in the chain of apostolic succession	VI|United States|Alexander|Anti-Catholicism|Fiction|Sources|Pope|1431-1503
nyp.33433074852835	4	Birmingham, George A	1865-1950.	longfiction	4		1905.0	m	Fiction|NotFiction	contemporary	London;E. Arnold;1905.	1905	1905	ir	Birmingham, George A	Hannay, James Owen	The seething pot	
uc1.$b662534	1	Nazhivin, Iv. (Ivan)	1874-1940.	longfiction	1		1930.0	m	Fiction	contemporary	New York|London|Harper & brothers|c1931	1931	1931	ru	Nazhivin, Ivan		According to Thomas, an historical novel of the first century	
uc2.ark+=13960=t74t6gp9m	3	Cushing, Paul	1854-1919	longfiction	3	v.2	1840.0	m		contemporary	Edinburgh;W. Blackwood;1840.	1840	1840	uk			The bull i' th' thorn	
mdp.39015028917659	1	Pradhan, Pabitra Kumar		longfiction	1		1992.0	m	Fiction	contemporary	Cuttack, Orissa|Toshali Books|1992.	1992	1992				Audible silence	
mdp.39015028435223	1			shortfiction	1		1992.0	u	NotFiction	contemporary	New York, N.Y.|Peguin|1992.	1992	1992				Catholic girls	United States|Women authors|Catholics|Literary collections|Girls|Catholic women|Catholic authors|American literature|20th century
uc1.b4449524	1	Andress, Lesley	1920-1988	longfiction	1		1980.0	m	Fiction	contemporary	New York|Putnam|c1980	1980	1980	us	Andress, Lesley	Sanders, Lawrence	Caper	
uiuo.ark+=13960=t9j393d7p	3	Crumpe		longfiction	3	v.1	1829.0	u		contemporary	London;H. Colburn;1829.	1829	1829	uk			Geraldine of Desmond, or, Ireland in the reign of Elizabeth	Ireland|Fiction|History|1558-1603
uiuo.ark+=13960=t1ng57g58	1	Anonymous		longfiction	1	v.3	1868.0	u		contemporary	London;Tinsley Bros.;1868.	1868	1868				Out of the meshes	
uiuo.ark+=13960=t7zk5z02q	3	Brown, Thomas		longfiction	3	v.3	1819.0	m		contemporary	London;Printed for Sherwood, Neely, and Jones;1819.	1819	1819				London, or, A month at Steven's	
uc2.ark+=13960=t4bp02s9c	1	James, G. P. R. (George Payne Rainsford)	1799-1860.	longfiction	1	v.14	1835.0	m		contemporary	London;Smith, Elder and Co.;1844-49.	1844	1844	uk			[The works	
nyp.33433076073646	1	Warner, Susan	1819-1885.	longfiction	1		1877.0	f	Fiction	contemporary	New York;R. Carter and Brothers;1877.	1877	1877	us			Pine needles : [a story]	
mdp.39015000512742	2	Simenon, Georges	1903-1989.	longfiction	1		1964.0	m	Novel|Fiction|Detective and mystery stories	contemporary	London|Hamilton|c1976.	1976	1976	be			Maigret and the ghost	Police|Maigret, Jules (Fictitious character)|France|Paris|Fiction
mdp.39015061866318	1	Chaffee, Allen		juvenile	1		1930.0	m	Novel|Juvenile audience	contemporary	Springfield, Mass.|McLoughlin|1930?	1930	1930				Lost! : Two boys battle the elements	
inu.39000003642282	1	Harris, Christie	1907-2002	juvenile	1		1975.0	f	NotFiction	contemporary	Toronto|McClelland and Stewart|c1975.	1975	1975	ca			Sky man on the totem pole?	Folklore|Indians of North America|Northwest, Pacific
pst.000005455102	1	Fairchild, Garet		longfiction	1		1956.0	m	NotFiction	contemporary	New York|Exposition Press|1956].	1956	1956	us	Fairchild, Garet	Rogers, Will H.	Prisoners in the Riff : a novel	
mdp.39015049744967	6	Cather, Willa	1873-1947.	longfiction	4		1915.0	f	Bibliographies|Fiction|NotFiction	contemporary	Boston|New York|Hougton Mifflin company|1927	1927	1927	us			The song of the lark	Fiction|Fiction|Opera|Young women|Women singers|Children of clergy|Social life and customs|Swedish Americans
uiuo.ark+=13960=t3bz6v35r	21	Scott, Walter, Sir	1771-1832.	longfiction	7	v.2	1817.0	m	Fiction|UnknownGenre|NotFiction	contemporary	Edinburgh;Printed by James Ballantyne and Co. for Archibald Constable and Co.;London;Longman, Hurst, Rees, Orme, and Brown;1818.	1818	1818	uk			Rob Roy	Fiction|1671-1734|Rob Roy
uiuo.ark+=13960=t0qr5fj5r	3	Savile, Charles Stuart	1816-1870	longfiction	3	v.2	1842.0	m		contemporary	London;R. Bentley;1842.	1842	1842	uk			Karah Kaplan; or, The Koordish chief	
mdp.39015018520398	1	Moggach, Deborah	b. 1948	longfiction	1		1990.0	f	Fiction	contemporary	London|Heinemann|1990.	1990	1990	uk			Stolen	
mdp.39015001610354	3	Cheever, John	1912-1982	longfiction	3		1977.0	m	Fiction|NotFiction	contemporary	New York|Knopf|1977.	1977	1977	us			Falconer	Large type books
mdp.39015060075960	1	Rosencof, Mauricio	b. 1933	longfiction	1		2000.0	m	Fiction	contemporary	Albuquerque|University of New Mexico Press|2004.	2004	2004	uy			The letters that never came	Uruguay|Jews|Authors, Uruguayan|Political prisoners|Biography|20th century
uc2.ark+=13960=t6qz22x3r	1	Harland, Marion	1830-1922.	longfiction	1		1873.0	f		contemporary	New York;G.W. Carleton;1876 [c1873	1876	1876	us	Harland, Marion	Terhune, Mary Virginia	Jessamine	
njp.32101066457449	1	Collins, Mortimer	1827-1876.	longfiction	1	vol.3	1865.0	m	NotFiction	contemporary	London;J. Maxwell;1865.	1865	1865	uk		Collins, Edward James Mortimer	Who is the heir? A novel	
uc1.b3741192	1	Wambakha, O		longfiction	1		1978.0	u	Fiction	contemporary	Nairobi|Kenya Literature Bureau|1978.	1978	1978				The closed road to Wapi	
uc1.32106018712015	2	Dean, Louise	b. 1970	longfiction	2		2005.0	f	Fiction	contemporary	London|Scribner|2005	2005	2005	uk			This human season	Maze Prison (Lisburn, Northern Ireland)|Fiction|Politics and government|1969-1994
mdp.39015066783013	1	Block, Elizabeth (Elizabeth Ruth)		longfiction	1		2005.0	f	Psychological fiction|Experimental fiction|Fiction	contemporary	New York|Spuyten Duyvil|c2005.	2005	2005	us		Block, Elizabeth Ruth	A gesture through time	Fiction|Motion picture authorship|Motion picture industry|Identity (Psychology)|Screenwriters
inu.32000009648280	1	Green, Frances H. (Frances Harriet)	1805-1878.	longfiction	1		1839.0	f	Juvenile audience|NotFiction	contemporary	Providence [R.I.;Printed by B.T. Albro;1842.	1842	1842	us		McDougall, Frances Harriet Whipple Green	Elleanor's second book	Blacks|Eldridge, Elleanor|1784-1845?|Biography
mdp.39015065707187	2	Ripley, Sidney Dillon	1913-2001.	notfiction	2		1942.0	m	NotFiction	contemporary	New York|Harper|1942. --	1942	1942	us			Trail of2001. the money bird : 30,000 miles of adventure with a naturalist	Denison-Crockett expedition to the South Pacific 1937-1938|Collection and preservation|Birds
uc1.b3626218	3	Paulding, James Kirke	1778-1860.	longfiction	3	v. 2	1831.0	m	Fiction	contemporary	New York;Harper & brothers;1835.	1835	1835	us			Koningsmarke; or, Old times in the new world	History|Fiction|Fiction|History
uc2.ark+=13960=t51g0v51c	1	Daudet, Alphonse	1840-1897.	longfiction	1	v.08	1891.0	m		contemporary	New York;Society of English and French Literature;1898-1900	1898	1897	fr			The novels, romances, and memoirs of Alphonse Daudet	
mdp.39015014541265	1	McGarry, Jean	b. 1958	longfiction	1		1987.0	f	NotFiction	contemporary	Baltimore|Johns Hopkins University Press|c1987.	1987	1987	us			The very rich hours	
mdp.39015048891959	1	Stewart, Fred Mustard	1932-2007.	longfiction	1		1978.0	m	Fiction	contemporary	New York|Viking Press|1978	1978	1978	us			A rage against heaven	
uiuo.ark+=13960=t04x5pc89	1	Mrs. S?		longfiction	1	v.1	1811.0	u		contemporary	London;printed for C. Chapple;1811.	1811	1811				Gotha, or Memoirs of the Wurtzburg family, founded on facts	
uc1.$b155513	1	Lehmann, Arthur Heinz	1909-1956.	longfiction	1		1954.0	m	Fiction	contemporary	New York|Holt|1955,c1954	1955	1954	de			The noble stallion	
mdp.39015064003018	2	Bray, (Anna Eliza), Mrs	1790-1883.	longfiction	1	v.8	1815.0	f	Fiction	contemporary	London;Longman, Brown, Green, and Longmans;1815.	1815	1815	uk		Bray, Anna Eliza	Trials of the heart	
uc2.ark+=13960=t0sq8zn5q	2	Howard, M. W. (Milford Wriarson)	1862-1937.	longfiction	2		1921.0	m		contemporary	Los Angeles, Cal.;Published by J.F. Rowny Press;1921.	1921	1921	us		Howard, Milford Wriarson	Peggy Ware	
uiuo.ark+=13960=t67375c09	2	Gore	1798-1861	longfiction	2	v.3	1857.0	f		contemporary	London;Hurst and Blankett;1857.	1857	1857	uk		Gore, Catherine Grace Frances	The two aristocracies	
inu.30000052999335	2	Ben Odeh, Hikmat		shortfiction	2		1995.0	m	NotFiction	contemporary	Irbid|H. Ben Odeh|c1995.	1995	1995				Classic Fairy Tales from ancient Palestine and Jordan	Palestine|Jordan|Fairy tales
uc1.$b103842	1	Bourne, Peter	1900-1982	longfiction	1		1952.0	m	UnknownGenre	contemporary	New York|Putnam|1952	1952	1952	uk	Bourne, Peter	Jefferies, Graham Montague	The golden road	
inu.39000000277678	1	Apolo, Edia		shortfiction	1		1982.0	f	Fiction	contemporary	Apapa, Lagos, Nigeria|Heritage Books|1982.	1982	1982				Lagos na waa i swear	
nnc1.0036685208	2	duc de, Lévis, Pierre-Marc-Gaston	1764-1830.	longfiction	2	v.1	1829.0	m	Fiction	contemporary	New-York;Sold by G. & C. and H. Carvill [and 12 others;1829.	1829	1829	fr			The Carbonaro : Piedmontese tale	
uc2.ark+=13960=t7dr2sh01	4	Bennett, Arnold	1867-1931.	shortfiction	2		1912.0	m	Fiction|NotFiction	contemporary	New York;George H. Doran Company;c1912	1912	1912	uk			The matador of the Five Towns	
mdp.39015018053242	2	Ashley, Robert Paul	1915-	shortfiction	2		1650.0	u	Fiction	reprint	New York|Rinehart|1953	1953	1953				Elizabethan fiction	Early modern, 1500-1700|English fiction
pst.000021382758	1			shortfiction	1	win. v.16	1954.0	u	NotFiction	contemporary	New York|Reader's Digest Association|1954.	1954	1954				Reader's digest condensed books : winter 1954 selections, vol. 16	Condensed books
mdp.39015048712163	1	Dawson, Fielding	1930-2002.	shortfiction	1		1985.0	m	Fiction	contemporary	Santa Barbara|Black Sparrow Press|1985.	1985	1985	us			Virginia Dare : stories, 1976-1981	
mdp.39015055883816	1	Gornick, Lisa	1956-	longfiction	1		2002.0	f	Fiction	contemporary	Chapel Hill, N.C.|Algonquin Books of Chapel Hill|2002.	2002	2002	us			A private sorcery : a novel	Psychotherapist and patient|Fathers and sons|Married people|Fiction|Psychiatrists|Prisoners|Drug abuse
uiuo.ark+=13960=t5j96f67z	3	Cathcart		longfiction	3	v.1	1833.0	f		contemporary	London;Longman;1833.	1833	1833	uk			Adelaide;	
mdp.39015065769393	3	Surr, T. S. (Thomas Skinner)	1770-1847.	longfiction	3	v.2	1801.0	m	Fiction	contemporary	London;Printed for T. Hurst;1801-02.	1801	1801	uk		Surr, Thomas sKinner	Splendid misery. A novel	
uc2.ark+=13960=t9862cj28	1	Ferguson, Esther Baldwin	b. 1842	longfiction	1	c.2	1910.0	f		contemporary	San Francisco;Gilmartin Company;c1910.	1910	1910	us			The lump of gold	Equality|Social conditions|Women|Fiction|20th century
uc2.ark+=13960=t31261n0t	1	Daudet, Alphonse	1840-1897.	longfiction	1	v.04	1892.0	m		contemporary	New York;Society of English and French Literature;1898-1900	1898	1897	fr			The novels, romances, and memoirs of Alphonse Daudet	
umn.31951002102922y	1	Goddard, Constance Felicity		longfiction	1		1945.0	f	NotFiction	contemporary	London|J. Cape|1945.	1945	1945	uk			Come wind, come weather	
mdp.39015010397001	2	Murasaki Shikibu	978-1016	longfiction	2	v.1	1537.0	f	NotFiction	reprint	New York|Alfred A, Knopf|c1976.	1976	1976	jp		Shikibu, Murasaki	The tale of Genji	
uc2.ark+=13960=t1sf2qf1f	2	Hayes, Clair W. (Clair Wallace)	b. 1887.	longfiction	2		1917.0	f		contemporary	New York;A.L. Burt Co.;c1917.	1917	1917	us		Hayes, Clair Wallace	The boy allies at Verdun, or, Saving France from the enemy	France|Fiction|Verdun, Battle of, Verdun, France, 1916|Campaigns|World War, 1914-1918|Juvenile fiction
nyp.33433074929476	10	Braddon, M. E. (Mary Elizabeth)	1835-1915.	longfiction	8	v. 2	1873.0	f	NotFiction	contemporary	Leipzig;B. Tauchnitz;1873.	1873	1873	uk		Braddon, Mary Elizabeth	Strangers and pilgrims; a novel	
wu.89098877509	6	Kinzie, John H., Mrs	1806-1870.	notfiction	5		1856.0	f	NotFiction	contemporary	New York;Derby & Jackson;Cincinnati;H.W. Derby & co.;1856.	1856	1856	us		Kinzie, Juliette Augusta Magill	"Wau-bun, the ""early day"" in the North-west"	Indians of North America|Northwest, Old|Description and travel|Frontier and pioneer life|Wisconsin|1775-1865|1806-1870|History|Kinzie, John H|Mrs
uva.x001850551	1	Strother, Emily Vielé	1866-1959	longfiction	1		1915.0	f	Fiction	contemporary	New York;E. P. Dutton & company;c1915	1915	1915	us			Eve Dorre : the story of her precarious youth	
nyp.33433076059850	1	Putnam, Nina (Wilcox), Mrs	1888-1962.	longfiction	1		1912.0	f	Fiction	contemporary	Garden City, N.Y.;Doubleday, Page;1912.	1912	1912	us			In search of Arcady	
uiuo.ark+=13960=t2x354s13	3	Ouida	1839-1908.	longfiction	3	v.1	1878.0	f		contemporary	London;Chatto & Windus;1878.	1878	1878	uk	Ouida	Ramé, Mary-Louise	Friendship	
nyp.33433076079304	2	Huntington, J. V. (Jedediah Vincent)	1815-1862.	longfiction	2	v. 1	1853.0	m	NotFiction	contemporary	New York;Redfield;1853.	1853	1853	us		Huntington, Jedediah Vincent	Alban : or the history of a young Puritan	
mdp.39015035319808	1	Ėrenburg, Ilʹi͡a	1891-1967.	longfiction	1		1948.0	m	Fiction	contemporary	New York|Gaer Associates|1949	1949	1949	ru		Erenburg, Ilya Grigoryevich	The storm;	
nyp.33433000572291	1	Hildebrandt, Johann Andreas Christoph	1763-1848.	juvenile	1		1848.0	m	Juvenile audience|NotFiction	contemporary	New York;M. W. Dodd;1852, c1851.	1851	1848	de			Winter in Spitzbergen : a book for youth	Description and travel
uc1.$b111806	1	Wadelton, Maggie Jeanne (Melody) Mrs	1896-	longfiction	1		1943.0	f	NotFiction	contemporary	Indianapolis|New York|The Bobbs-Merrill Company|1943	1943	1943	us			Maggie no doubt	
uc1.$b104884	1	Richardson, Evelyn May Fox	1902-1976	longfiction	1		1953.0	f	Fiction	contemporary	Philadelphia|Macrae Smith Co.|c1953.	1953	1953	ca			Desired haven	
nyp.33433076086028	1			longfiction	1		1863.0	u	Fiction	contemporary	New York;Dick & Fitzgerald;c1863	1863	1863	us			Tom Ripon; or, The highwayman and housebreaker	English fiction
mdp.39015058084958	1	McQuay, Mike	1949-1995	longfiction	1		1985.0	m	Novel	contemporary	Toronto|New York|Bantam|1985.	1985	1985	us		McQuay, Michael Dennis	Pure blood	Families of royal descent|Kings and rulers|Fiction|Science fiction, American|Brothers
mdp.39015056909438	1	Madhavan, Cauvery	b. 1962	longfiction	1		2003.0	m	Novel	contemporary	London|BlackAmber Books|2003.	2003	2003	uk			The uncoupling	Married people|Fiction|India, South|Bus travel|Europe
uc1.b28759	2	Wood, S. R		juvenile	2		1894.0	u		contemporary	Ferndale, Calif.;Matthews & Wooldridge, publishers;1894.	1894	1894				Immanuel	
mdp.39015002203357	1	Fitzgerald, F. Scott (Francis Scott)	1896-1940.	shortfiction	1		1926.0	m	Fiction	contemporary	New York|Scribner's sons|1926.	1926	1926	us		Fitzgerald, Francis Scott	All the sad young men	
nyp.33433067303812	3	Mills, John	-approximately 1885.	longfiction	3	v. 3	1844.0	m	Fiction	contemporary	London;Saunders and Otley;1844.	1844	1844	uk			The English fireside : a tale of the past	
nyp.33433074870647	2	Higgins, D. W. David Williams)	1834-1917	shortfiction	2		1904.0	m	Fiction	contemporary	Toronto;W. Briggs;1904.	1904	1904	ca		Higgins, David William	The mystic spring : and other tales of western life	
uc2.ark+=13960=t1hh6mf0f	3	Jewett, Mrs. Susan W ]		longfiction	3		1856.0	f		contemporary	Cincinnati;Truman and Spofford;1856.	1856	1856	us			The old corner cupboard;	
njp.32101068162740	2	Adams, F. Colburn (Francis Colburn)		longfiction	2	vol.1	1855.0	m	Fiction	contemporary	London;Sampson Low;1855.	1855	1855	us		Adams, Francis Colburn	Our world, or, The democrat's rule	
mdp.39015019429110	1	Texier, Catherine	b. 1947	longfiction	1		1990.0	f	Fiction	contemporary	New York|Viking|1990.	1990	1990	fr			Panic blood	
uc2.ark+=13960=t46q29319	31	Wilson, John Mackay	1804-1835.	longfiction	11	v.3	1835.0	m	Fiction|UnknownGenre	contemporary	Manchester;Ainsworth; (etc., etc.);(1857-58)	1857	1835	uk			Wilson's tales of the borders, and of Scotland;	Borders of Scotland|Scottish Borders (Scotland)|Fiction
mdp.39015078783464	1	Griffiths, Elly	b. 1963	longfiction	1		2009.0	f	Novel|Detective and mystery stories	contemporary	London|Quercus|2009.	2009	2009	uk	de Rosa, Domenica	Griffiths, Elly	The crossing places	Women archaeologists|Fiction|Serial murderers|Missing children
uiuo.ark+=13960=t3st83j7v	2	Lewis, M. G. (Matthew Gregory)	1775-1818.	longfiction	2	v.2	1808.0	m		contemporary	London;Printed by D.N. Shury, for Longman, Hurst, Rees, and Orme;1808.	1808	1808	uk		Lewis, Matthew Gregory	Romantic tales	
inu.30000081189692	1			shortfiction	1		2001.0	u	Fiction	contemporary	Lagos|Synergy Educational in conjunction with Mace Books|c2001.	2001	2001				The reward and other stories : selected from the third edition of the All-Nigerian Primary School Pupils Story Writing Competition	Short stories, Nigerian (English)
mdp.39015062686400	2	Sterling, John	1805-1844	longfiction	2	v.2	1832.0	m	Fiction	contemporary	London;E. Wilson;1832.	1832	1832	uk			Fitzgeorge : a novel	
uc1.$b116512	1	Wannan, Bill	1915-2003	shortfiction	1		1962.0	m	NotFiction	contemporary	Melbourne|Lansdowne Press|1962	1962	1962	au			Modern Australian humour	Australian literature|Australian wit and humor|Humor|20th century
njp.32101072911082	2	Arnaud, François-Thomas-Marie de Baculard d'	1718-1805.	notfiction	2	vol. 8	1803.0	m	NotFiction	contemporary	Paris;Laporte;1803.	1803	1803	fr			Nouvelles historiques.--t	
mdp.39015063963261	1	Verschoyle, Catherine Mildred	1874-1951	longfiction	1		1927.0	f	Fiction	contemporary	London|New York [etc.|Longmans, Green and co.|1927.	1927	1927	uk			Oldham; a novel	
nyp.33433082346044	1	Langford, George	1876-	juvenile	1		1921.0	m	Fiction	contemporary	New York;Boni and Liveright;c1921.	1921	1921	us			Kutnar, son of Pic	
