docid	author	realname	pseudonym	gender	nationality	authordate	inferreddate	firstpub	latestcomp	allcopiesofwork	copiesin25yrs	enumcron	imprint	genres	subjects	shorttitle	category	hathiadvent
uiuo.ark+=13960=t8nc6b618	Neri, Mary Anne	Neri, Mary Anne		f	it		1804	1804	1804	1.0	1.0	v.1	London;Printed for T. Cadell and W. Davies by I. Gold;1804.	Novel|Fiction		The eve of San-Pietro	longfiction	contemporary
dul1.ark+=13960=t89g6ct7k	Edgeworth, Maria			f	uk	1767-1849.	1805	1804	1805	2.0	2.0		London;J. Johnson;1805.	NotFiction		The modern Griselda	longfiction	contemporary
dul1.ark+=13960=t4vh67297	Grafigny	Graffigny, Mme de (Françoise d'Issembourg d'Happoncourt)		f	fr	1695-1758	1802	1802	1802	1.0	1.0	v.2	Paris;printed for Durand Bookseller;1802.		Utopias	Letters of a Peruvian princess	longfiction	contemporary
uiuo.ark+=13960=t2z32gn5j	West	West, Jane	West, Mrs.	f	uk	1758-1852	1802	1802	1802	1.0	1.0	v.1	London;Printed by A. Strahan, for T.N. Longman and O. Rees;1802.			The infidel father	longfiction	contemporary
uva.x000099740	Hamilton, Elizabeth			f	uk	1756?-1816.	1800	1800	1800	5.333333333333333	4.333333333333333	v.2	Bath;Printed by R. Cruttwell for G.G. and J. Robinson, London;1800.	Fiction|NotFiction		Memoirs of modern philosophers	longfiction	contemporary
nyp.33433074911581	Smith, Charlotte Turner			f	uk	1749-1806.	1800	1800	1800	1.0	1.0	v. 5	London;Printed by and for S. Low;1800-1802.	Fiction	English fiction	The Hungarian (con't.) Leonora.  Guilelmine de Mortivalle	shortfiction	contemporary
njp.32101066459445	Gooch, Elizabeth Sarah Villa-Real			f	uk	1757-1807	1804	1804	1804	1.0	1.0	v.3	London;Highley;1804.	NotFiction		Sherwood forest; or, Northern adventures; a novel	longfiction	contemporary
uiuo.ark+=13960=t70v93r77	Opie, Amelia Alderson			f	uk	1769-1853.	1805	1804	1805	1.0	1.0	v.3	London;Longman, Hurst, Rees, & Orme; [etc., etc.;1805.			Adeline Mowbray	longfiction	contemporary
uiuo.ark+=13960=t6xw4rw1j	Cuthbertson, Catherine			f	uk	1775-1842	1803	1803	1803	3.0	3.0	v.2	London;Printed for G. and J. Robinson;1803.	Fiction	English fiction	Romance of the Pyrenees	longfiction	contemporary
uiuo.ark+=13960=t3xs6cp6m	Young, Mary Julia			f	uk		1803	1803	1803	1.0	1.0	v.2	London;Printed by D.N. Shury for Crosby and Hughes;1803.			Right and wrong; or, The kinsmen of Naples	longfiction	contemporary
mdp.39015063992492	Misses. Cuthbertson	Cuthbertson, Catherine		f	uk	1775-1842.	1822	1803	1822	1.0	1.0	v.1	London;Printed for Baldwin, Cradock, & Joy [etc.;1822.	Fiction		Romance of the Pyrenees	longfiction	contemporary
uiuo.ark+=13960=t7np2rz8s	Helme, Elizabeth			f	uk	d. 1814?	1801	1801	1801	1.0	1.0	v.3	London;Printed for Earle and Hemet;1801.			St. Margaret's cave	longfiction	contemporary
nyp.33433074857875	Miss. Hatfield, S			f			1802	1802	1802	1.0	1.0	v. 1-2	Wilmington [Del.;Bonsal and Niles;1802.	Fiction	English fiction	She lives in hopes; or, Caroline. A narration founded upon facts	longfiction	contemporary
mdp.39015063944352	Morgan, (Sydney), Lady	Sydney, Morgan		f	ir	1783-1859.	1812	1804	1812	1.0	1.0		London;Printed for J. J. Stockdale;1812.	NotFiction		St. Clair; or, The heiress of Desmond	longfiction	contemporary
uiuo.ark+=13960=t4qj7s022	Damer, Anne Seymour Conway			f	uk	1748-1828.	1801	1801	1801	1.0	1.0	v.2	London;J. Johnson;1801.			Belmour	longfiction	contemporary
nyp.33433074911557	Smith, Charlotte Turner			f	uk	1749-1806.	1800	1800	1800	1.0	1.0	v. 2	London;Printed by and for S. Low;1800-1802.	Fiction	English fiction	The story of Henrietta	longfiction	contemporary
nyp.33433075769749	Porter, Jane			f	uk	1776-1850.	1817	1803	1817	1.0	1.0	v. 1-2	New York;S. Marks;1817.	Fiction	1764-1795|Fiction|Augustus	Thaddeus of Warsaw. Four volumes in two	longfiction	contemporary
nyp.33433074911573	Smith, Charlotte Turner			f	uk	1749-1806.	1800	1800	1800	1.0	1.0	v. 4	London;Printed by and for S. Low;1800-1802.	Fiction	English fiction	The Hungarian	longfiction	contemporary
hvd.32044086799087	Opie, Amelia Alderson			f	uk	1769-1853.	1827	1801	1827	1.0	1.0		Boston;S.G. Goodrich;1827.	Fiction		The father and daughter : a tale	longfiction	reprint
uiuo.ark+=13960=t08w42g96	Pigott, Harriet			f	uk	1775-1846	1804	1804	1804	1.0	1.0	v.1	London;Parsons;1804.			The pride of ancestry: or, Who is she?	longfiction	contemporary
njp.32101037604772	Du Bois, Edward			m	uk	1774-1850.	1800	1800	1800	1.0	1.0		London;Printed for J. Wright;1800.	Fiction	Godwin, William|1756-1836|St. Leon: a tale of the sixteenth century	St. Godwin: a tale of the sixteenth, seventeenth, and eighteenth century	longfiction	contemporary
uiuo.ark+=13960=t5h99gq2h	Du Bois, Edward			m	uk	1774-1850.	1801	1801	1801	1.0	1.0	v.1	London;Murray and Highley;1801.		823D85O	Old Nick;	longfiction	contemporary
mdp.39015063947199				m			1800	1800	1800	1.0	1.0		Southwark [London;J. Ker;1800?	Fiction		The prophetic warning; or, The castle of Lindendorff. An original romance	longfiction	contemporary
nyp.33433075755250	Walker, George			m		1772-1847.	1801	1800	1801	1.0	1.0	v. 1-3	New York;Printed for the booksellers;1801.	Fiction	English fiction	The three Spaniards, a romance	longfiction	contemporary
uiuo.ark+=13960=t4pk1235x	Walker, George			m	uk	1772-1847.	1803	1803	1803	1.0	1.0	v.3	London;Printed for G. Walker, and T. Hurst, by Exton;1803.		823W15D	Don Raphael	longfiction	contemporary
njp.32101068167160	Dallas, Robert Charles			m	uk	1754-1824.	1801	1801	1801	1.0	1.0	vol.4	London;Printed by A. Strahan for T. N. Longman and O. Rees;1801.	Fiction		Percival : or, Nature vindicted : a novel	longfiction	contemporary
uc2.ark+=13960=t3gx4dk9q	Harley, George Davies			m	uk	-1811	1804	1804	1804	2.0	2.0		Liverpool;J. M'Creery;1804.		Montford, Charles	Circumstances respecting the late Charles Montford, esq	longfiction	contemporary
nyp.33433074910278	Moore, John			m	uk	1729-1802.	1800	1800	1800	3.0	3.0	v. 2	London;Printed for G. G. and J. Robinson;1800.	NotFiction		Mordaunt. Sketches of life, characters, and manners, in various countries; including the Memoirs of a French lady of quality	longfiction	contemporary
uiuo.ark+=13960=t5q81zv8g	Walker, George			m	uk	1772-1847	1803	1803	1803	1.0	1.0	v.1	London;Printed for G. Walker, and T. Hurst, by Exton;1803.		823W15D	Don Raphael	longfiction	contemporary
mdp.39015000623663	Kipling, Rudyard			m	uk	1865-1936.	1800	1800	1800	38.0	2.0		New York;Manhattan press;1910?	ContainsBiogMaterial|NotFiction|Fiction|UnknownGenre	English fiction	Plain tales from the hills	shortfiction	contemporary
mdp.39015065769393	Surr, T. S. (Thomas Skinner)	Surr, Thomas sKinner		m	uk	1770-1847.	1801	1801	1801	1.0	1.0	v.2	London;Printed for T. Hurst;1801-02.	Fiction		Splendid misery. A novel	longfiction	contemporary
uiuo.ark+=13960=t2j67qh6b	Bisset, Robert			m	uk	1759-1805.	1804	1804	1804	1.0	1.0	v.2	London;Longman;1804.			Modern literature;	longfiction	contemporary
uiuo.ark+=13960=t76t0xv5n	Bisset, Robert			m	uk	1759-1805.	1804	1804	1804	1.0	1.0	v.3	London;Longman;1804.			Modern literature;	longfiction	contemporary
uc2.ark+=13960=t7xk8888r	Strutt, Joseph			m	uk	1749-1802.	1808	1802	1802	3.0	3.0	v.2	Edinburgh;Printed by J. Ballantyne & co. for J. Murray, London; and A. Constable & co., Edinburgh;1808.			Queenhoo-hall	longfiction	contemporary
wu.89001048909	Reade, Charles			m	uk	1814-1884.	1800	1800	1800	1.0	1.0	9	New York|Collier|1902?	NotFiction		The works of Charles Reade	longfiction	contemporary
njp.32101068167186	Dallas, Robert Charles			m	uk	1754-1824.	1801	1801	1801	1.0	1.0	vol.2	London;Printed by A. Strahan for T. N. Longman and O. Rees;1801.	Fiction		Percival : or, Nature vindicted : a novel	longfiction	contemporary
mdp.39015014653201	Wieland, Christoph Martin			m	de	1733-1813.	1804	1804	1804	1.0	1.0	v.1	London;J. Bell;1804.	UnknownGenre		Confessions in Elysium, or, The adventures of a Platonic philosopher; taken from the German of C. M. Wieland;	longfiction	contemporary
uiuo.ark+=13960=t6vx10k7w	Melville, Theodore			m	uk		1802	1802	1802	1.0	1.0	v.1	London;Crosby and Letterman;1802.			The white knight, or, The monastery of Morne	longfiction	contemporary
hvd.hwp4k1	Walker, George			m	uk	1772-1847.	1833	1800	1833	2.0	1.0	2	Baltimore;W. & J. Neal;1833.	NotFiction		The three Spaniards, a romance	longfiction	reprint
mdp.39015027528697	Lucas, Charles			m	uk	1769-1854.	1802	1801	1802	1.0	1.0	v.4	London;Printed at the Minerva press, for W. Lane;1801.	Fiction		The infernal Quixote. A tale of the day	longfiction	contemporary
njp.32101068163946				u			1802	1802	1802	1.0	1.0		Cork;Connor;1802.	Fiction		The monk of the grotto; or, Eugenio and Virginia; a tale	longfiction	contemporary
mdp.39015063931862				u			1800	1800	1800	1.0	1.0		London;Printed and sold by Sabine and son;1800?	Fiction		The history of Zoa, the beautiful Indian, daughter of Henrietta de Bellgrave; and of Rodomond	longfiction	contemporary
uc1.32106007220202	Buddhaghosa			u			1921	1800	1921	2.0	2.0	v.29	Cambridge, Mass.;Harvard university press;1921.	NotFiction	Legends, Buddhist|Suttapiṭaka|Tipiṭaka|Dhammapada|Khuddakanikāya|1854-1899|Warren, Henry Clarke	Buddhist legends	shortfiction	reprint
hvd.hn2he5				u			1800	1800	1800	1.0	1.0		London;Printed for Vernor and Hood;1800.	Fiction		The Governess, or, Evening amusements at a boarding school	longfiction	contemporary
dul1.ark+=13960=t9f48pv82				u			1802	1802	1802	1.0	1.0	v.1	London|Printed at the Minerva Press, for Lane and Newman|1802-.	Fiction		The castle of Caithness. A romance of the thirteenth century	longfiction	contemporary
mdp.39015016424148	Helme, Elizabeth			f	uk	d. 1816.	1805	1805	1805	1.0	1.0	v.2	Brentford;Printed by and for P. Norbury;1805.	Fiction		The pilgrim of the cross : or, The chronicles of Christabelle de Mowbray : an ancient legend	longfiction	contemporary
uc1.b4104109	Porter, Jane			f	uk	1776-1850.	1810	1809	1810	9.0	5.0	v. 2	New York;D. Longworth;1810.	Fiction|NotFiction	Sir|King of Scots|1274-1329|Fiction|Fiction|Robert|d. 1305|Wallace's Rising, 1297-1304|History|Wallace, William|War of Independence, 1285-1371|History	The Scottish chiefs : a romance : five volumes in two	longfiction	contemporary
uiuo.ark+=13960=t56d67620	Francis, Sophia L		Francis, Sophia L	f	uk		1809	1809	1809	1.0	1.0	v.4	London;H. Colburn;1809.			Angelo Guicciardini, or, The bandit of the Alps	longfiction	contemporary
hvd.rsmd2m	More, Hannah			f	uk	1745-1833.	1809	1809	1809	9.0	8.0		New-York;David Carlisle;1809.	Fiction|NotFiction	English fiction	Cœlebs in search of a wife : comprehending observations on domestic habits and manner, religion and morals	longfiction	contemporary
mdp.39015016424155	Helme, Elizabeth			f	uk	d. 1816.	1805	1805	1805	1.0	1.0	v.3	Brentford;Printed by and for P. Norbury;1805.	Fiction		The pilgrim of the cross : or, The chronicles of Christabelle de Mowbray : an ancient legend	longfiction	contemporary
hvd.hn2tj4	Lathom, Francis			f	uk	1774-1832.	1807	1807	1807	1.0	1.0	v.2	London;Printed for B. Crosby and Co., by J. and E. Hodson;1807.	Fiction		Human beings, a novel	longfiction	contemporary
uiuo.ark+=13960=t0bv7w31r	Green, Sarah			f	uk	ca. 1763-1808.	1822	1808	1808	1.0	1.0	v.1	London;1822.			Who is the bridegroom?	longfiction	contemporary
nyp.33433067303937	Roche, Regina Maria			f		1764-1845.	1807	1807	1807	1.0	1.0	v. 1	New-York;P. Burtsell;1807.	Fiction	English fiction	The discarded son; or, Haunt of the banditti	longfiction	contemporary
