doc1	auth1	title1	doc2	auth2	title2	authmatch	titlematch	overlap	groundtruth	hasworks	cossim
mdp.39015063006459	trowbridge, w. r. h. (wil	Seven splendid sinners	uc1.$b737797	trowbridge, w. r. h. (wil	Seven splendid sinners	1.0	1.0	20.736164839	1	0	0.0085126257
nyp.33433074805049	butler, ellis parker	The great American pie company	nyp.33433081852745	butler, ellis parker	The great American pie company	1.0	1.0	21.840801621500002	1	0	0.0086287088
mdp.39015024078530	dana, richard henry	Two years before the mast; twenty-four years after	mdp.39015032718655	dana, richard henry	Two years before the mast, a personal narrative of life at s	1.0	0.8	21.894991775	0	0	0.0089261325
njp.32101067491678	libedinskiĭ, i︠u︡. (i︠u︡r	A week	uc1.$b602517	libedinskiĭ, i͡u. (i͡uriĭ	A week	0.84	1.0	8.5913725896	1	0	0.0090229562
mdp.39015003344309	fergusson, harvey	The conquest of Don Pedro	uc1.$b104348	fergusson, harvey	The conquest of Don Pedro	1.0	1.0	21.127298714600002	1	0	0.0091911686
uc1.b3821297	sturt, charles	Two expeditions into the interior of Southern Australia, dur	pst.000008309549	sturt, charles	Two expeditions into the interior of Southern Australia duri	1.0	1.0	152.6749986817	0	0	0.009370244
mdp.39015046386465	cohen, leonard	The favorite game	uc1.32106018035458	cohen, leonard	The favourite game	1.0	0.9714285714	6.0038870671	1	0	0.0093743581
mdp.39015055165842	naipaul, v. s. (vidiadhar	The enigma of arrival : a novel	uc1.32106007731786	naipaul, v. s. (vidiadhar	The enigma of arrival : a novel in five sections	1.0	0.9230769231	20.030327994500002	1	0	0.009445571
mdp.39015063006459	trowbridge, w. r. h. (wil	Seven splendid sinners	uc2.ark+=13960=t4bn9zn6z	trowbridge, w. r. h. (wil	Seven splendid sinners	1.0	1.0	20.736164839	1	0	0.0094566039
uc1.32106002253976	lagerlöf, selma	Marbacka	coo.31924014522027	lagerlöf, selma	Mårbacka	1.0	0.9411764706	0.0	1	0	0.009500130899999999
pst.000011216476	gordimer, nadine	Selected stories	mdp.39015004099316	gordimer, nadine	Selected stories	1.0	1.0	6.510258340499999	1	0	0.0095980437
inu.32000014442067	zweig, stefan	The royal game, Amok, Letter from an unknown woman	uc1.b3461319	zweig, stefan	The royal game ; Amok ; Letter from an unknown woman	1.0	0.9428571429000001	43.5905499758	1	0	0.0097252556
mdp.39015063931268	holmes, oliver wendell	Dorothy Q, together with A ballad of the Boston tea party & 	mdp.49015001474460	holmes, oliver wendell	Dorothy Q. Together with A ballad of the Boston tea party & 	1.0	0.9714285714	90.50654733440001	1	0	0.0097695219
