Ireland, W. H. (William Henry)	Ireland, W. H	Ireland, W. H. (William Henry)
Ireland, Annie Elizabeth (Nicholson)	Ireland, Annie Elizabeth Nicholson	Ireland, Annie Elizabeth (Nicholson)
Pemberton, Max, Sir	Pemberton, Max	Pemberton, Max, Sir
Peterson, Charles J. (Charles Jacobs)	Peterson, Charles J (Charles Jacobs)	Peterson, Charles J. (Charles Jacobs)
Perry, B. F. (Benjamin Franklin)	Perry, B. F. (Benjamin Franklin)	Perry, B. F
Pearce, J. H. (Joseph Henry)	Pearce, J. H. (Joseph Henry)	Pearce, J. H
Pennell, Elizabeth (Robins)	Pennell, Elizabeth (Robins)	Pennell, Elizabeth Robins
Pearson, Paul M. (Paul Martin)	Pearson, Paul M. (Paul Martin)	Pearson, Paul M
Pearson, C. H. (Charles Henry)	Pearson, C. H	Pearson, C. H. (Charles Henry)
Peattie, Louise Redfield, Mrs	Peattie, Louise Redfield, Mrs	Peattie, Louise Redfield
Pearson, Emily Clemens	Pearson, Emily Clemens	Pearson, Emily Clemens]
Peck, George W. (George Wilbur)	Peck, George W. (George Wilbur)	Peck, George W (George Wilbur)	Peck, George W
Pearson, T. Gilbert (Thomas Gilbert)	Pearson, T. Gilbert (Thomas Gilbert)	Pearson, T. Gilbert
Pedler, Margaret (Bass), Mrs	Pedler, Margaret (Bass)	Pedler, Margaret (Bass), Mrs
Peirce, B. K. (Bradford Kinney)	Peirce, B. K	Peirce, B. K. (Bradford Kinney)
Perkins, Edna Brush, Mrs	Perkins, Edna Brush	Perkins, Edna Brush, Mrs
Pepys, Charlotte Maria, Lady	Pepys, Charlotte Maria, Lady	Pepys, Charlotte Maria
Ognev, N. (Nikolaĭ)	Ognev, N. (Nikolaĭ)	Ognev, N (Nikolaĭ)	Ognev, N (Nikolaĭ)	Ognev, N. (Nikolaĭ)
Evans, Augusta J. (Augusta Jane)	Evans, Augusta J	Evans, Augusta J. (Augusta Jane)	Evans, Augusta J (Augusta Jane)
Evans, Florence (Wilkinson), Mrs	Evans, Florence (Wilkinson)	Evans, Florence Wilkinson	Evans, Florence (Wilkinson), Mrs
Evarts, Hal G. (Hal George)	Evarts, Hal G. (Hal George)	Evarts, Hal G
Evans, Della J.	Evans, Della J. [from old catalog]	Evans, Della J
Evans, Marguerite Florence H??l??ne Jervis	Evans, Marguerite Florence Jervis Barclay	Evans, Marguerite Florence H??l??ne Jervis	Evans, Marguerite Florence Jervis
Zeyneb, hanum	Zeyneb, hanum	Zeyneb, Hanum
Ewing, Juliana Horatia Gatty	Ewing, Juliana Horatia Gatty	Ewing, Juliana Horatia
Neale, W. Johnson (William Johnson)	Neale, W. Johnson (William Johnson)	Neale, W. Johnson
Neal, Joseph C. (Joseph Clay)	Neal, Joseph C. (Joseph Clay)	Neal, Joseph C
Nesbit, E. (Edith)	Nesbit, E (Edith)	Nesbit, E	Nesbit, E. (Edith)
Newell, C. M. (Charles Martin)	Newell, C. M. (Charles Martin)	Newell, C. M (Charles Martin)
Neverov, A. S. (Aleksandr Sergeevich)	Neverov, A. S (Aleksandr Sergeevich)	Neverov, A. S. (Aleksandr Sergeevich)
Newbolt, Henry John, Sir	Newbolt, Henry John, Sir	Newbolt, Henry John
Needell, J. H, Mrs	Needell, J. H	Needell, J. H, Mrs
Nemirovich-Danchenko, Vasili?_ Ivanovich	Nemirovich-Danchenko, Vasili?_ Ivanovich	Nemirovich-Danchenko, Vasiliĭ Ivanovich	Nemirovich-Danchenko, Vasiliĩ Ivanovich
Newell, R. H. (Robert Henry)	Newell, R. H. (Robert Henry)	Newell, R. H
Newby, P. H. (Percy Howard)	Newby, P. H (Percy Howard)	Newby, P. H. (Percy Howard)
Newton, W. Douglas, (Wilfrid Douglas)	Newton, W. Douglas (Wilfrid Douglas)	Newton, W. Douglas, (Wilfrid Douglas)
Neale, J. M. (John Mason)	Neale, J. M (John Mason)	Neale, J. M. (John Mason)
Neely, Henry M. (Henry Milton)	Neely, Henry M. (Henry Milton)	Neely, Henry M
Putnam Weale, B. L. (Bertram Lenox)	Putnam Weale, B. L	Putnam Weale, B. L. (Bertram Lenox)
Putnam, Nina (Wilcox), Mrs	Putnam, Nina (Wilcox), Mrs	Putnam, Nina Wilcox	Putnam, Nina (Wilcox)
Pullen, H. W. (Henry William)	Pullen, H. W	Pullen, H. W. (Henry William)
Herbert, A. P. Sir, (Alan Patrick)	Herbert, A. P (Alan Patrick)	Herbert, A. P. Sir, (Alan Patrick)	Herbert, A. P	Herbert, A. P. (Alan Patrick)	Herbert, A. P. (Alan Patrick), Sir
Helps, Arthur, Sir	Helps, Arthur	Helps, Arthur, Sir
Hermann, I. (Isaac)	Hermann, I	Hermann, I. (Isaac)
Heath, W. L. (William L.)	Heath, W. L. (William L.)	Heath, W. L (William L.)
Henry, Alfred H. (Alfred Hylas)	Henry, Alfred H. (Alfred Hylas)	Henry, Alfred H
Henty, G. A. (George Alfred)	Henty, G. A. (George Alfred)	Henty, G. A (George Alfred)	Henty, G. A	Henty, G.A. (George Alfred)
Henriques, Robert David, Quixano	Henriques, Robert David Quixano	Henriques, Robert David, Quixano
Hegermann-Lindencrone, L. de (Lillie de)	Hegermann-Lindencrone, L. de	Hegermann-Lindencrone, L. de (Lillie de)
Head, George, Sir	Head, George, Sir	Head, George
Herring, J. L. (John Lewis)	Herring, J. L	Herring, J. L. (John Lewis)
Head, Francis Bond, Sir	Head, Francis Bond	Head, Francis Bond, Sir
Henderson, W. J. (William James)	Henderson, W. J	Henderson, W. J. (William James)
Henderson, B. L. K. (Bernard Lionel Kinghorn)	Henderson, B. L. K	Henderson, B. L. K. (Bernard Lionel Kinghorn)
Hewlett, J. (Joseph)	Hewlett, J	Hewlett, J. (Joseph)
Heinlein, Robert A. (Robert Anson)	Heinlein, Robert A (Robert Anson)	Heinlein, Robert A. (Robert Anson)
Heaton, Eliza Osborn (Putnam), Mrs	Heaton, Eliza Osborn (Putnam), Mrs	Heaton, Eliza Osborn (Putnam)
Meek, S. P. (Sterner St. Paul)	Meek, S. P	Meek, S. P. (Sterner St. Paul)
Mencken, H. L. (Henry Louis)	Mencken, H. L. (Henry Louis)	Mencken, H. L
Meyer, John J. (John Joseph)	Meyer, John J (John Joseph)	Meyer, John J. (John Joseph)
Mechling, W        H.	Mechling, W. H	Mechling, W        H
Merwin, W. S. (William Stanley)	Merwin, W. S. (William Stanley)	Merwin, W. S (William Stanley)
Mehdevi, Anne (Sinclair)	Mehdevi, Anne (Sinclair)	Mehdevi, Anne Sinclair
Kyne, Peter B. (Peter Bernard)	Kyne, Peter B	Kyne, Peter B. (Peter Bernard)
Aswell, Mary Louise (White)	Aswell, Mary Louise (White)	Aswell, Mary Louise White
Quincy, Samuel M. (Samuel Miller)	Quincy, Samuel M. (Samuel Miller)	Quincy, Samuel M
Quiller-Couch, Arthur Thomas, Sir	Quiller-Couch, Arthur Thomas, Sir	Quiller-Couch, Arthur Thomas	Quiller-Couch, Arthur
Boston, L. M. (Lucy Maria)	Boston, L. M (Lucy Maria)	Boston, L. M. (Lucy Maria)
Boyns, R. E. (Richard Edward)	Boyns, R. E. (Richard Edward)	Boyns, R. E
Bone, David W. (David William)	Bone, David W	Bone, David W. (David William)
Bourhill, E. J, Mrs	Bourhill, E. J	Bourhill, E. J, Mrs
Bodkin, M. McDonnell (Matthias McDonnell)	Bodkin, M. McDonnell (Matthias McDonnell)	Bodkin, M. McDonnell	Bodkin, M. McD. (Matthias McDonnell)
Boyle, Virginia (Frazer), Mrs	Boyle, Virginia (Frazer), Mrs	Boyle, Virginia (Frazer)	Boyle, Virginia Frazer
Bower, B. M, Mrs	Bower, B. M	Bower, B. M, Mrs
Bolton, Sarah (Knowles)	Bolton, Sarah Knowles	Bolton, Sarah (Knowles)
Borgman, C. F. (Charles F.)	Borgman, C. F (Charles F.)	Borgman, C. F. (Charles F.)
Booth, Edward C. (Edward Charles)	Booth, Edward C	Booth, Edward C. (Edward Charles)
Botsford, Charles A. (Charles Alexander)	Botsford, Charles A. (Charles Alexander)	Botsford, Charles A
Champney, Elizabeth W. (Elizabeth Williams)	Champney, Elizabeth Williams	Champney, Elizabeth (Williams), Mrs	Champney, Elizabeth (Williams)	Champney, Elizabeth W. (Elizabeth Williams)	Champney, Elizabeth W
Chappell, George S. (George Shepard)	Chappell, George S. (George Shepard)	Chappell, George S
Chambers, Robert W. (Robert William)	Chambers, Robert W	Chambers, Robert W. (Robert William)
Chase, Eliza B. (Eliza Brown)	Chase, Eliza B	Chase, Eliza B. (Eliza Brown)
Christensen, Lars Saaybe	Christensen, Lars Saaybe	Christensen, Lars Saabye
Chetwood, W. R. (William Rufus)	Chetwood, W. R	Chetwood, W. R. (William Rufus)	Chetwood, W. R (William Rufus)
Churchill, Winston, Sir	Churchill, Winston, Sir	Churchill, Winston
Chase, J. Smeaton (Joseph Smeaton)	Chase, J. Smeaton (Joseph Smeaton)	Chase, J. Smeaton
Chase, Margaret Hatfield, Mrs	Chase, Margaret Hatfield	Chase, Margaret Hatfield, Mrs
Chesterton, G. K. (Gilbert Keith)	Chesterton, G. K (Gilbert Keith)	Chesterton, G. K. (Gilbert Keith)	Chesterton, G. K
Cheley, F. H. (Frank Hobart)	Cheley, F. H. (Frank Hobart)	Cheley, F. H
Challice, Annie Emma (Armstrong), Mrs	Challice, Annie Emma (Armstrong)	Challice, Annie Emma (Armstrong), Mrs
Chisholm, A. M. (Arthur Murray)	Chisholm, A. M. (Arthur Murray)	Chisholm, A. M
Child, (Lydia Maria), Mrs	Child, Lydia Maria	Child, (Lydia Maria), Mrs
Chamberlain, N. H. (Nathan Henry)	Chamberlain, N. H	Chamberlain, N. H. (Nathan Henry)
Chatterton, Georgiana, Lady	Chatterton, Georgiana	Chatterton, Georgiana, Lady
Channon, E. M. (Ethel Mary)	Channon, E. M	Channon, E. M. (Ethel Mary)
Chase, Amanda (Mathews), Mrs	Chase, Amanda (Mathews), Mrs	Chase, Amanda (Mathews)
Chesnutt, Charles W. (Charles Waddell)	Chesnutt, Charles W	Chesnutt, Charles W. (Charles Waddell)	Chesnutt, Charles W (Charles Waddell)
Chesney, George Tomkyns, Sir	Chesney, George Tomkyns, Sir	Chesney, George Tomkyns
Chatfield-Taylor, H. C. (Hobart Chatfield)	Chatfield-Taylor, H. C. (Hobart Chatfield)	Chatfield-Taylor, H. C
Chamot, A. E. (Alfred Edward)	Chamot, A. E. (Alfred Edward)	Chamot, A. E (Alfred Edward)
Eells, Elsie (Spicer) Mrs	Eells, Elsie (Spicer) Mrs	Eells, Elsie Spicer
McGary, Elizabeth Vis??re	McGary, Elizabeth Vis??re	McGary, Elizabeth Visère	McGary, Elizabeth Vis??re. [from old catalog]
McDonald, Etta Austin (Blaisdell), Mrs	McDonald, Etta Austin (Blaisdell)	McDonald, Etta Austin Blaisdell	McDonald, Etta Austin (Blaisdell), Mrs
McCarthy, Justin H , (Justin Huntly)	McCarthy, Justin H , (Justin Huntly)	McCarthy, Justin H	McCarthy, Justin H. (Justin Huntly)
McCutcheon, John T. (John Tinney)	McCutcheon, John T. (John Tinney)	McCutcheon, John T
McIntosh, Maria J. (Maria Jane)	McIntosh, Maria J. (Maria Jane)	McIntosh, Maria J
McNaught, Rosamond (Livingstone), Mrs	McNaught, Rosamond (Livingstone)	McNaught, Rosamond Livingstone	McNaught, Rosamond (Livingstone), Mrs
McLaren, Jack, Mrs	McLaren, Jack, Mrs	McLaren, Jack
McNeile, H. C. (Herman Cyril)	McNeile, H. C	McNeile, H. C. (Herman Cyril)
McNeal, T. A. (Thomas Allen)	McNeal, T. A. (Thomas Allen)	McNeal, T. A
