McSpadden, J. Walker (Joseph Walker)	McSpadden, J. Walker (Joseph Walker)	McSpadden, J. Walker
McClure, J. B. (James Baird)	McClure, J. B. (James Baird)	McClure, J. B
McKeown, Martha (Ferguson)	McKeown, Martha Ferguson	McKeown, Martha (Ferguson)
McKeever, Harriet B. (Harriet Burn)	McKeever, Harriet B. (Harriet Burn)	McKeever, Harriet B
Libedinskiĭ, I͡U. (I͡Uriĭ)	Libedinskiĭ, I͡U (I͡Uriĭ)	Libedinskiĭ, I͡U. (I͡Uriĭ)
Lighton, William R. (William Rheem)	Lighton, William R. (William Rheem)	Lighton, William R
Livingstone, W. P. (William Pringle)	Livingstone, W. P	Livingstone, W. P. (William Pringle)
Linton, E. Lynn (Elizabeth Lynn)	Linton, E. Lynn	Linton, E. Lynn (Elizabeth Lynn)
Lipsett,  H. Caldwell	Lipsett,  H. Caldwell	Lipsett, H. Caldwell
Linevskiĭ, A. (Aleksandr)	Linevskiĭ, A. (Aleksandr)	Linevskiĭ, A (Aleksandr)
Rølvaag, O. E. (Ole Edvart)	Rølvaag, O. E. (Ole Edvart)	Rølvaag, O. E (Ole Edvart)
Cobb, James F. (James Francis)	Cobb, James F	Cobb, James F. (James Francis)
Costello, F. H. (Frederick Hankerson)	Costello, F. H	Costello, F. H. (Frederick Hankerson)
Coppard, A. E. (Alfred Edgar)	Coppard, A. E (Alfred Edgar)	Coppard, A. E	Coppard, A. E. (Alfred Edgar)
Costain, Thomas B. (Thomas Bertram)	Costain, Thomas B. (Thomas Bertram)	Costain, Thomas B (Thomas Bertram)
Cory, David (David Magie)	Cory, David Magie	Cory, David (David Magie)
Comstock, Harriet T. (Harriet Theresa)	Comstock, Harriet T	Comstock, Harriet T. (Harriet Theresa)
Cobb, Irvin S. (Irvin Shrewsbury)	Cobb, Irvin S. (Irvin Shrewsbury)	Cobb, Irvin S (Irvin Shrewsbury)	Cobb, Irvin S
Conkling, Margaret C. (Margaret Cockburn)	Conkling, Margaret C. (Margaret Cockburn)	Conkling, Margaret C
Cottrell, Dorothy Wilkinson, Mrs	Cottrell, Dorothy Wilkinson, Mrs	Cottrell, Dorothy (Wilkinson)	Cottrell, Dorothy Wilkinson
Coulton, G. G. (George Gordon)	Coulton, G. G	Coulton, G. G. (George Gordon)
Cooper, E. H. (Edward Herbert)	Cooper, E. H	Cooper, E. H. (Edward Herbert)
Cobban, J. Maclaren (James Maclaren)	Cobban, J. Maclaren	Cobban, J. Maclaren (James Maclaren)
Cornford, L. Cope (Leslie Cope)	Cornford, L. Cope	Cornford, L. Cope (Leslie Cope)
Connolly, James B. (James Brendan)	Connolly, James B	Connolly, James B. (James Brendan)	Connolly, James B (James Brendan)
Colmore, G. (Gertrude)	Colmore, G	Colmore, G. (Gertrude)
Collingwood, Herbert W. (Herbert Winslow)	Collingwood, Herbert W. (Herbert Winslow)	Collingwood, Herbert W
Cory, Charles B. (Charles Barney)	Cory, Charles B	Cory, Charles B. (Charles Barney)
Countess of, Munster, Wilhelmina Kennedy-Erskine FitzClarence	Countess of, Munster, Wilhelmina Fitzclarence	Countess of, Munster, Wilhelmina Kennedy-Erskine FitzClarence
Cody, Louisa (Frederici), Mrs	Cody, Louisa (Frederici)	Cody, Louisa (Frederici), Mrs
Coleridge, Mary E. (Mary Elizabeth)	Coleridge, Mary E	Coleridge, Mary E. (Mary Elizabeth)
Cox, George W. (George William)	Cox, George W. (George William)	Cox, George W	Cox, George W (George William)
Cooley, Alice (Kingsbury)	Cooley, Alice (Kingsbury)	Cooley, Alice Kingsbury
Covey, Elizabeth Rockford, Mrs	Covey, Elizabeth (Rockford)	Covey, Elizabeth Rockford, Mrs
Compton-Burnett, I. (Ivy)	Compton-Burnett, I. (Ivy)	Compton-Burnett, I (Ivy)
Cowles, Julia (Darrow), Mrs	Cowles, Julia Darrow	Cowles, Julia (Darrow), Mrs
Cozzens, Frederic S. (Frederic Swartwout)	Cozzens, Frederic S	Cozzens, Frederic S. (Frederic Swartwout)
Colman, (Pamela Chandler), Mrs	Colman, Pamela Chandler	Colman, (Pamela Chandler), Mrs
Coates, Robert M. (Robert Myron)	Coates, Robert M. (Robert Myron)	Coates, Robert M (Robert Myron)
Cody, H. A. (Hiram Alfred)	Cody, H. A	Cody, H. A. (Hiram Alfred)
Codman, Russell, Mrs	Codman, Russell, Mrs	Codman, Russell
Coursey, O. W. (Oscar William)	Coursey, O. W (Oscar William)	Coursey, O. W. (Oscar William)
Naipaul, V. S. (Vidiadhar Surajprasad)	Naipaul, V. S (Vidiadhar Surajprasad)	Naipaul, V. S. (Vidiadhar Surajprasad)
Nazhivin, Iv. (Ivan)	Nazhivin, Iv (Ivan)	Nazhivin, Iv. (Ivan)
Naylor, J. B. (James Ball)	Naylor, J. B	Naylor, J. B. (James Ball)
Bennett, W. H (William Henry)	Bennett, W. H (William Henry)	Bennett, W. H
Bezzerides, A. I. (Albert Isaac)	Bezzerides, A. I (Albert Isaac)	Bezzerides, A. I. (Albert Isaac)
Benson, B. K. (Blackwood Ketcham)	Benson, B. K. (Blackwood Ketcham)	Benson, B. K
Bentley, E. C. (Edmund Clerihew)	Bentley, E. C. (Edmund Clerihew)	Bentley, E. C (Edmund Clerihew)
Belisle, D. W. (David W.)	Belisle, D. W	Belisle, D. W. (David W.)
Bell, J. J. (John Joy)	Bell, J. J	Bell, J. J. (John Joy)
Benson, E. F. (Edward Frederick)	Benson, E. F. (Edward Frederick)	Benson, E.F. (Edward Frederic)	Benson, E. F	Benson, E. F. (Edward Frederic)	Benson, E. F (Edward Frederic)
Beresford, J. D. (John Davys)	Beresford, J. D. (John Davys)	Beresford, J. D
Berlin, Ellin MacKay	Berlin, Ellin MacKay	Berlin, Ellin Mackay
Bedford-Jones, H. (Henry)	Bedford-Jones, H	Bedford-Jones, H. (Henry)
Belcher, Edward, Sir	Belcher, Edward, Sir	Belcher, Edward
Beck, L. Adams (Lily Adams)	Beck, L. Adams (Lily Adams)	Beck, L. Adams
Berkeley, Grantley F. (Grantley Fitzhardinge)	Berkeley, Grantley F. (Grantley Fitzhardinge)	Berkeley, Grantley F
Bell, F. McKelvey (Frederick McKelvey)	Bell, F. McKelvey	Bell, F. McKelvey (Frederick McKelvey)
Beerbohm, Max, Sir	Beerbohm, Max	Beerbohm, Max, Sir
Beecher, Henry Ward, Mrs	Beecher, Henry Ward, Mrs	Beecher, Henry Ward
Benecke, Else C. M. (Else Cecilia Mendelssohn)	Benecke, Else C. M	Benecke, Else C. M. (Else Cecilia Mendelssohn)
Bechdolt, Frederick R. (Frederick Ritchie)	Bechdolt, Frederick R	Bechdolt, Frederick R. (Frederick Ritchie)
Beebe, Iola, Mrs	Beebe, Iola, Mrs	Beebe, Iola
Besant, Walter, Sir	Besant, Walter	Besant, Walter, Sir
Jacobs, W. W. (William Wymark)	Jacobs, W. W. (William Wymark)	Jacobs, W. W (William Wymark)	Jacobs, W. W	Jacobs, W.W
James, G. P. R. (George Payne Rainsford)	James, G. P. R	James, G. P. R. (George Payne Rainsford)
Janvier, Thomas A. (Thomas Allibone)	Janvier, Thomas A. (Thomas Allibone)	Janvier, Thomas A
Jackson, Gabrielle Emilie Snow, Mrs	Jackson, Gabrielle Emilie Snow	Jackson, Gabrielle Emilie Snow, Mrs
Jaques, E. T. (Edward Tyrrell)	Jaques, E. T. (Edward Tyrrell)	Jaques, E. T
James, C. L. R. (Cyril Lionel Robert)	James, C. L. R (Cyril Lionel Robert)	James, C. L. R. (Cyril Lionel Robert)
Jacks, L. P. (Lawrence Pearsall)	Jacks, L. P	Jacks, L. P. (Lawrence Pearsall)
Jagendorf, M. A. (Moritz Adolph)	Jagendorf, M. A (Moritz Adolph)	Jagendorf, M. A. (Moritz Adolph)
Jamison, C. V. (Cecilia Viets)	Jamison, C. V	Jamison, C. V. (Cecilia Viets)
Jacobsen, J. P. (Jens Peter)	Jacobsen, J. P	Jacobsen, J. P. (Jens Peter)	Jacobsen, J. P (Jens Peter)
James, M. R. (Montague Rhodes)	James, M. R. (Montague Rhodes)	James, M. R
Adams, John S. (John Stowell)	Adams, John S	Adams, John S. (John Stowell)
Adams, W. H. Davenport (William Henry Davenport)	Adams, W. H. Davenport (William Henry Davenport)	Adams, W. H. Davenport
Adams, Emma H. (Emma Hildreth)	Adams, Emma H. (Emma Hildreth)	Adams, Emma H
Adams, Frank R. (Frank Ramsay)	Adams, Frank R	Adams, Frank R. (Frank Ramsay)
Guérard, Albert J. (Albert Joseph)	Guérard, Albert J. (Albert Joseph)	Guérard, Albert J (Albert Joseph)
Guthrie, A. B. (Alfred Bertram)	Guthrie, A. B. (Alfred Bertram)	Guthrie, A. B (Alfred Bertram)
Guest, Edgar A. (Edgar Albert)	Guest, Edgar A. (Edgar Albert)	Guest, Edgar A	Guest, Edgar A (Edgar Albert)
Gusev-Orenburgskiĭ, S. I. (Sergeĭ Ivanovich)	Gusev-Orenburgskiĭ, S. I. (Sergeĭ Ivanovich)	Gusev-Orenburgskiĭ, S. I (Sergeĭ Ivanovich)
Gunning, Mrs. (Susannah)	Gunning, Mrs. (Susannah)	Gunning, (Susannah), Mrs
Guerber, H. A. (Hélène Adeline)	Guerber, H. A	Guerber, H. A. (Hélène Adeline)
Gurney, A. R. (Albert Ramsdell)	Gurney, A. R (Albert Ramsdell)	Gurney, A. R. (Albert Ramsdell)
Campbell, Juliet H. L. (Juliet Hamersley Lewis)	Campbell, Juliet H. L. (Juliet Hamersley Lewis)	Campbell, Juliet H. L
Cain, James M. (James Mallahan)	Cain, James M. (James Mallahan)	Cain, James M (James Mallahan)
Calkins, Frank W. (Frank Welles)	Calkins, Frank W	Calkins, Frank W. (Frank Welles)
Caffyn, Kathleen Mannington (Hunt)	Caffyn, Kathleen Mannington (Hunt)	Caffyn, Kathleen Mannington Hunt
Carr, J. L. (Joseph Lloyd)	Carr, J. L. (Joseph Lloyd)	Carr, J. L. (James Lloyd)
Castle, William R. (William Richards)	Castle, William R	Castle, William R. (William Richards)
Carlsen, C. L. (Carl Laurence)	Carlsen, C. L. (Carl Laurence)	Carlsen, C. L
Castle, Agnes (Sweetman), Mrs	Castle, Agnes (Sweetman)	Castle, Agnes (Sweetman), Mrs
Carter, William H (William Harding)	Carter, William H	Carter, William H (William Harding)
Campbell, J. F. (John Francis)	Campbell, J. F	Campbell, J. F. (John Francis)
Cabrera Infante, G. (Guillermo)	Cabrera Infante, G. (Guillermo)	Cabrera Infante, G (Guillermo)
Caine, Hall, Sir	Caine, Hall	Caine, Hall, Sir
Cassill, R. V. (Ronald Verlin)	Cassill, R. V (Ronald Verlin)	Cassill, R. V. (Ronald Verlin)
Campbell, C. G. (Charles Grimshaw)	Campbell, C. G (Charles Grimshaw)	Campbell, C. G. (Charles Grimshaw)
Umbstaetter, H. D. (Herman Daniel)	Umbstaetter, H. D. (Herman Daniel)	Umbstaetter, H. D
Hsiung, S. I. (Shih I)	Hsiung, S. I. (Shih I)	Hsiung, S. I (Shih I)
Lucas, E. V. (Edward Verrall)	Lucas, E. V	Lucas, E. V. (Edward Verrall)
Luke, Jemima (Thompson)	Luke, Jemima Thompson	Luke, Jemima (Thompson)
Webber, Charles W. (Charles Wilkins)	Webber, Charles W	Webber, Charles W. (Charles Wilkins)	Webber, Charles W (Charles Wilkins)
Westervelt, W. D (William Drake)	Westervelt, W. D (William Drake)	Westervelt, W. D
Weiskopf, F. C. (Franz Carl)	Weiskopf, F. C. (Franz Carl)	Weiskopf, F. C (Franz Carl)
Wellman, Paul I. (Paul Iselin)	Wellman, Paul I. (Paul Iselin)	Wellman, Paul I (Paul Iselin)
Weir, Florence (Roney), Mrs	Weir, Florence (Roney)	Weir, Florence Roney	Weir, Florence (Roney), Mrs
Weaver, John V. A. (John Van Alstyne)	Weaver, John V. A. (John Van Alstyne)	Weaver, John V. A
Wedmore, Frederick, Sir	Wedmore, Frederick, Sir	Wedmore, Frederick
West, (Jane), Mrs	West, (Jane), Mrs	West, Jane
Welles, Harriet Ogden (Deen), Mrs	Welles, Harriet Ogden (Deen), Mrs	Welles, Harriet Ogden (Deen)
Wells, H. G. (Herbert George)	Wells, H. G	Wells, H. G (Herbert George)	Wells, H. G. (Herbert George)
Wetmore, Claude H. (Claude Hazeltine)	Wetmore, Claude H (Claude Hazeltine)	Wetmore, Claude H. (Claude Hazeltine)
Weld, H. Hastings (Horatio Hastings)	Weld, H. Hastings	Weld, H. Hastings (Horatio Hastings)
Richards, Jarrett T. (Jarrett Thomas)	Richards, Jarrett T. (Jarrett Thomas)	Richards, Jarrett T
Richardson, Charles F. (Charles Francis)	Richardson, Charles F. (Charles Francis)	Richardson, Charles F
Richardson, Dorothy M. (Dorothy Miller)	Richardson, Dorothy M (Dorothy Miller)	Richardson, Dorothy M. (Dorothy Miller)	Richardson, Dorothy Miller	Richardson, Dorothy M
Riis, Jacob A. (Jacob August)	Riis, Jacob A (Jacob August)	Riis, Jacob A. (Jacob August)	Riis, Jacob A
Richardson, Henry Handel, pseud	Richardson, Henry Handel, pseud	Richardson, Henry Handel
Richmond, Grace S. (Grace Smith)	Richmond, Grace S	Richmond, Grace S. (Grace Smith)
Rives, Judith Page (Walker)	Rives, Judith Page (Walker)	Rives, Judith Page Walker
Riddell, J. H., Mrs	Riddell, J. H., Mrs	Riddell, J. H, Mrs	Riddell, J. H
Ridge, W. Pett (William Pett)	Ridge, W. Pett	Ridge, W. Pett (William Pett)
Richmond, Grace Louise (Smith), Mrs	Richmond, Grace Louise (Smith) Mrs	Richmond, Grace Louise (Smith), Mrs
Rivers, George R. R. (George Robert Russell)	Rivers, George R. R	Rivers, George R. R. (George Robert Russell)
Rice, Edward I. (Edward Irving)	Rice, Edward I. (Edward Irving)	Rice, Edward I
Sedgwick, Susan Anne Livingston (Ridley)	Sedgwick, Susan Anne Livingston (Ridley)	Sedgwick, Susan Anne Livingston Ridley
Seymour, St. John D. (St. John Drelincourt)	Seymour, St. John D. (St. John Drelincourt)	Seymour, St. John D	Seymour, St. John D (St. John Drelincourt)
Seaman, Owen, Sir	Seaman, Owen, Sir	Seaman, Owen
Service, Robert W. (Robert William)	Service, Robert W. (Robert William)	Service, Robert W (Robert William)
Seymour, Beatrice Kean (Stapleton), Mrs	Seymour, Beatrice Kean (Stapleton), Mrs	Seymour, Beatrice Kean
Owen, H. Collinson (Harry Collinson)	Owen, H. Collinson (Harry Collinson)	Owen, H. Collinson
Fénelon, François de Salignac de La Mothe-	Fénelon, François de Salignac de La Mothe-	Fénelon, François de Salignac de la Mothe
Kluge, P. F. (Paul Frederick)	Kluge, P. F. (Paul Frederick)	Kluge, P. F (Paul Frederick)
Klette, C. H. B. (Charles Herman Bruno)	Klette, C. H. B. (Charles Herman Bruno)	Klette, C. H. B
Hichens, Robert (Robert Smythe)	Hichens, Robert (Robert Smythe)	Hichens, Robert Smythe
Hilton, Harold H. (Harold Horsfall)	Hilton, Harold H	Hilton, Harold H. (Harold Horsfall)
Hill, Marion, Mrs	Hill, Marion	Hill, Marion, Mrs
Hill, A. F. (Alonzo F.)	Hill, A. F. (Alonzo F.)	Hill, A. F
Hind, C. Lewis (Charles Lewis)	Hind, C. Lewis (Charles Lewis)	Hind, C. Lewis
Oppenheim, E. Phillips (Edward Phillips)	Oppenheim, E. Phillips	Oppenheim, E. Phillips (Edward Phillips)
Avena, M  R    (Mauro Ragasa)	Avena, M  R    (Mauro Ragasa)	Avena, M. R (Mauro R.)
Pyne, W. H. (William Henry)	Pyne, W. H	Pyne, W. H. (William Henry)
Dwight, H. G. (Harrison Griswold)	Dwight, H. G	Dwight, H. G. (Harrison Griswold)
Kennard, Nina H, Mrs	Kennard, Nina H, Mrs	Kennard, Nina H
Keyser, Charles S. (Charles Shearer)	Keyser, Charles S (Charles Shearer)	Keyser, Charles S. (Charles Shearer)
Keane, John F. (John Fryer)	Keane, John F.(John Fryer)	Keane, John F. (John Fryer)
Kendall, Ralph S. (Ralph Selwood)	Kendall, Ralph S	Kendall, Ralph S. (Ralph Selwood)
Kelly, M. A. B. (Meriba Ada Babcock)	Kelly, M. A. B	Kelly, M. A. B. (Meriba Ada Babcock)
