Robinson, Mary Stephens	Robinson, Mary S
Howes, Edith Annie	Howes, Edith
Williams, Elizabeth Whitney, Mrs	Williams, Elizabeth Whitney
Somerville, E. Œ. (Edith Œnone)	Somerville, E. &#xbf;. (Edith &#xbf;none)
Pearce, Donn	Pearce, Donald
Read, Charles Anderson	Read, Charles A
Anderson, Kenneth	Anderson, Ken
Heydrick, Benjamin A. (Benjamin Alexander)	Heydrick, Benjamin Alexander
Copping, Arthur E. (Arthur Edward)	Copping, Arthur Edward
Woods, Margaret L. (Margaret Louisa)	Woods, Margaret L
Shane, Peggy (Smith)	Shane, Peggy (Smith)], Mrs
Wang, Wen-shih	Wang, Wenshi
Stegner, Wallace Earle	Stegner, Wallace
Orczy, Emmuska Orczy	Orczy, Emmuska Orczy, Baroness
Esfandiary, Fereídoun M	Esfandiary, Fereidoun M
Eastlake, Elizabeth Rigby, Lady	Eastlake, Elizabeth
Tolstai͡a, Tatʹi͡ana	Tolstai͡a, T. V (Tatʹi͡ana Vladimirovna)
Klinker, Louis William	Klinker, Lewis William
Ghānim, Fatḥi	Ghānim, Fatḥī
Jackson, Gabrielle E. (Gabrielle Emilie)	Jackson, Gabrielle Emilie Snow, Mrs
Karrik, Valerian Vilʹi͡amovich	Karrik, Valerïan Vil'i͡amovich
Turner, G. Frederic	Turner, George Frederic
Savage, Minot J	Savage, Minot Judson
Burdette, Robert Jones	Burdette, Robert J. (Robert Jones)
O'Brien, Fitz-James	O'Brien, Fitz James
Stacpoole, Margaret Robson	Stacpoole, Margaret (Robson), Mrs
Wang, Chi-Chen	Wang, Chi-chên
Perry, Francis Foster	Perry, Frances Foster
Hamilton, Cicely	Hamilton, Cicely Mary
Murfree, Fanny Noailles Dickinson	Murfree, Fanny N. D
Landon, Melville D. (Melville De Lancey)	Landon, Melville D
Lister, T. H. (Thomas Henry)	Lister, T. H. $q (Thomas Henry)
Balzac, Honoré de	Balzac, Honore  de
Topelius, Zakarius	Topelius, Zacharias
Miller, Lewis B	Miller, Lewis Bennett
Olcott, Francis Jenkins	Olcott, Frances Jenkins
Yun, Hŭng-gil	Yun, Hǔng-gil
Paludan-Müller, Frederik	Paludan-M?_ller, Frederik
duchesse d', Abrantès, Laure Junot	duchesse d', Abrant`es, Laure Saint-Martin (Permon) Junot
Peterson, Charles Jacobs	Peterson, Charles J. (Charles Jacobs)
Tucci, Niccolò	Tucci, Niccolō
Falkner, William C. (William Clark)	Falkner, William Clark
Eddison, Eric Rücker	Eddison, Eric Rucker
Grow, Malcolm C	Grow, Malcolm Cummings
Snaith, J. C. (John Collis)	Snaith, John Collis
Comins, Elizabeth Barker	Comins, Elizabeth B. (Elizabeth Barker)
German, I͡Uriĭ Pavlovich	German, I︠U︡riĭ Pavlovich
Blais, Marie Claire	Blais, Marie-Claire
Marryat, Florence	Marryat, Florence R. M. Church Lean
Crewdson, Charles Newman	Crewdson, Charles N
Roe, Edward Payson	Roe, Edw. Payson
Tanizaki, Junʼichirō	Tanizaki, Junichirō
Elliott, Summer Locke	Elliott, Sumner Locke
Logan, Algernon Sidney	Logan, Algernon Sydney
Macdonald, Donald	MacDonald, Donald
Stewart, George R	Stewart, George Rippey
Woodrooffe, Anne T	Woodrooffe, Anne Cox
Thomas, W. E. (William Edward)	Thomas, W. Jenkyn (William Jenkyn)
Howard, Katherine	Howard, Katharine
Bulgakov, Mikhail Afanasʹevich	Bulgakov, Mikhail
Hayes, Hiram Wallace	Hayes, Hiram W
Wilcox, Constance Grenelle	Wilcox, Constance
Nawaz, Mumtaz Shah	Nawaz, Mumtaz Jahan Shah
Watson, Henry Clay	Watson, Henry C
Haynes, Emory James	Haynes, Emory J
Millar, George Reid	Millar, George
Gillham, Charles E	Gillham, Charles Edward
Dalton, James	Dalton, J
Robbins, Mabel Hotchkiss	Robbins, Mabel Hotchkiss. [from old catalog]
Cottrell, Dorothy Wilkinson, Mrs	Cottrell, Dorothy
Almedingen, E. M. (Edith Martha)	Almedingen, Martha Edith von
Weil, Jiřı́	Weil, Jiří
Thompson, Marice	Thompson, Maurice
Richberg, Donald R	Richberg, Donald R. (Donald Randall)
West, Morris	West, Morris L
Fitzpatrick, James Percy	Fitzpatrick, Percy
Hewlett, Maurice Henry	Hewlett, Maurice
Turner, Ethel Sybil	Turner, Ethel
Haviland, Laura S	Haviland, Laura S. (Laura Smith)
Smith, F[rank] Berkeley	Smith, Frank Berkeley
Turgenev, Ivan Sergi︠e︡evích	Turgenev, Ivan Sergeevich
Roberts, Charles G. D., Sir	Roberts, Charles George Douglas, Sir
Robertson, Florence Royall Henderson	Robertson, Florence H. (Florence Henderson)
Kennedy, Sara Beaumont	Kennedy, Sara Beaumont (Cannon)
Dawe, W. Carlton	Dawe, Carlton
Davis, Lindsey	Davis, Lindsay
Mason, Richard	Mason, Richard Lakin
Nott, Charles C	Nott, Charles Cooper
Ellis, Elizabeth	Ellis, Beth
Lytton, Constance	Lytton, Constance Georgina
Kirkman, Marshall M. (Marshall Monroe)	Kirkman, Marshall Monroe
Marmontel, Jean François	Marmontel, Jean-Fran?_ois
Whitcher, Frances Miriam Berry	Whitcher, Frances M
Campbell, Arthur Fraser	Campbell, Arthur
Roe, E. R. (Edward Reynolds)	Roe, Edward Reynolds
Stivens, Dallas	Stivens, Dal
Benedict, Robert D	Benedict, Robert Dewey
Forbes, Rosita Torr	Forbes, Rosita
Donner-Grau, Florinda	Donner, Florinda
Fenwick, Eliza	Fenwick, E (Eliza)
Sparhawk, Frances Campbell	Sparhawk, Frances C. (Frances Campbell)
Karl, Frederick R	Karl, Frederick Robert
Van Schaick, George	Van Schaick, George Gray
Mathews, Joanna Hooe	Mathews, Joanna H. (Joanna Hooe)
Maurois, Andr??	Maurois, André
Paustovsky, Konstantin	Paustovsky, Konstantin Georgievich
Westermayr, Arthur Joseph	Westermayr, Arthur J. (Arthur Joseph)
Aguilar-Cariño, Maria Luisa B	Aguilar-Carino, Maria Luisa B
Keary, Annie	Keary, A
Leprohon, Rosanna E	Leprohon, (Rosanna Eleanor), Mrs
Bernard, Frédéric	Bernard, Fr??d??ric
Palgrave, William Gifford	Palgrave, Willliam Gifford
Pawlowska, Yoï	Pawlowska, Yo??
Paton, Margaret (Whitecross)	Paton, Maggie Whitecross
Guthrie, A. B., Jr. (Alfred Bertram)	Guthrie, A. B. (Alfred Bertram)
Clacy, Helen	Clacy, Ellen
Stepniak	Stepniak, S
Matveev, Vladimir Pavlovich	Matveev, Vladimir
Lauder, Thomas Dick, Sir	Lauder, Thomas Dick
D'Alpuget, Blanche	d'Alpuget, Blanche
freifrau von, Tautphœus, Jemima (Montgomery)	Freifrau von, Tautphœus, Jemima Montgomery
Child, (Lydia Maria), Mrs	Child, Lydia Maria Francis
Wingfield, Lewis Strange	Wingfield, Lewis
Watts-Dunton, Clara Jane (Reich), Mrs	Watts-Dunton, Clara
Endore, S. Guy	Endore, Guy
Dorsey, George Amos	Dorsey, George A[mos]
Bosher, Kate Lee Langley	Bosher, Kate Langley
Lagerlf̲, Selma	Lagerlöf, Selma
Major, Harlan	Major, Marian
Rawlings, Wendy	Rawlings, Wendy Mai
Radcliffe, Ann	Radcliffe, Ann Ward
Pearson, Bill	Pearson, William
Townsend, Edward Waterman	Townsend, Edward W. (Edward Waterman)
Griffin, Gerard	Griffin, Gerald
Churchill, Caroline (Nichols)	Churchill, Caroline M. Nichols
Thorpe, Berenice (DuRae), Mrs	Thorpe, Berenice (Du Rae)
Miller, J. (Joaquin)	Miller, Joaquin
Hartley, Percy J	Hartley, Percy John
Roger, Noëlle	Roger, No??lle
Baker, William M	Baker, William Mumford
Marchmont, Arthur W. (Arthur Williams)	Marchmont, Arthur Williams
Makower, Stanley V	Makower, Stanley Victor. [from old catalog]
Legouv??, Ernest	Legouvé, Ernest
Edwards, Edward J	Edwards, E. J. (Edward J.)
Van der Post, Laurens	Van der Post, Laurons
Rieseberg, Harry Earl	Rieseberg, Harry E. (Harry Earl)
Borrow, George Henry	Borrow, George
Broughton, James	Broughton, James Richard
Vignant, Jean Francois	Vignant, Jean François
Farrar, Charles Alden John	Farrar, Charles A. J. (Charles Alden John)
Gourmont, Rémy de	Gourmont, Remy de
Haldane, Charlotte	Haldane, Charlotte Franken
Brown, Oliver Madox-	Brown, Oliver Madox
Stableton, J[ohn] K[ay]	Stableton, John Kay
Levett Yeats, S. (Sidney)	Levett-Yeats, S. (Sidney Kilner)
Allerton, James Mark	Allerton, James Martin
Lamothe-Langon, E?_tienne Le?_on	Lamothe-Langon, Etienne-Léon, baron de
Fullerton, Georgiana, Lady	Fullerton, Georgiana Charlotte Seveson-Gower, Lady
Mphahlele, Ezekiel	Mphahlele, Es'kia
