Robinson, Mary Stephens	Robinson, Mary S
Wood, Micheal	Wood, Michael
Tennyson, Alfred Tennyson	Tennyson, Alfred Tennyson, Baron
Mathews, Basil	Mathews, Basil Joseph
Polko, Elise Vogel	Polko, Elise
Brink, André Philippus	Brink, Andr ̌Philippus
Moffat, Edward S. (Edward Stewart)	Moffat, Edward Stewart
Andersen Nexø, Martin	Andersen Nex??, Martin
Davis, Varina Anne Jefferson	Davis, Varina Anne
Rives, Amélie	Rives, Am??lie
Macbean, L. (Lachlan)	Macbean, Lachlan
Bacheller, Irving Addison	Bacheller, Irving
Drury, Anna H	Drury, Anna Harriet
Marriott, Alice	Marriott, Alice Lee
O'Neill, St. C	O'Neill, H. C
Dromgoole, Will Allen	Dromgoole, William Allen
Lytton, Rosina Bulwer Lytton, Baroness	Lytton, Rosina Bulwer Lytton
Scott, J. D. (John Dick)	Scott, John Dick
Reynolds, George William McArthur	Reynolds, George W. M. (George William MacArthur)
Mastretta, Ángeles	Mastretta, Angeles
Baring-Gould, S. (Sabine)	Baring-Gould, S. (Sabine),1834-1924
Rouech,̌ Berton	Roueché, Berton
Manfredi, Reně	Manfredi, Renée
Stokes, Samuel Evans	Stokes, Samuel
Gasparin, Valérie Boissier de	Gasparin, Val??rie Boissier de
Gillpatrick, Wallace	Gillpatrick, Owen Wallace
Vikelas, Dēmētrios	Vikelas, D??m??trios
Wasserman, Jakob	Wassermann, Jakob
Forbes, Rosita Torr	Forbes, Rosita Torr, Mrs
Richards, Thomas Addison	Richards, T. Addison
Clutesi, George	Clutesi, George C
Houston, James A	Houston, James
Bacci, Pietro Glacomo	Bacci, Pietro Giacomo
Trevor-Battye, Aubyn	Trevor-Battye, Aubyn [Bernard Rochfort]
Disraeli, Benjamin	Disraeli, Benjamin, Earl of Beaconsfield
Currie, Barton	Currie, Barton Wood
Momaday, Natachee Scott	Momaday, N. Scott
Souvestre, Emile	Souvestre, Émile
MacHarg, William	MacHarg, William Briggs
Eaton, Charlotte A. (Charlotte Anne)	Eaton, Charlotte Anne Waldie
Aldrich, Thomas Bailey	Aldrich, Thomas Bailey, Mrs
Atwood, Margaret	Atwood, Margaret Eleanor
Khvylʹovyĭ, Mykola	Khvylʹovyĭ, Mykola, pseud
Serao, Matilde	Serao, Mathilde
Hammond, Samuel H	Hammond, S. H. (Samuel H.)
Hale, Edward Everett	Hale, Edward Everett, Sr
Jones, Roderick	Jones, Rod
Huntley, Florence	Huntley, Florence Chance
Obukhova, Lidii͡a	Obukhova, Lidii︠a︡
Longstreet, Augustus Baldwin	Longstreet, Angustus Baldwin
Japrisot, Sébastien	Japrisot, Sebastien
Meredith, George	Meredith, G
Smith, Charlotte Turner	Smith, Charlotte
Aleksin, Anatoliǐ Georgievich	Aleksin, Anatoliĭ Georgievich
Llanos Gutierrez, Valentin	Llanos Gutiérrez, Valentín
Baudiš, Josef	Baudiš, Josef B
Dickinson, Ellen E	Dickinson, Ellan E
Rasputin, Valentin	Rasputin, Valentin Grigorʹevich
Long, Catharine	Long, Catharine, Lady
Hadley, Arthur Twining	Hadley, Arthur T
Simmel, Johnnes Mario	Simmel, Johannes Mario
Carrighar, Sally	Carrigher, Sally
Murray, William Henry Harrison	Murray, William H[enry] H[arrison]
Allison, Samuel B	Allison, Samuel Buell
Berto, Guiseppe	Berto, Giuseppe
Erdman, Paul Emil	Erdman, Paul
Postgate, Raymond	Postgate, Raymond William
Marshall, L. A, Mrs	Marshall, Mrs
Balzac, Honore  de	Balzac, Honoré de
Cozzens, Frederick Swartwout	Cozzens, Frederic S. (Frederic Swartwout)
Karrik, Valerïan Vilʹi͡amovich	Karrik, Valerïan Vil'i͡amovich
MacMillan, Cyrus	Macmillan, Cyrus
Shoemaker, Henry Wharton	Shoemaker, Henry W. (Henry Wharton)
Harvey, Louis V	Harvey, Louis Verne
Clark, George Edward. [from old catalog]	Clark, George Edward
Benson, Robert Hugh	Benson, Robert Hugh, (Spirit)
Erckmann, Emile	Erckman, Emile
Beard, Oliver Thomas	Beard, O. T. (Oliver Thomas)
Henderson, Walter George	Henderson, Walter Gordon
Parry, David Maclean	Parry, David M
Libedinskiĭ, I︠U︡. (I︠U︡riĭ)	Libedinskiĭ, I͡U. (I͡Uriĭ)
Wright, Alexis, 1950-	Wright, Alexis
Chernova-Kolbasina, Olʹga E	Chernova-Kolbasina, Ol'ga E
Countess of, Guernesy	Countess of., Guernsey
Van der Naillen, A	Van der Naillen, Albert
Enriquez, Antonio S	Enriquez, Antonio Reyes
Rutledge, Archibald	Rutledge, Archibald Hamilton
Edwords, Clarence Edgar	Edwords, Clarence E
Krymov, I︠U︡riĭ	Krymov, I͡Uriĭ
Harley, A. J	Harley, A J
Riley, Henry Hiram	Riley, H. H. (Henry Hiram)
Barry, Max	Barry, Maxx
Ramani, Hasoo Kewal	Ramani, Hashoo Kewal
Lugard, Flora Louisa Shaw	Lugard, Flora Louise Shaw
Stewart, Charles David	Stewart, Charles D. (Charles David)
Sartre, Jean Paul	Sartre, Jean-Paul
Stewart, Charles D. (Charles David)	Stewart, Charles David
Yonge, Charlotte Mary	Yonge, Charlotte M. (Charlotte Mary)
Yeates, V. M. (Victor M)	Yeates, Victor M
Petry, Ann	Petry, Ann Lane
Ihimaera, Witi	Ihimaera, Witi Tame
Cartwright, W	Cartwright, William
Kendrick, Baynard H	Kendrick, Baynard
Zitkala-S̈a	Zitkala-S??a
Irvine, Leigh Hadley	Irvine, Leigh H
Lepelletier, Edmond (Edmond Adolphe de Bouheller)	Lepelletier, Edmond
Kendrick, Baynard Hardwick	Kendrick, Baynard
Gras, Félix	Gras, F??lix
Dumas, Alexandre, pere	Dumas, Alexandre
Hyde, Lilian Stoughton	Hyde, Lillian Stoughton
Card, H. (Henry)	Card, Henry
Bellew, Francis John	Bellew, Francis J
Hardy, Frank Joseph	Hardy, Frank J
West, Rebecca, Dame	West, Rebecca
Pakington, Humphrey, baron Hampton	Pakington, Humphrey
Palacio Vald??s, Armando	Palacio Valdés, Armando
Sitwell, Edith, Dame	Sitwell, Edith
Laboulaye, Édouard	Laboulaye, Edouard
Wilson, Lucy Sarah Atkins	Wilson, Sarah Atkins
Przybyszewski, S	Przybyszewski, Stanisław
Lincoln, Natalie Summer	Lincoln, Natalie Sumner
Bell, Lillian Lida	Bell, Lilian
Pocock, Roger	Pocock, Roger S
Hubbard, Douglass	Hubbard, Douglass H
Peple, Edward Henry	Peple, Edward
Steiner, Jean François	Steiner, Jean-François
Racoviţa, Elena (von Dönniges)	Racovița, Elena (von Dönniges)
Lin, Katherin von der	Lin, Katherine von der
Bazin, R	Bazin, Ren??
Janson, Kristofer	Janson, Kristofer Nagel
Hillary, Richard	Hillary, Richard Hope
Jerrold, Douglas William	Jerrold, Douglas
Robinson, Eliot Harlow	Robinson, Eliot H. (Eliot Harlow)
Chesnutt, Charles W. (Charles Waddell)	Chesnutt, Charles Waddell
Hepworth, George H	Hepworth, George H. (George Hughes)
Cannon, LeGrand	Cannon, Le Grand
Thompson, Maravene	Thompson, Maravene Kennedy
Ellis, John Breckenridge	Ellis, J. Breckenridge (John Breckenridge)
Safroni-Middleton, A (Arnold)	Safroni-Middleton, Arnold
Sologub, Fydor	Sologub, Fyodor
Wright, J. C. (John Couchois)	Wright, John C. (John Couchois)
Mackintosh, William R	Mackintosh, W. R
