docid,author,realname,pseudonym,gender,nationality,authordate,inferreddate,firstpub,latestcomp,allcopiesofwork,copiesin25yrs,enumcron,imprint,genres,subjects,category,shorttitle
uiuo.ark+=13960=t3bz6wf26,"Helme, Elizabeth",,,f,uk,d. 1814?,1801,,1801,4,4,v.4,London;Printed for Earle and Hemet;1801.,,,novel,St. Margaret's cave
hvd.hn2hei,"Semple, Elizabeth",,,f,uk,fl. 1804-1816.,1801,,1801,2,2,v.1,London;Printed for E. Lloyd ...;1801.,Juvenile audience|Fiction,Conduct of life|Children,juvenile|shortstories,"Summer rambles, or, Conversations, instructive and entertaining : for the use of children : dedicated (by permission) to Her Royal Highness The Princess Charlotte of Wales"
mdp.39076006602267,"Mackenzie, Henry",,,m,uk,1745-1831.,1808,1777,1808,10,7,v.3,"Edinburgh;Printed by J. Ballantyne and co. for A. Constable and co.; [etc., etc.;1808.",Bibliographies|Fiction|NotFiction,"Lord|1711-1792|1745-1795|Tytler, William|Blacklock, Thomas|Abercromby, Alexander Abercromby|1721-1791",novel,Julia de Roubigné
uiuo.ark+=13960=t9x06cv0p,"Burney, Sarah Harriet",,,f,uk,1772-1844.,1808,,1808,9,9,v.1,London;Printed for G. Wilkie and J. Robinson;1808.,NotFiction,,novel,Geraldine Fauconberg
njp.32101069165098,"Burney, Sarah Harriet",,,f,uk,1772-1844.,1808,,1808,9,9,vol. 2,London;Printed for G. Wilkie and J. Robinson;1808.,NotFiction,,novel,Geraldine Fauconberg
uiuo.ark+=13960=t5v705989,"Hook, Theodore Edward",,,m,uk,1788-1841.,1808,,1808,5,3,v.1,London;S. Tipper;1808.,Fiction,,novel,The man of sorrow;
nyp.33433074917877,"Carter, Elizabeth",,,f,uk,1717-1806.,1809,,1806,9,9,v. 4,London;F. C. and J. Rivington;1809.,London|NotFiction|England|ContainsBiogMaterial|Publishers' advertisments,"Vesey, Elizabeth Vesey|1715?-1791|Carter, Elizabeth|1717-1806|1721-1770|Correspondence|Talbot, Catherine",nonfic,"A series of letters between Mrs. Elizabeth Carter and Miss Catherine Talbot, from the year 1741 to 1770 : to which are added, Letters from Mrs. Elizabeth Carter to Mrs. Vesey, between the years 1763 and 1787 : published from the original manuscripts in the posession of the Rev. Montagu Pennington"
uc1.b3287723,"Cumberland, Richard",,,m,uk,1732-1811.,1809,,1809,7,7,v.2,"London;Printed for Lackington, Allen, and Co.;1809.",Fiction|NotFiction,English fiction,novel,John de Lancaster.  A novel
uiuo.ark+=13960=t49p3m240,"Meeke, Mary","Meeke, Elizabeth",Gabrielli,f,uk,1761-1826.,1809,,1809,4,4,v.2,"London;Printed at the Minerva Press, for Lane, Newman;1809.",,,novel,Langhton Priory
njp.32101066459882,"Goulburn, Edward",,,m,uk,1787-1868.,1811,,1811,4,4,,London;Printed for J. Ebers;1811.,Fiction,,novel,Frederick de Montford: a novel
njp.32101072790536,Madame de. C,,,f,uk,,1811,,1811,2,2,vol.1,London;Printed for Henry Colburn ...;1811.,Fiction,,novel,"A winter in Paris; or, Memoirs of Madame de C****:"
njp.32101037977533,"Cuthbertson, Catherine",,,f,uk,1775-1842.,1813,,1813,4,4,vol.5,London;Printed for G. and S. Robinson and Cradock and Joy;1813.,Fiction,,novel,"Adelaide, or, The countercharm : a novel"
