"docid","author","realname","pseudonym","gender","nationality","authordate","inferreddate","firstpub","latestcomp","allcopiesofwork","copiesin25yrs","enumcron","imprint","genres","subjects","category","shorttitle"
"uiuo.ark+=13960=t8pc3pr08","Fuller, Anne",,,"f","uk","d. 1790.",1800,1790,1800,2,2,"v.2","London;Printed for G.G. and J. Robinson;1800.",,,"novel","The son of Ethelwolf"
"nyp.33433074951942","Dallas, Robert Charles",,,"m","uk","1754-1824.",1804,1804,1804,4,4,"v. 1","London;Printed for T. N. Longman;O. Rees;1804.","NotFiction",,"novel","Aubrey : a novel"
"uiuo.ark+=13960=t1pg2cj2j","Edgeworth, Maria",,,"f","uk","1767-1849.",1804,1800,1804,13,6,"v.1","London;Printed for J. Johnson, St. Paul's Church-yard, by C. Mercier and Co.;1804.","Fiction|NotFiction","Juvenile literature|X823ED3PO|Children's stories, English|Conduct of life","novel","Popular tales"
"njp.32101069165098","Burney, Sarah Harriet",,,"f","uk","1772-1844.",1808,1808,1808,9,9,"vol. 2","London;Printed for G. Wilkie and J. Robinson;1808.","NotFiction",,"novel","Geraldine Fauconberg"
"njp.32101068177995","Hervey, Elizabeth",,,"f","uk","fl. 1788-1814.",1814,1814,1814,8,8,"vol.2","London;H. Colburn;1814.","Fiction",,"novel","Amabel; or, Memoirs of a woman of fashion"
"njp.32101062933468","West, (Jane), Mrs",,,"f","uk","1758-1852.",1814,1814,1814,3,3,"v. 4","London;Longman, Hurst, Rees, Orme, and Brown;1814.","Fiction",,"novel","Alicia de Lacy : an historical romance"
"njp.32101067631307","the elder, | pseud. Brown, Thomas",,,"m","uk",,1818,,1818,3,3,"v.2","London;Printed for the author;1818.","Fiction",,"novel","Bath : a satirical novel, with portraits"
"uiuo.ark+=13960=t6543bw1s","Smith, Charlotte Turner",,,"f","uk","1749-1806.",1821,,1806,3,3,"v.2","London;Printed for W. Wright;1821.",,,"novel","The republican's mistress;"
"njp.32101067640746","Moore, Alicia Radford",,,"f","uk",,1821,,1821,4,4,"v.3","London;Baldwin, Cradock, and Joy;1821.","Fiction",,"novel","The sisters: a novel, in four volumes"
"nyp.33433074915020","Morier, James Justinian",,,"m","uk","1780?-1849.",1824,1824,1824,25,13,"v. 2","Philadelphia;A. Small;1824.","Bibliographies|Fiction|NotFiction","English fiction","novel","The adventures of Hajji Baba, of Ispahan"
"wu.89087923348","Banim, John",,,"m","ir","1798-1842.",1826,,1826,6,6,"v.2","London;H. Colburn;1826.","Fiction","Fiction","novel","Tales by the O'Hara family : second series : comprising the Nowlans, and Peter of the castle"
"wu.89101370583","Smith, Horace",,,"m","uk","1779-1849.",1826,1826,1826,16,16,"v.1","London;Henry Colburn;1826.","Fiction|NotFiction","Commonwealth and Protectorate, 1649-1660|Fiction|History","novel","Brambletye house : or, Cavaliers and roundheads : a novel"
"uiuo.ark+=13960=t5w66tq0x","Eaton, Charlotte A",,,"f","uk","1788-1859.",1827,,1827,3,3,"v.3","Edinburgh;W. Blackwood;London;T. Cadell;1827.",,"Rome (Italy)|Italy|Fiction|1789-1815|History","novel","Vittoria Colonna"
"njp.32101068972866","Lauder, Thomas Dick, Sir",,,"m","uk","1784-1848.",1827,1827,1827,2,2,"vol.2","Edinburgh|Printed for Cadell|1827.","Fiction",,"novel","The Wolfe of Badenoch : a historical romance of the fourteenth century"
"uc2.ark+=13960=t3cz3724j","Normanby, Constantine Henry Phipps",,,"m","uk","1797-1863.",1828,1828,1828,2,2,"v.1","London;H. Colburn;1828.",,,"novel","Yes and no"
"njp.32101067707628","Beazley, Samuel",,,"m","uk","1786-1851.",1828,1828,1828,6,6,"vol.1","London;H. Colburn;1828.","Fiction|NotFiction","Lytton, Edward Bulwer Lytton|1803-1873|supposed author|Baron","novel","The roué"
"uc1.b249642","Grattan, Thomas Colley",,,"m","ir","1792-1864.",1831,,1831,5,5,"v. 2","London;H. Colburn and R. Bentley;1831.",,,"novel","Jacqueline of Holland"
"nyp.33433075764427","Warren, Samuel",,,"m","uk","1807-1877.",1831,,1831,5,5,"v. 1","New York;J. & J. Harper;1831.","Fiction|NotFiction",,"novel","Affecting scenes : being passages from the diary of a physician"
"uiuo.ark+=13960=t5q81zx6d","Warren, Samuel",,,"m","uk","1807-1877.",1832,,1832,11,10,"v.2","Edinburgh;W. Blackwood & Sons; [etc., etc.;1832.","Fiction|NotFiction","Diaries","novel","Passages from the diary of a late physician"
"uiuo.ark+=13960=t5v70147x","James, G. P. R. (George Payne Rainsford)",,,"m","uk","1801?-1860.",1832,1832,1832,4,4,"v.2","London;R. Bentley;1832.","Fiction|NotFiction",,"novel","The string of pearls"
"uc2.ark+=13960=t6445pn55","Morier, James Justinian",,,"m","uk","1780?-1849.",1834,1834,1834,9,9,"v.01","London;R. Bentley;1834.","Fiction",,"novel","Ayesha, the maid of Kars"
"mdp.39015063560430","Howitt, Mary Botham",,,"f","uk","1799-1888.",1836,1836,1836,10,10,"v.2","London;R. Bentley;1836.","Fiction|NotFiction",,"novel","Wood Leighton : or, A year in the country"
"hvd.32044090343690","Gore, (Catherine Grace Frances), Mrs",,,"f","uk","1799-1861.",1838,,1838,3,3,"v.3","London;H. Colburn;1838.","Fiction",,"novel","Mary Raymond, and other tales"
"uiuo.ark+=13960=t7dr3ft5q","Pisani, Marianna",,,"f",,,1840,,1840,3,3,"v.2","London;Henry Colburn, publisher, Great Marlborough Street;1840.",,,"novel","The banker-lord"
"uc1.b250188","Marryat, Frederick",,,"m","uk","1792-1848.",1842,,1842,13,9,"v. 2","London;H. Colburn;1842.","Bibliographies|Fiction","English fiction","novel","Percival Keene"
"uiuo.ark+=13960=t3320j74x","Lever, Charles James",,,"m","ir","1806-1872.",1844,1844,1844,4,3,"v.2","London;Henry Colburn;1844.","NotFiction",,"novel","Arthur O'Leary"
"uiuo.ark+=13960=t8sb4r697","Wallace, Ellen",,,"f",,,1846,,1846,3,3,"v.2","London;R. Bentley;1846.",,,"novel","Margaret Capel"
"nyp.33433082469630","Mitchell, Donald Grant",,"Marvel, Ik","m","us","1822-1908.",1847,,1847,6,6,,"New York;Harper & brothers;1847.","NotFiction","Description and travel","novel","Fresh gleanings; or, A new sheaf from the old fields of continental Europe"
"nyp.33433074930037","Brontë, Anne",,"Bell, Acton","f","uk","1820-1849.",1848,,1848,23,2,,"New York;Harper & brothers;1848.","Domestic fiction|ContainsBiogMaterial|NotFiction|Bibliographies|Fiction|UnknownGenre","Married women|19th century|English fiction|England|Fiction|Social life and customs|Fiction|Landlord and tenant|Social life and customs|Alcoholics|Alcoholism","novel","The tenant of Wildfell Hall"
"uiuo.ark+=13960=t3kw5sm3s","Grant, James",,,"m","uk","1822-1887.",1848,,1848,7,6,"v.2","London;Smith, Elder;1848.","Fiction",,"nonfic","Adventures of an aide-de-camp, or A campaign in Calabria"
"loc.ark+=13960=t06w9z19d","Mitford, Mary Russell",,,"f","uk","1787-1855.",1850,1832,1850,2,2,,"Philadelphia;Crissy & Markley;1850",,,"shortstories","The works of Mary Russell Mitford"
"uiuo.ark+=13960=t50g48273","Paton, A. A",,,"m",,,1851,,1851,6,6,"v.3","London;Bentley;1851.",,,"novel","The mamelukes"
"uc2.ark+=13960=t91837s15","Otis, Harrison Gray, Mrs","Otis, Eliza Henderson",,"f","us","1796-1873.",1854,,1854,2,2,,"Boston;Ticknor, Reed, and Fields;1854.",,,"novel","The Barclays of Boston"
"nyp.33433073355830","Gogolʹ, Nikolaĭ Vasilʹevich",,,"m","ru","1809-1852.",1854,1842,1852,2,2,"v. 2.","London;Hurst and Blackett, Publishers;1854.","Fiction","Fiction|1533-1917|Social life and customs","novel","Home life in Russia | alternate title: Dead Souls"
"loc.ark+=13960=t3pv6rx2w","Hopkins, Samuel",,,"m","us","1807-1887.",1856,,1856,4,4,,"Boston;J. P. Jewett;New York;Sheldon, Blakeman;1856.",,"1580-1631|Smith, John|History|Virginia|Colonial period, ca. 1600-1775","novel","The youth of the Old Dominion"
"uc1.b3321301","Craik, Georgiana M. (Georgiana Marion)",,,"f","uk","1831-1895.",1857,,1857,8,8,"v.1","London;Smith, Elder;1857.","Fiction",,"novel","Riverston"
"uiuo.ark+=13960=t5z611x2s","Lytton, Rosina Bulwer Lytton, Baroness",,,"f","uk",,1858,,1858,3,3,"v.3","London;C.J. Skeet;1858.",,,"novel","The world and his wife, or, A person of consequence"
"uc2.ark+=13960=t7sn04f3b","Doesticks, Q. K. Philander",,,"m","us","1831-1875.",1859,,1859,2,2,,"New York;Rudd & Carleton;1859.",,"Fortune-telling","nonfic","The witches of New York"
"uiuo.ark+=13960=t3bz6t881","Sala, George Augustus",,,"m","uk","1828-1895.",1860,,1860,6,6,"v.3","London;Charles F. Skeet;1860.",,,"novel","The Baddington peerage: who won, and who wore it"
"uiuo.ark+=13960=t0jt0c18w","Dickens, Charles",,,"m","uk","1812-1870.",1864,,1864,40,16,"v.3","New York;J. Bradburn, 1864-65.","Satire|ContainsBiogMaterial|NotFiction|Bibliographies|Love stories|Fiction","Dickens, Charles|Inheritance and succession|Fiction|London (England)|Poor families|Deception|Social classes|1812-1870","novel","Our mutual friend"
"njp.32101072041773","Neil, Ross",,,"m",,"1840?-1888.",1864,,1864,3,3,"vol.2","London;Tinsley Brothers;1864.","Fiction",,"novel","Abbot's Cleve, or, Can it be proved? : a novel"
"uiuo.ark+=13960=t05x2z259","Riddell, J. H., Mrs","Riddell, Charlotte",,"f","ir","1832-1906.",1866,,1866,5,3,"v.1","London;Tinsley Brothers;1866.","NotFiction",,"novel","Phemie Keller"
