HTid,recordid,OCLC,LOCnum,author,imprint,date,enumcron,materialtype,subjects,genres,title,firstpub,Hackettlist,NumInList,Jgenre,Present
uc2.ark:/13960/t5m904803,663882,757330,PZ3.C474Cr,"Churchill, Winston,","New York;The Macmillan company;London;Macmillan & co., ltd.;1901.",1901,<blank>,monograph,"History;Fiction;Civil War, 1861-1865;United States",,The crisis,1901,1901,1,fic,
uc1.b4783123,11589070,<blank>,<blank>,"Churchill, Winston,",New York;London;The Macmillan Co;1901.,1901,<blank>,monograph,"History;Fiction;Civil War, 1861-1865;United States",,The crisis,1901,1901,1,fic,y
pst.000028367130,9819429,1088324,PZ3.C474Cr 4,"Churchill, Winston,",New York;Grosset & Dunlap;1905].,1905,<blank>,monograph,"History;Fiction;Civil War, 1861-1865;United States",Not fiction,The crisis,1901,1901,1,fic,
mdp.39015031222345,663883,6542904,PZ3.C474Cr10,"Churchill, Winston,",New York;The Macmillan Company;1922.,1922,<blank>,monograph,<blank>,Fiction;Bibliographies,The crisis,1901,1901,1,fic,
uc1.b3329009,7929377,42380311,<blank>,"Thompson, Maurice,",Indianapolis;Bobbs-Merrill;c1900.,1900,<blank>,,"Indiana;Fiction;Revolution, 1775-1783;History",Fiction,Alice of old Vincennes,1900,1901,2,fic,
nyp.33433076080732,8660979,17397016,<blank>,"Thompson, Maurice,","Indianapolis;The Bowen-Merrill Company;c1900;(Brooklyn, N.Y.;Braunsworth, Munn & Barber).",1900,<blank>,,Indiana;Fiction;History,Fiction,Alice of old Vincennes,1900,1901,2,fic,
uc2.ark:/13960/t1mg7g187,7673542,17396935,PZ3.T376A,"Thompson, Maurice,",Indianapolis;The Bowen-Merrill Company;c1900,1900,<blank>,,Indiana;Fiction;History,Fiction,Alice of old Vincennes,1900,1901,2,fic,y
mdp.39015063927910,779936,3661560,<blank>,"Runkle, Bertha.",New York;Grosset & Dunlap;c1901,1901,<blank>,monograph,<blank>,Fiction,The helmet of Navarre;,1901,1901,3,fic,
mdp.39015063927985,780144,892379,PZ3.R875H,"Runkle, Bertha.",New York;The Century co.;1901.,1901,<blank>,monograph,<blank>,Fiction,The helmet of Navarre;,1901,1901,3,fic,y
nyp.33433076054968,780144,892379,PZ3.R875H,"Runkle, Bertha.",New York;The Century co.;1901.,1901,<blank>,monograph,<blank>,Fiction,The helmet of Navarre;,1901,1901,3,fic,
uc2.ark:/13960/t0bv7gg7m,1024215,169519,PS8481.A7R5 1901,"Parker, Gilbert,",New York;Harper & brothers;1901.,1901,<blank>,monograph,<blank>,Not fiction,The right of way,1901,1901,4,fic,
nyp.33433075749113,1024215,169519,PS8481.A7R5 1901,"Parker, Gilbert,",New York;Harper & brothers;1901.,1901,<blank>,monograph,<blank>,Not fiction,The right of way,1901,1901,4,fic,
uva.x004332650,1024215,169519,PS8481.A7R5 1901,"Parker, Gilbert,",New York;Harper & brothers;1901.,1901,<blank>,monograph,<blank>,Not fiction,The right of way,1901,1901,4,fic,
