HTid,recordid,OCLC,LOCnum,author,imprint,date,enumcron,materialtype,subjects,genres,title,firstpub,Hackettlist,NumInList,Jgenre,Present
mdp.39015063973492,785215,1908718,<blank>,"Ward, Humphry,","London;Smith, Elder & co.;1905.",1905,<blank>,monograph,<blank>,Fiction,The marriage of William Ashe,1905,1905,1,fic,
uc1.b3325269,6131569,2029830,<blank>,"Ward, Humphry,",New York;Grosset & Dunlap;1905.,1905,<blank>,monograph,<blank>,Fiction,The marriage of William Ashe,1905,1905,1,fic,
uc2.ark:/13960/t2q52kp3s,7693576,8093374,<blank>,"Ward, Humphry,",Leipzig;B. Tauchnitz;1905.,1905,v.1,monograph,<blank>,Fiction,The marriage of William Ashe,1905,1905,1,fic,
uc2.ark:/13960/t7br8s506,7693576,8093374,<blank>,"Ward, Humphry,",Leipzig;B. Tauchnitz;1905.,1905,v.2,monograph,<blank>,Fiction,The marriage of William Ashe,1905,1905,1,fic,
uc2.ark:/13960/t5z60rd5t,7707828,1446559,<blank>,"Ward, Humphry,",New York and London;Harper & Brothers Publishers;1905.,1905,<blank>,monograph,<blank>,Fiction,The marriage of William Ashe,1905,1905,1,fic,
nyp.33433075764088,7707828,1446559,<blank>,"Ward, Humphry,",New York and London;Harper & Brothers Publishers;1905.,1905,<blank>,monograph,<blank>,Fiction,The marriage of William Ashe,1905,1905,1,fic,
nyp.33433075764062,8691019,7594248,<blank>,"Ward, Humphry,",New York;London;Harper & brothers;1905.,1905,v. 2,monograph,English fiction,Fiction,The marriage of William Ashe; a novel,1905,1905,1,fic,y
nyp.33433075764070,8691019,7594248,<blank>,"Ward, Humphry,",New York;London;Harper & brothers;1905.,1905,v. 1,monograph,English fiction,Fiction,The marriage of William Ashe; a novel,1905,1905,1,fic,y
nyp.33433076048598,6498808,286012,<blank>,"Rice, Alice Caldwell Hegan,",New York;The Century co.;1905.,1905,<blank>,monograph,<blank>,Fiction,Sandy,1905,1905,2,fic,
uc2.ark:/13960/t9c53gj4f,6498808,286012,<blank>,"Rice, Alice Caldwell Hegan,",New York;The Century co.;1905.,1905,<blank>,monograph,<blank>,Fiction,Sandy,1905,1905,2,fic,y
mdp.39015059377633,115974,365022,<blank>,"Hichens, Robert,",New York;Grosset & Dunlap;1904,1904,<blank>,monograph,<blank>,Not fiction,The garden of Allah,1904,1905,3,fic,
uc2.ark:/13960/t9571c024,115974,365022,<blank>,"Hichens, Robert,",New York;Grosset & Dunlap;1904,1904,<blank>,monograph,<blank>,Not fiction,The garden of Allah,1904,1905,3,fic,
mdp.49015002772011,4591901,365022,<blank>,"Hichens, Robert,",New York;Grosset & Dunlap;1904,1904,<blank>,monograph,<blank>,Not fiction,The garden of Allah,1904,1905,3,fic,
nyp.33433074870738,8669287,37244176,<blank>,"Hichens, Robert,",London;Methuen;1904,1904,<blank>,monograph,<blank>,Not fiction,The garden of Allah,1904,1905,3,fic,
coo.31924013625805,11406016,9561048,<blank>,"Hichens, Robert,",Leipzig;B. Tauchnitz;1904.,1904,v.1,monograph,<blank>,Not fiction,The garden of Allah,1904,1905,3,fic,
coo.31924064995495,11406016,9561048,<blank>,"Hichens, Robert,",Leipzig;B. Tauchnitz;1904.,1904,v.2,monograph,<blank>,Not fiction,The garden of Allah,1904,1905,3,fic,
uc2.ark:/13960/t3mw2bz4j,115969,4307391,<blank>,"Hichens, Robert,",New York;F.A. Stokes Company;1905,1905,<blank>,monograph,<blank>,Fiction,The garden of Allah,1904,1905,3,fic,y
loc.ark:/13960/t7kp8kt2p,9588939,<blank>,PR6015.I4G4 1911,"Hichens, Robert,",N.Y.;c1911.,1911,<blank>,monograph,<blank>,Not fiction,The garden of Allah,1904,1905,3,fic,
nc01.ark:/13960/t5n87970b,10936629,2807104,<blank>,"Dixon, Thomas,",New York;American News Co.;1905.,1905,<blank>,monograph,"Ku Klux Klan (1915- );Dixon, Thomas;1864-1946;Clansman",Not fiction,The clansman,1905,1905,4,fic,
uc2.ark:/13960/t2891221h,7657849,2181665,<blank>,"Dixon, Thomas,",New York;A. Wessels;1907.,1907,<blank>,monograph,Ku Klux Klan (19th century),Fiction,The clansman,1905,1905,4,fic,
uc2.ark:/13960/t8v980b3t,7657849,2181665,<blank>,"Dixon, Thomas,",New York;A. Wessels;1907.,1907,<blank>,monograph,Ku Klux Klan (19th century),Fiction,The clansman,1905,1905,4,fic,
mdp.39015013736296,119921,624730,PZ3.D646C,"Dixon, Thomas,","New York;Doubleday, Page & company;1905.",1905,<blank>,monograph,Ku Klux Klan (19th century),Fiction,The clansman;,1905,1905,4,fic,y
nc01.ark:/13960/t7zk5ct4d,119921,624730,PZ3.D646C,"Dixon, Thomas,","New York;Doubleday, Page & company;1905.",1905,<blank>,monograph,Ku Klux Klan (19th century),Fiction,The clansman;,1905,1905,4,fic,
nyp.33433074809298,8614257,<blank>,<blank>,"Dixon, Thomas,",New York;Doubleday;1905.,1905,<blank>,monograph,"Ku Klux Klan (1915- );Fiction;Reconstruction (U.S. history, 1865-1877)",Fiction;biog?,The clansman;,1905,1905,4,fic,
uva.x000467514,9776093,703523886,PZ3.D646C2,"Dixon, Thomas,","New York;Doubleday, Page & company;1906.",1906,<blank>,monograph,Ku Klux Klan (19th century),Not fiction,The clansman;,1905,1905,4,fic,
mdp.39015063941473,246160,7525521,<blank>,"McCutcheon, George Barr,",New York;Grosset & Dunlap;1905,1905,<blank>,monograph,<blank>,Fiction,Nedra,1905,1905,5,fic,
uc2.ark:/13960/t10p0ww68,7645993,3382844,PZ3.M139Ne,"McCutcheon, George Barr,","New York;Dodd, Mead & company;1905.",1905,<blank>,monograph,<blank>,Not fiction,Nedra,1905,1905,5,fic,y
uc2.ark:/13960/t04x59c1c,7692735,4482861,PZ3.T428G,"Thurston, Katherine Cecil,",New York and London;Harper & brothers;1905.,1905,<blank>,monograph,<blank>,Fiction,The gambler,1905,1905,6,fic,y
mdp.39015027996860,122923,5107555,<blank>,"Thurston, Katherine Cecil,",New York;London;Harper & brothers;1904.,1904,<blank>,monograph,<blank>,Fiction,The masquerader,1904,1905,7,fic,
uc2.ark:/13960/t4hm57p4f,122923,5107555,<blank>,"Thurston, Katherine Cecil,",New York;London;Harper & brothers;1904.,1904,<blank>,monograph,<blank>,Fiction,The masquerader,1904,1905,7,fic,y
uc1.32106002154331,1029674,36032038,PZ3.W555Ho,"Wharton, Edith,",New York;C. Schribner's sons;1905.,1905,<blank>,monograph,<blank>,Not fiction,The house of mirth,1905,1905,8,fic,y
uva.x000097873,9776380,5950426,PZ3.W555Ho10,"Wharton, Edith,",New York;C. Scribner's sons;1922.,1922,<blank>,monograph,<blank>,Not fiction,The house of mirth,1905,1905,8,fic,
mdp.39015035798670,326092,1387218,PZ3.W677Pr 5,"Williamson, C. N.",New York;H. Holt and company;1905.,1905,<blank>,monograph,<blank>,Fiction,The princess passes,1905,1905,9,fic,y
nyp.33433075772610,326092,1387218,PZ3.W677Pr 5,"Williamson, C. N.",New York;H. Holt and company;1905.,1905,<blank>,monograph,<blank>,Fiction,The princess passes,1905,1905,9,fic,
mdp.39015063958998,168694,276191,<blank>,"Wiggin, Kate Douglas Smith,",Boston;New York;Houghton Mifflin company;1905.,1905,<blank>,monograph,<blank>,Fiction,Rose o' the river,1905,1905,10,fic,
nyp.33433084129372,168694,276191,<blank>,"Wiggin, Kate Douglas Smith,",Boston;New York;Houghton Mifflin company;1905.,1905,<blank>,monograph,<blank>,Fiction,Rose o' the river,1905,1905,10,fic,
uc2.ark:/13960/t25b0038j,168694,276191,<blank>,"Wiggin, Kate Douglas Smith,",Boston;New York;Houghton Mifflin company;1905.,1905,<blank>,monograph,<blank>,Fiction,Rose o' the river,1905,1905,10,fic,y
nyp.33433075767552,8667898,21456011,<blank>,"Wiggin, Kate Douglas Smith,",London;A. Constable;1905.,1905,<blank>,monograph,<blank>,Fiction,Rose o' the river,1905,1905,10,fic,
