HTid,recordid,OCLC,LOCnum,author,imprint,date,enumcron,materialtype,subjects,genres,title,firstpub,Hackettlist,NumInList,Jgenre,Present
uc1.b4103059,6155334,288320,PZ3.P8307H,"Stratton-Porter, Gene,","Garden City, N.Y.;Doubleday, Page & company;1911.",1911,<blank>,monograph,<blank>,Fiction,The harvester,1911,1912,1,fic,
nyp.33433075873640,6155334,288320,PZ3.P8307H,"Stratton-Porter, Gene,","Garden City, N.Y.;Doubleday, Page & company;1911.",1911,<blank>,monograph,<blank>,Fiction,The harvester,1911,1912,1,fic,
uc2.ark:/13960/t5n874k55,7674303,1305381,<blank>,"Stratton-Porter, Gene,",New York;Grosset & Dunlap;1911,1911,<blank>,monograph,<blank>,Not fiction,The harvester,1911,1912,1,fic,
mdp.39015024242755,781581,1978466,PZ3.P8307H 2,"Stratton-Porter, Gene,","Garden City, New York;Doubleday, Page & company;1912.",1912,<blank>,monograph,<blank>,Fiction,The harvester,1911,1912,1,fic,y
nnc1.cu58330054,8434198,8086254,<blank>,"Stratton-Porter, Gene,",Garden City;Doubleday;1913.,1913,<blank>,monograph,<blank>,Not fiction,The harvester,1911,1912,1,fic,
wu.89100335819,9182984,3783986,PZ3.K579,"King, Basil,",New York;Grosset & Dunlap;1912,1912,<blank>,monograph,<blank>,Not fiction,The street called Straight,1912,1912,2,fic,
mdp.39015059423015,159029,4459451,PZ3.K579Str,"King, Basil,",New York;London;Harper & brothers;1912.,1912,<blank>,monograph,<blank>,Fiction,The street called Straight;,1912,1912,2,fic,y
nyp.33433074791488,159029,4459451,PZ3.K579Str,"King, Basil,",New York;London;Harper & brothers;1912.,1912,<blank>,monograph,<blank>,Fiction,The street called Straight;,1912,1912,2,fic,
nyp.33433074797394,6602326,291026,PS3545.R45T35 1912,"Wright, Harold Bell,",Chicago;The Book Supply Company;1912,1912,<blank>,monograph,<blank>,Fiction,Their yesterdays,1912,1912,3,fic,
uc2.ark:/13960/t46q1tp65,6602326,291026,PS3545.R45T35 1912,"Wright, Harold Bell,",Chicago;The Book Supply Company;1912,1912,<blank>,monograph,<blank>,Fiction,Their yesterdays,1912,1912,3,fic,y
