author,count
"Barclay, Florence L",1
"Barrie, J. M",1
"Bennett, Arnold",1
"Brazil, Angela",1
"Buchan, John",1
"Hope, Anthony",1
"Burroughs, Edgar Rice",1
"Caine, Hall",1
"Corelli, Marie",1
"Doyle, Arthur Conan",1
"Garvice, Charles",1
"Glyn, Elinor",1
"Gould, Nat",1
"Grahame, Kenneth",1
"Hichens, Robert",1
"Le Queux, William",1
"Locke, William John",1
"Mason, A. E. W",1
"Nesbit, Edith",1
"Oppenheim, E. Phillips",1
"Orczy, Emmuska Orczy",1
"Potter, Beatrix",1
"Ransome, Arthur",1
"Rohmer, Sax",1
"Rowlands, Effie A",1
"Ruck, Berta",1
"Wallace, Edgar",1
"Christie, Agatha",1
"Crompton, Richmal",1
"Deeping, Warwick",1
"Dell, Ethel M",1
"Farnol, Jeffery",1
"Horier, Sidney",1
"Hull, E. M",1
"Hutchinson, A. S. M",1
"Milne, A.A",1
"Priestley, J.B",1
"Sabatini, Rafael",1
"McNeile, Herman Cyril",1
"Webb, Mary",1
" Wodehouse, P. G",1
"Woolf, Virginia",1
"Wren, P. C",1
"Amis, Kingsley",1
"Awdry, W. V",1
"Chase, James Hadley",1
"Cronin, A. J",1
"(Lloyd Cassel), Douglas, Lloyd C",1
"du Maurier, Daphne",1
"Graves, Robert",1
"Forester, C. S. (Cecil Scott)",1
"Francis, Stephen",1
"Gardner, Erle Stanley",1
"Heyer, Georgette",1
"Hilton, James",1
"Innes, Hammond",1
"Maugham, W. Somerset",1
"Mitchell, Margaret",1
"Orwell, George",1
"Shute, Nevil",1
"Spillane, Mickey",1
