HTid,recordid,OCLC,LOCnum,author,imprint,date,enumcron,subjects,genres,title,firstpub,Hackettlist,NumInList,Jgenre,Present
uc1.b3326082,7922851,9156593,<blank>,"Smith, Francis Hopkinson,",New York;Grosset & Dunlap;1896.,1896,<blank>,<blank>,Fiction,Tom Grogan,1896,1896,1,fic,
nyp.33433074808969,926967,30606390,<blank>,"Smith, Francis Hopkinson,","Boston;New York;Houghton, Mifflin and company;1896.",1896,<blank>,<blank>,Not fiction,Tom Grogan,1896,1896,1,fic,y
uc2.ark:/13960/t7qn67563,7922851,9156593,<blank>,"Smith, Francis Hopkinson,",New York;Grosset & Dunlap;1896.,1896,<blank>,<blank>,Fiction,Tom Grogan,1898,1898,1,fic,
mdp.39015063986007,926967,30606390,<blank>,"Smith, Francis Hopkinson,","Boston;New York;Houghton, Mifflin and company;1896.",1896,<blank>,<blank>,Not fiction,Tom Grogan,1896,1896,1,fic,
uc2.ark:/13960/t9z030k35,7654203,7931938,<blank>,"Burnett, Frances Hodgson,",New York;Collier;c1896.,1896,<blank>,<blank>,Not fiction,A lady of quality,1896,1896,2,fic,
coo.31924021965714,11406206,23914950,<blank>,"Burnett, Frances Hodgson,",Leipzig;B. Tauchnitz;1896.,1896,v.1,<blank>,Fiction,A lady of quality,1896,1896,2,fic,
mdp.39015026757495,587702,270692,PZ3.B934L,"Burnett, Frances Hodgson,",New York;C. Scribner's sons;1896.,1896,<blank>,<blank>,Fiction,A lady of quality,1896,1896,2,fic,y
wu.89098013667,5946280,2205302,<blank>,"Burnett, Frances Hodgson,",London;F. Warne;1896.,1896,<blank>,<blank>,Fiction,A lady of quality,1896,1896,2,fic,
uva.x001172646,9782474,17954876,PS1214.L3 1899,"Burnett, Frances Hodgson,",New York;International Book & Pub. Co.;1899 [c1896,1899,<blank>,<blank>,Not fiction,A lady of quality,1896,1896,2,fic,
uc2.ark:/13960/t8cf9s57f,7695421,156781019,<blank>,"Parker, Gilbert,",London;Methuen;1898.,1898,<blank>,"United States;French and Indian War, 1754-1763;Fiction;History",Fiction,The seats of the mighty,1896,1896,3,fic,
uc2.ark:/13960/t7tm7f93w,7708011,879093,PZ3.P225Se6,"Parker, Gilbert,",New York;D. Appleton and company;1899.,1899,<blank>,"Canada;To 1763 (New France);Fiction;United States;French and Indian War, 1754-1763;History",Not fiction,The seats of the mighty;,1896,1896,3,fic,
uva.x030764982,9775604,39396732,PZ3.P225Se5,"Parker, Gilbert,",New York;D. Appleton and company;1898.,1898,<blank>,"Canada;To 1763 (New France);Fiction;United States;French and Indian War, 1754-1763;History",Not fiction,The seats of the mighty;,1896,1896,3,fic,
nyp.33433075749162,8669754,37287149,<blank>,"Parker, Gilbert,",London;Methuen & Co.;1898.,1898,<blank>,<blank>,Not fiction,The seats of the mighty;,1896,1896,3,fic,
nyp.33433081580866,8688571,1263094,PZ3.P225Se7,"Parker, Gilbert,","Toronto;Copp, Clark Co.;1896",1896,<blank>,"Canada;United States;Fiction;French and Indian War, 1754-1763;History",Not fiction,The seats of the mighty;,1896,1896,3,fic,
mdp.39015059406689,160491,4060422,PZ3.P225Se,"Parker, Gilbert,",New York;D. Appleton and company;189.,"<estimate="189">""estim",<blank>,"Canada;To 1763 (New France);Fiction;United States;French and Indian War, 1754-1763;History",Fiction,The seats of the mighty;,1896,1896,3,fic,y
nyp.33433076056922,8660396,22881211,<blank>,"Phelps, Elizabeth Stuart,","Boston;New York;Houghton, Mifflin and company;1897.",1897,<blank>,American fiction,Fiction,A singular life,1895,1896,4,fic,y
mdp.39015065437900,392310,3544872,PZ3.F873D,"Frederic, Harold,",Chicago;Stone & Kimball;1896.,1896,<blank>,<blank>,Fiction,The damnation of Theron Ware,1896,1896,5,fic,y
mdp.39015018404783,326841,273568,<blank>,"Frederic, Harold,",New York;Stone & Kimball;1896.,1896,<blank>,<blank>,Fiction,The damnation of Theron Ware;,1896,1896,5,fic,
mdp.39015063551603,326800,28353766,<blank>,"Frederic, Harold,",New York;Stone & Kimball;1897.,1897,<blank>,<blank>,Fiction,The damnation of Theron Ware;,1896,1896,5,fic,
nyp.33433074816681,8660759,6464663,<blank>,"Bangs, John Kendrick,",New York;London;Harper & brothers;1899.,1899,<blank>,<blank>,Not fiction,A house-boat on the Styx,1896,1896,6,fic,
nyp.33433074800883,1027045,271266,PS1064.B3H6 1896,"Bangs, John Kendrick,",New York;Harper & brothers;1896.,1896,<blank>,<blank>,Fiction,A house-boat on the Styx;,1895,1896,6,fic,y
uc2.ark:/13960/t2h70b38r,6131602,1854295,<blank>,"Maclaren, Ian,","New York;Dodd, Mead;1896.",1896,<blank>,<blank>,Not fiction,Kate Carnegie,1896,1896,7,fic,y
uc1.$b684887,9977504,<blank>,<blank>,"Maclaren, Ian,",London;Hodder and Stoughton;1896.,1896,<blank>,<blank>,Fiction,Kate Carnegie and those ministers,1896,1896,7,fic,
uc2.ark:/13960/t1bk1bz5h,7690374,2303411,<blank>,"Maclaren, Ian,",London;Hodder and Stoughton;1896.,1896,<blank>,<blank>,Fiction,Kate Carnegie and those ministers,1896,1896,7,fic,
uva.x000208724,9794402,1814073,<blank>,"Crane, Stephen,",New York;D. Appleton and Company;1914.,1914,<blank>,"History;Fiction;Civil War, 1861-1865;United States",Fiction,The red badge of courage;,1895,1896,8,fic,y
uc1.b3579198,6678392,23072614,<blank>,"Barrie, J. M.",New York;C. Scribner's Sons;1897 [c1896,1897,<blank>,<blank>,Not fiction,Sentimental Tommy,1896,1896,9,fic,
nyp.33433074936554,1426201,5160353,<blank>,"Barrie, J. M.",London [etc. etc.;Cassell & co.;1896.,1896,<blank>,<blank>,Unknown;biog?,Sentimental Tommy,1896,1896,9,fic,
nyp.33433074936547,6678392,23072614,<blank>,"Barrie, J. M.",New York;C. Scribner's Sons;1897 [c1896,1897,<blank>,<blank>,Not fiction,Sentimental Tommy,1896,1896,9,fic,
mdp.39015059389620,115190,894852,PZ3.B277S,"Barrie, J. M.",New York;C. Scribner's sons;1896.,1896,<blank>,<blank>,Fiction,Sentimental Tommy;,1896,1896,9,fic,y
nyp.33433074936562,115190,894852,PZ3.B277S,"Barrie, J. M.",New York;C. Scribner's sons;1896.,1896,<blank>,<blank>,Fiction,Sentimental Tommy;,1896,1896,9,fic,
