HTid,recordid,OCLC,LOCnum,author,imprint,date,enumcron,subjects,genres,title,firstpub,Hackettlist,NumInList,Jgenre,Present
uc2.ark:/13960/t35146w81,115190,894852,PZ3.B277S,"Barrie, J. M.",New York;C. Scribner's sons;1896.,1896,<blank>,<blank>,Fiction,Sentimental Tommy;,1896,1896,9,fic,
uc2.ark:/13960/t22b8vz7q,9261014,15096075,<blank>,"Maclaren, Ian,","New York;Dodd, Mead and Co;c1894",1894,<blank>,<blank>,Not fiction,Beside the bonnie brier bush,1894,1896,10,fic,
mdp.39015050814568,325374,2391400,PZ3.W334B 2,"Maclaren, Ian,","New York;Dodd, Mead and company;1895.",1895,<blank>,<blank>,Fiction,Beside the bonnie brier bush,1894,1896,10,fic,y
uc2.ark:/13960/t11n8b55r,7708043,10934668,<blank>,"Maclaren, Ian,",New York;H. M. Caldwell;189-,"<estimate="[189-]">""estimate",<blank>,<blank>,Not fiction,Beside the bonnie brier bush,1894,1896,10,fic,
uc2.ark:/13960/t73t9hr2c,7694524,13072925,<blank>,"Maclaren, Ian,",Chicago;C. H. Sergel;1895.,1895,<blank>,<blank>,Fiction,Beside the bonnie brier bush,1894,1896,10,fic,
uc2.ark:/13960/t8x924k9v,7666386,11625330,<blank>,"Maclaren, Ian,",Toronto;Fleming H. Revell;c1894.,1894,<blank>,<blank>,Fiction,Beside the bonnie brier bush,1894,1896,10,fic,
nyp.33433075747422,8667569,3174368,PZ3.W334B,"Maclaren, Ian,","New York;Dodd, Mead and company;1895.",1895,<blank>,<blank>,Not fiction,Beside the bonnie brier bush,1894,1896,10,fic,
mdp.39015036720301,325374,2391400,PZ3.W334B 2,"Maclaren, Ian,","New York;Dodd, Mead and company;1895.",1895,<blank>,<blank>,Fiction,Beside the bonnie brier bush,1894,1896,10,fic,
uc2.ark:/13960/t1sf2tm7t,325374,2391400,PZ3.W334B 2,"Maclaren, Ian,","New York;Dodd, Mead and company;1895.",1895,<blank>,<blank>,Fiction,Beside the bonnie brier bush,1894,1896,10,fic,
uc2.ark:/13960/t15m63z1c,7665326,5884722,PZ3.W334Be,"Maclaren, Ian,",Chicago;E. A. Weeks & Company;189-?,"<estimate="[189-?]">""estimate=",<blank>,<blank>,Fiction,Beside the bonnie brier bush,1894,1896,10,fic,
mdp.39015063964301,324870,11625272,<blank>,"Maclaren, Ian,",London;Hodder and Stoughton;1894.,1894,<blank>,<blank>,Fiction,Beside the bonnie brier bush,1894,1896,10,fic,
uc2.ark:/13960/t7mp4x415,7666388,1068224,<blank>,"Maclaren, Ian,","Chicago;Donohue, Henneberry;189-","<estimate="[189-]">""estimate",<blank>,<blank>,Unknown,Beside the bonnie brier bush,1894,1896,10,fic,
nyp.33433075747430,6131599,2918351,PZ3.W334B4,"Maclaren, Ian,","New York;Dodd, Mead;1896.",1896,<blank>,<blank>,Fiction,Beside the bonnie brier bush,1894,1896,10,fic,
uc2.ark:/13960/t8pc2zz97,7690051,1278786,PZ3.W334B3,"Maclaren, Ian,","New York;Dodd, Mead and Co.;1895.",1895,<blank>,<blank>,Publishers' cloth bindings (Binding);Unknown;New York (State);New York,Beside the bonnie brier bush,1894,1896,10,fic,
