HTid,recordid,OCLC,LOCnum,author,imprint,date,enumcron,subjects,genres,title,firstpub,Hackettlist,NumInList,Jgenre,Present
uc2.ark:/13960/t22b8vz7q,9261014,15096075,<blank>,"Maclaren, Ian,","New York;Dodd, Mead and Co;c1894",1894,<blank>,<blank>,Not fiction,Beside the bonnie brier bush,1894,1895,1,fic,
mdp.39015050814568,325374,2391400,PZ3.W334B 2,"Maclaren, Ian,","New York;Dodd, Mead and company;1895.",1895,<blank>,<blank>,Fiction,Beside the bonnie brier bush,1894,1895,1,fic,y
uc2.ark:/13960/t11n8b55r,7708043,10934668,<blank>,"Maclaren, Ian,",New York;H. M. Caldwell;189-,"<estimate="[189-]">""estimate",<blank>,<blank>,Not fiction,Beside the bonnie brier bush,1894,1895,1,fic,
uc2.ark:/13960/t73t9hr2c,7694524,13072925,<blank>,"Maclaren, Ian,",Chicago;C. H. Sergel;1895.,1895,<blank>,<blank>,Fiction,Beside the bonnie brier bush,1894,1895,1,fic,
uc2.ark:/13960/t8x924k9v,7666386,11625330,<blank>,"Maclaren, Ian,",Toronto;Fleming H. Revell;c1894.,1894,<blank>,<blank>,Fiction,Beside the bonnie brier bush,1894,1895,1,fic,
nyp.33433075747422,8667569,3174368,PZ3.W334B,"Maclaren, Ian,","New York;Dodd, Mead and company;1895.",1895,<blank>,<blank>,Not fiction,Beside the bonnie brier bush,1894,1895,1,fic,
mdp.39015036720301,325374,2391400,PZ3.W334B 2,"Maclaren, Ian,","New York;Dodd, Mead and company;1895.",1895,<blank>,<blank>,Fiction,Beside the bonnie brier bush,1894,1895,1,fic,
uc2.ark:/13960/t1sf2tm7t,325374,2391400,PZ3.W334B 2,"Maclaren, Ian,","New York;Dodd, Mead and company;1895.",1895,<blank>,<blank>,Fiction,Beside the bonnie brier bush,1894,1895,1,fic,
uc2.ark:/13960/t15m63z1c,7665326,5884722,PZ3.W334Be,"Maclaren, Ian,",Chicago;E. A. Weeks & Company;189-?,"<estimate="[189-?]">""estimate=",<blank>,<blank>,Fiction,Beside the bonnie brier bush,1894,1895,1,fic,
mdp.39015063964301,324870,11625272,<blank>,"Maclaren, Ian,",London;Hodder and Stoughton;1894.,1894,<blank>,<blank>,Fiction,Beside the bonnie brier bush,1894,1895,1,fic,
uc2.ark:/13960/t7mp4x415,7666388,1068224,<blank>,"Maclaren, Ian,","Chicago;Donohue, Henneberry;189-","<estimate="[189-]">""estimate",<blank>,<blank>,Unknown,Beside the bonnie brier bush,1894,1895,1,fic,
nyp.33433075747430,6131599,2918351,PZ3.W334B4,"Maclaren, Ian,","New York;Dodd, Mead;1896.",1896,<blank>,<blank>,Fiction,Beside the bonnie brier bush,1894,1895,1,fic,
uc2.ark:/13960/t8pc2zz97,7690051,1278786,PZ3.W334B3,"Maclaren, Ian,","New York;Dodd, Mead and Co.;1895.",1895,<blank>,<blank>,Publishers' cloth bindings (Binding);Unknown;New York (State);New York,Beside the bonnie brier bush,1894,1895,1,fic,
mdp.39015006977899,164883,1937066,PZ3.D892T2,"Du Maurier, George,",New York;Harper & brothers;1894.,1894,<blank>,"Quartier latin (Paris, France)",Fiction,Trilby,1894,1895,2,fic,
uc1.b3556231,6674001,5581839,<blank>,"Du Maurier, George,","New York;Harper;1895, c1894.",1895,<blank>,<blank>,Not fiction,Trilby,1894,1895,2,fic,y
nyp.33433074968532,8665063,285133,<blank>,"Du Maurier, George,",Leipzig;Tauchnitz;1894.,1894,<blank>,English fiction,Not fiction,Trilby,1894,1895,2,fic,
mdp.39015004288505,2104314,967011,<blank>,"Du Maurier, George,","London;Osgood, McIlvaine & co.;1895.",1895,<blank>,<blank>,Unknown;biog?,Trilby,1894,1895,2,fic,
nyp.33433074967153,164883,1937066,PZ3.D892T2,"Du Maurier, George,",New York;Harper & brothers;1894.,1894,<blank>,"Quartier latin (Paris, France)",Fiction,Trilby,1894,1895,2,fic,
uc2.ark:/13960/t7rn31489,9260351,3864440,<blank>,"Du Maurier, George,","New York;Harper;1895, c1894.",1895,<blank>,<blank>,Not fiction,Trilby,1894,1895,2,fic,
mdp.39015005346062,2104315,8225798,<blank>,"Du Maurier, George,",New York;International book and publishing company;1899.,1899,<blank>,<blank>,Unknown;biog?,Trilby;,1894,1895,2,fic,
uc2.ark:/13960/t7pn8xx37,7649666,7114268,PS2927.A7 1899,"Stockton, Frank Richard,",New York;C. Scribner's Sons;1895.,1895,<blank>,<blank>,Fiction,The adventures of Captain Horn,1895,1895,3,fic,y
nyp.33433075752737,1020811,1583097,PS2927.A38 1895,"Stockton, Frank Richard,",New York;Scribner;1895.,1895,<blank>,<blank>,Fiction,The adventures of Captain Horn,1895,1895,3,fic,
nyp.33433076022288,1020811,1583097,PS2927.A38 1895,"Stockton, Frank Richard,",New York;Scribner;1895.,1895,<blank>,<blank>,Fiction,The adventures of Captain Horn,1895,1895,3,fic,
uc1.b3579150,6678357,19001662,PZ3.C123Man2,"Caine, Hall,",New York;D. Appleton and Company;c1894,1894,<blank>,<blank>,Fiction,The Manxman,1894,1895,4,fic,
uc2.ark:/13960/t2m61hb1j,7686391,1835024,<blank>,"Caine, Hall,",London;William Heinemann;1894.,1894,<blank>,<blank>,Fiction,The manxman,1894,1895,4,fic,
uc2.ark:/13960/t0ns0w38k,6678357,19001662,PZ3.C123Man2,"Caine, Hall,",New York;D. Appleton and Company;c1894,1894,<blank>,<blank>,Fiction,The Manxman,1894,1895,4,fic,
mdp.49015001023499,4485013,<blank>,<blank>,"Caine, Hall,",New York;D. Appleton and company;1895.,1895,<blank>,<blank>,Fiction,The Manxman,1894,1895,4,fic,y
mdp.39015063513488,283121,611907,<blank>,"Caine, Hall,",New York;D. Appleton and company;1895.,1895,<blank>,<blank>,Fiction,The Manxman,1894,1895,4,fic,
uc2.ark:/13960/t8hd7rz3j,7654349,3279796,<blank>,"Caine, Hall,",New York;Appleton;1895 [c1894,1895,<blank>,<blank>,Not fiction,The Manxman ;,1894,1895,4,fic,
