HTid,recordid,OCLC,LOCnum,author,imprint,date,enumcron,materialtype,subjects,genres,title,firstpub,Hackettlist,NumInList,Jgenre,Present
uc2.ark:/13960/t58c9t779,7655793,1494802,<blank>,"Cholmondeley, Mary,",New York;Harper;1900 [c1899,1900,<blank>,,<blank>,Unknown,Red pottage,1899,1900,2,fic,y
mdp.39015005148344,5262003,913934,PS1762.U5 1900,"Grant, Robert,",New York;C. Scribner's Sons;1900.,1900,<blank>,,<blank>,Fiction,Unleavened bread,1900,1900,3,fic,y
mdp.39015014459955,1375122,606400,PS1034.R42 1900,"Allen, James Lane,","New York;Macmillan;London;Macmillan and co., ltd.;1900.",1900,<blank>,,<blank>,Fiction,The reign of law,1900,1900,4,fic,
nyp.33433082266325,114430,270677,<blank>,"Bacheller, Irving,",Boston;Lothrop publishing company;c1900,1900,<blank>,,<blank>,Fiction,Eben Holden;,1900,1900,5,fic,
nyp.33433076065998,8689733,2231759,<blank>,"Ford, Paul Leicester,","New York;Dodd, Mead & Co.;1899;(New York;Press of J. J. Little).",1899,v. 1,,"United States;Fiction;Revolution, 1775-1783;History",Fiction,Janice Meredith,1899,1900,6,fic,y
uc1.$b799569,779319,7002622,PZ3.G695R,"Goss, Charles Frederic,",Indianapolis;The Bowen-Merrill company;1900,1900,<blank>,,<blank>,Fiction,The redemption of David Corson,1900,1900,7,fic,y
uc2.ark:/13960/t70v8f975,7694183,1803730,<blank>,"Churchill, Winston,","New York;The Macmillan Company;1900,c1899.",1900,<blank>,,<blank>,Not fiction,Richard Carvel,1899,1900,8,fic,
umn.31951002044244p,11225266,6056771,PS2359 M648W4 1899,"Major, Charles,","Indianapolis, Ind.;Bowen-Merrill;1899",1899,<blank>,,"Fiction;Henry VIII, 1509-1547;Great Britain;History",Not fiction,"When knighthood was in flower, or, The love story of Charles Brandon and Mary Tudor, the king's sister, and happening in the reign of ... Henry VIII; rewritten and rendered into modern English from Sir Edwin Caskoden's memoir",1898,1900,9,fic,
uc1.b3329009,7929377,42380311,<blank>,"Thompson, Maurice,",Indianapolis;Bobbs-Merrill;c1900.,1900,<blank>,,"Indiana;Fiction;Revolution, 1775-1783;History",Fiction,Alice of old Vincennes,1900,1900,10,fic,
uc2.ark:/13960/t5m904803,663882,757330,PZ3.C474Cr,"Churchill, Winston,","New York;The Macmillan company;London;Macmillan & co., ltd.;1901.",1901,<blank>,monograph,"History;Fiction;Civil War, 1861-1865;United States",,The crisis,1901,1901,1,fic,
uc1.b3329009,7929377,42380311,<blank>,"Thompson, Maurice,",Indianapolis;Bobbs-Merrill;c1900.,1900,<blank>,,"Indiana;Fiction;Revolution, 1775-1783;History",Fiction,Alice of old Vincennes,1900,1901,2,fic,
mdp.39015063927910,779936,3661560,<blank>,"Runkle, Bertha.",New York;Grosset & Dunlap;c1901,1901,<blank>,monograph,<blank>,Fiction,The helmet of Navarre;,1901,1901,3,fic,
nyp.33433082266325,114430,270677,<blank>,"Bacheller, Irving,",Boston;Lothrop publishing company;c1900,1900,<blank>,,<blank>,Fiction,Eben Holden;,1900,1901,5,fic,
nyp.33433074864814,8667319,5805904,<blank>,"Glyn, Elinor,",Leipzig;B. Tauchnitz;1901.,1901,<blank>,monograph,English fiction,Fiction,The visits of Elizabeth,1900,1901,6,fic,y
mdp.39015030760691,631194,33600432,PZ3.M139Gr2,"McCutcheon, George Barr,",New York;Grosset & Dunlap;c1901,1901,<blank>,monograph,<blank>,Fiction,Graustark,1901,1901,9,fic,
nyp.33433082266333,8656871,7445999,<blank>,"Bacheller, Irving,",New York;Harper & Brothers;1904.,1904,<blank>,monograph,History;War of 1812;Fiction;United States,Fiction,D'ri and I,1901,1901,10,fic,
,8660670,31284275,<blank>,"Wister, Owen,",New York,Macmillan Co.,1904,1904,<blank>,monograph,American fiction,Fiction,The Virginian,1902,1902,1
,1031692,2486364,PZ3.R36Mi4,"Rice, Alice Caldwell Hegan,",New York,Century,1902,1902,<blank>,monograph,<blank>,Not fiction,Mrs. Wiggs of the cabbage patch,1901,1902,2
,,,,"Major, Charles",,,,,,,Dorothy Vernon of Haddon Hall,,,3,,n
,450526,6953674,<blank>,"Hough, Emerson,","New York;McKinlay, Stone & Mackenzie;c1902",1902,<blank>,monograph,"Fiction;Law, John;1671-1729",Fiction,The Mississippi bubble,1902,1902,4,fic,
,482843,169852,<blank>,"Johnston, Mary,","Boston;Houghton, Mifflin;1902.",1902,<blank>,monograph,<blank>,Fiction,Audrey,1902,1902,5,fic,
,1024215,169519,PS8481.A7R5 1901,"Parker, Gilbert,",New York,Harper & brothers,1901,1901,<blank>,monograph,<blank>,Not fiction,The right of way,1901,1902,6
,123880,274945,PZ3.T175Tw,"Tarkington, Booth,","New York;McClure, Phillips & co.;1902.",1902,<blank>,monograph,<blank>,Fiction,The two Vanrevels,1902,1902,8,fic,y
,6676278,189449,PZ3.V228Bl,"Van Dyke, Henry,",New York,C. Scribner's Sons,1902,1902,<blank>,monograph,<blank>,Fiction,Pictorial cloth bindings (Binding),The blue flower,1902,1902
,8664918,5698075,<blank>,"Malet, Lucas,","New York;Dodd, Mead;1902, c1901.",1902,<blank>,monograph,English fiction,Fiction,The history of Sir Richard Calmady,1901,1902,10,fic,y
pst.000062848473,7059700,3856346,<blank>,"Ward, Humphry,",New York;Grosset & Dunlap;1903].,1903,<blank>,monograph,<blank>,Not fiction,Lady Rose's Daughter,1903,1903,1,fic,
mdp.39015063946241,247341,1749972,PZ3.P145Go,"Page, Thomas Nelson,",New York;C. Scribner's sons;1903.,1903,<blank>,monograph,<blank>,Not fiction,Gordon Keith,1903,1903,2,fic,y
mdp.39015005481349,1020785,6474431,PZ3.N792P,"Norris, Frank,","New York;Doubleday, Page & Co.;1903.",1903,<blank>,monograph,Fiction;Economic conditions;Chicago (Ill.),Fiction;Insertions (Provenance);Bookplates (Provenance);Autographs (Provenance),The pit,1903,1903,3,fic,y
uc2.ark:/13960/t4sj1bv84,6498811,4477884,PS3535.I17L6 1903,"Rice, Alice Caldwell Hegan,",New York;The Century Co.;1903.,1903,<blank>,monograph,<blank>,Fiction;Bookplates (Provenance),Lovey Mary,1903,1903,4,fic,y
nyp.33433074795125,8660670,31284275,<blank>,"Wister, Owen,",New York;Macmillan Co.;1904.,1904,<blank>,monograph,American fiction,Fiction,The Virginian,1902,1903,5,fic,y
mdp.39015004288257,1031692,2486364,PZ3.R36Mi4,"Rice, Alice Caldwell Hegan,",New York;Century;1902.,1902,<blank>,monograph,<blank>,Not fiction,Mrs. Wiggs of the cabbage patch,1901,1903,6,fic,
mdp.39015063739901,242927,230991,PZ3.A427M,"Allen, James Lane,","New York;The Macmillan company;London;Macmillan & co., ltd.;1903.",1903,<blank>,monograph,<blank>,Fiction,The mettle of the pasture,1903,1903,7,fic,
uc1.b3688438,10137393,<blank>,<blank>,"Lorimer, George Horace,","Boston;Small, Maynard;1902.",1902,<blank>,monograph,<blank>,Fiction,Letters from a self-made merchant to his son,1903,1903,8,fic,y
uc1.$b799116,1375266,1197848,<blank>,"Dixon, Thomas,","New York;Doubleday, Page;1903.",1903,<blank>,monograph,<blank>,Not fiction,The one woman,1903,1903,9,fic,y
uc2.ark:/13960/fk0000004w,11715876,48412884,<blank>,"Churchill, Winston,",New York;Grosset and Dunlap;c1903.,1903,<blank>,monograph,Fiction;Kentucky;Louisiana,Fiction,The crossing,1904,1904,1,fic,
wu.89095151387,5974479,3386423,PZ3.M582,"Michelson, Miriam,",Indianapolis;The Bobbs-Merrill Company;1904,1904,<blank>,monograph,<blank>,Fiction,In the bishop's carriage,1904,1904,4,fic,
uc1.b3688014,6497681,1072436,<blank>,"Johnston, Mary,","New York;London;Harper and Brothers;1904, c1903.",1904,<blank>,monograph,<blank>,Fiction,Sir Mortimer,1904,1904,5,fic,
uc2.ark:/13960/t7br8n136,7645990,10820009,PZ3.M139Be,"McCutcheon, George Barr,","New York;Dodd, Mead & Company;1904.",1904,<blank>,monograph,<blank>,Fiction,Beverly of Graustark,1904,1904,6,fic,
mdp.39015004288414,390380,15145313,PZ3.F833L,"Fox, John,",New York;C. Scribner's sons;1903,1903,<blank>,monograph,"History;Fiction;Civil War, 1861-1865;United States",Fiction,The little shepherd of Kingdom Come,1903,1904,7,fic,y
uc1.b3549033,6672792,1712482,<blank>,"Wiggin, Kate Douglas Smith,",New York;Grosset & Dunlap;1903,1903,<blank>,monograph,<blank>,Fiction;Juvenile audience,Rebecca of Sunnybrook farm,1903,1904,8,fic,y
uc2.ark:/13960/t2c824q48,7661027,7142784,<blank>,"Harland, Henry,",London;J. Lane;Bodley Head;1904.,1904,<blank>,monograph,<blank>,Not fiction,My friend Prospero,1903,1904,9,fic,
uc1.b3295320,3151034,6695213,<blank>,"White, Stewart Edward,",New York;Grosset & Dunlap;1904.,1904,<blank>,monograph,"Fiction;Northwest, Canadian",Fiction,The silent places,1904,1904,10,fic,
mdp.39015063973492,785215,1908718,<blank>,"Ward, Humphry,","London;Smith, Elder & co.;1905.",1905,<blank>,monograph,<blank>,Fiction,The marriage of William Ashe,1905,1905,1,fic,
nyp.33433076048598,6498808,286012,<blank>,"Rice, Alice Caldwell Hegan,",New York;The Century co.;1905.,1905,<blank>,monograph,<blank>,Fiction,Sandy,1905,1905,2,fic,
mdp.39015059377633,115974,365022,<blank>,"Hichens, Robert,",New York;Grosset & Dunlap;1904,1904,<blank>,monograph,<blank>,Not fiction,The garden of Allah,1904,1905,3,fic,
mdp.39015063941473,246160,7525521,<blank>,"McCutcheon, George Barr,",New York;Grosset & Dunlap;1905,1905,<blank>,monograph,<blank>,Fiction,Nedra,1905,1905,5,fic,
uc2.ark:/13960/t04x59c1c,7692735,4482861,PZ3.T428G,"Thurston, Katherine Cecil,",New York and London;Harper & brothers;1905.,1905,<blank>,monograph,<blank>,Fiction,The gambler,1905,1905,6,fic,y
mdp.39015063958998,168694,276191,<blank>,"Wiggin, Kate Douglas Smith,",Boston;New York;Houghton Mifflin company;1905.,1905,<blank>,monograph,<blank>,Fiction,Rose o' the river,1905,1905,10,fic,
uc2.ark:/13960/t72v2cw1d,7646968,271149,PZ3.C474Co,"Churchill, Winston,","New York;The Macmillan company;London;Macmillan & co., ltd.;1906.",1906,<blank>,monograph,<blank>,Fiction,Coniston,1906,1906,1,fic,y
mdp.39015036778382,779376,276348,<blank>,"Wister, Owen,","New York;The Macmillan company;London;Macmillan & co., ltd.;1906.",1906,<blank>,monograph,<blank>,Not fiction,Lady Baltimore,1906,1906,2,fic,
nyp.33433074809041,6501335,7034148,PZ3.C355F,"Chambers, Robert W.",New York;D. Appleton and company;1906.,1906,<blank>,monograph,<blank>,Not fiction,The fighting chance,1906,1906,3,fic,
mdp.39015063941507,246203,289262,PZ3.M139J,"McCutcheon, George Barr,","New York;Dodd, Mead & company;1906.",1906,<blank>,monograph,<blank>,Fiction,Jane Cable,1906,1906,5,fic,y
mdp.39015026884190,1112564,618893,PZ3.S616J,"Sinclair, Upton,","New York;Doubleday, Page & Company;1906.",1906,<blank>,monograph,<blank>,Not fiction;Publishers' advertisements,The jungle,1906,1906,6,fic,y
mdp.39015021067031,240915,6263553,PZ3.M12L4,"Little, Frances,",New York;The Century co.;1907.,1907,<blank>,monograph,<blank>,Not fiction,The lady of the decoration,1907,1907,1,fic,y
nyp.33433076048002,6498876,758057,PZ3.R524S,"Rives, Hallie Erminie,",Indianapolis;The Bobbs-Merrill Company;1907,1907,<blank>,monograph,<blank>,Fiction,Satan Sanderson,1907,1907,6,fic,
uc2.ark:/13960/t55d8p01n,7645992,1161146,PZ3.M139Da,"McCutcheon, George Barr,","New York;Dodd, Mead and Company;1907.",1907,<blank>,monograph,<blank>,Fiction,The daughter of Anderson Crow,1907,1907,7,fic,y
uc2.ark:/13960/t15m62b3v,7666326,4327931,<blank>,"MacGrath, Harold,",New York;Grosset & Dunlap;c1906.,1906,<blank>,monograph,<blank>,Fiction,Half a rogue,1906,1907,10,fic,y
mdp.39015004288364,663357,2156255,PZ3.C474Mi,"Churchill, Winston,",New York;The Macmillan Company;1908.,1908,<blank>,monograph,<blank>,Fiction,Mr. Crewe's career,1908,1908,1,fic,
