HTid,recordid,OCLC,LOCnum,author,imprint,date,enumcron,materialtype,subjects,genres,title,firstpub,Hackettlist,NumInList,Jgenre,Present
mdp.39015004288364,663357,2156255,PZ3.C474Mi,"Churchill, Winston,",New York;The Macmillan Company;1908.,1908,<blank>,monograph,<blank>,Fiction,Mr. Crewe's career,1908,1908,1,fic,
uc1.$b400504,663357,2156255,PZ3.C474Mi,"Churchill, Winston,",New York;The Macmillan Company;1908.,1908,<blank>,monograph,<blank>,Fiction,Mr. Crewe's career,1908,1908,1,fic,y
uc2.ark:/13960/t6xw49546,663357,2156255,PZ3.C474Mi,"Churchill, Winston,",New York;The Macmillan Company;1908.,1908,<blank>,monograph,<blank>,Fiction,Mr. Crewe's career,1908,1908,1,fic,
nyp.33433074812219,8589639,3896404,PZ3.C474Mi3,"Churchill, Winston,","London;Macmillan and co., limited;1908.",1908,<blank>,monograph,American fiction,Fiction,Mr. Crewe's career,1908,1908,1,fic,
uc1.b3688045,10137153,<blank>,PZ3.C474Mi,"Churchill, Winston,",New York;Macmillan;1908.,1908,<blank>,monograph,<blank>,Fiction,Mr. Crewe's career,1908,1908,1,fic,
coo.31924021960517,11406200,40806242,<blank>,"Churchill, Winston,",Leipzig;B. Tauchnitz;1908.,1908,v.1,monograph,<blank>,Not fiction,Mr. Crewe's career,1908,1908,1,fic,
coo.31924021960525,11406200,40806242,<blank>,"Churchill, Winston,",Leipzig;B. Tauchnitz;1908.,1908,v.2,monograph,<blank>,Not fiction,Mr. Crewe's career,1908,1908,1,fic,
mdp.39015030855798,426213,892650,PZ3.B353Ba,"Beach, Rex,",New York;A. L. Burt co.;c1908,1908,<blank>,monograph,<blank>,Fiction,The barrier,1908,1908,2,fic,
uc2.ark:/13960/t4th8c03j,426213,892650,PZ3.B353Ba,"Beach, Rex,",New York;A. L. Burt co.;c1908,1908,<blank>,monograph,<blank>,Fiction,The barrier,1908,1908,2,fic,y
nyp.33433074837349,426213,892650,PZ3.B353Ba,"Beach, Rex,",New York;A. L. Burt co.;c1908,1908,<blank>,monograph,<blank>,Fiction,The barrier,1908,1908,2,fic,
uc2.ark:/13960/t02z13n44,11714973,3107218,<blank>,"Beach, Rex,",New York;A.L. Burt Company;1908,1908,<blank>,monograph,<blank>,Not fiction,The barrier,1908,1908,2,fic,
mdp.39015011402230,326656,996036,PZ3.F833Tr,"Fox, John,",New York;C. Scribner's sons;1908.,1908,<blank>,monograph,<blank>,Fiction,The trail of the lonesome pine,1908,1908,3,fic,
nyp.33433076091234,326656,996036,PZ3.F833Tr,"Fox, John,",New York;C. Scribner's sons;1908.,1908,<blank>,monograph,<blank>,Fiction,The trail of the lonesome pine,1908,1908,3,fic,
uc2.ark:/13960/t0ms3k90h,326656,996036,PZ3.F833Tr,"Fox, John,",New York;C. Scribner's sons;1908.,1908,<blank>,monograph,<blank>,Fiction,The trail of the lonesome pine,1908,1908,3,fic,y
uc1.b4353848,6224139,<blank>,PZ3.F833Tr,"Fox, John,",New York;C. Scribner's Sons;1908.,1908,<blank>,monograph,<blank>,Fiction,The trail of the lonesome pine,1908,1908,3,fic,
wu.89099801649,8998548,6472278,<blank>,"Fox, John,",New York;C. Scribner's Sons;1914.,1914,<blank>,monograph,<blank>,Fiction,The trail of the lonesome pine,1908,1908,3,fic,
uva.x030741964,9777309,669874151,PZ3.F833Tr7,"Fox, John,",New York;Grosset & Dunlap;1920,1920,<blank>,monograph,<blank>,Not fiction,The trail of the lonesome pine,1908,1908,3,fic,
uc2.ark:/13960/t48p5vr1v,7665297,5469447,PZ3.M178Lu,"MacGrath, Harold,",Indianapolis;The Bobbs-Merrill Company;1908,1908,<blank>,monograph,<blank>,Not fiction,The lure of the mask,1908,1908,4,fic,y
nyp.33433074876248,8666570,168959,<blank>,"MacGrath, Harold,",New York;Grosset & Dunlap;c1908,1908,<blank>,monograph,<blank>,Not fiction,The lure of the mask,1908,1908,4,fic,
mdp.39015014749728,587711,270693,PZ3.B934Sh,"Burnett, Frances Hodgson,",New York;F. A. Stokes company;1907,1907,<blank>,monograph,<blank>,Fiction,The shuttle,1907,1908,5,fic,y
wu.89098013857,5946290,22438483,<blank>,"Burnett, Frances Hodgson,",London;William Heinemann;c1907.,1907,<blank>,monograph,<blank>,Fiction,The shuttle,1907,1908,5,fic,
uc1.b4717931,11256690,2760260,<blank>,"Burnett, Frances Hodgson,",New York;Grosset & Dunlap;1907,1907,<blank>,monograph,Dysfunctional families;Fiction;England;Americans;Sisters,Fiction,The shuttle,1907,1908,5,fic,
nyp.33433074814025,8690804,37129669,<blank>,"Burnett, Frances Hodgson,",Leipzig;B. Tauchnitz;1908.,1908,v. 1,monograph,American fiction,Fiction,The shuttle,1907,1908,5,fic,
nyp.33433074814264,8690804,37129669,<blank>,"Burnett, Frances Hodgson,",Leipzig;B. Tauchnitz;1908.,1908,v. 2,monograph,American fiction,Fiction,The shuttle,1907,1908,5,fic,
coo.31924021965698,8690804,37129669,<blank>,"Burnett, Frances Hodgson,",Leipzig;B. Tauchnitz;1908.,1908,v.2,monograph,American fiction,Fiction,The shuttle,1907,1908,5,fic,
nyp.33433076026172,8690441,6209999,PZ3.S647P,"Smith, Francis Hopkinson,",New York;C. Scribner's Sons;1908.,1908,<blank>,monograph,American fiction,Fiction,Peter;,1908,1908,6,fic,y
mdp.39015063964798,785378,3238224,<blank>,"Smith, Francis Hopkinson,",New York;C. Scribner's sons;1911.,1911,<blank>,monograph,<blank>,Fiction,Peter;,1908,1908,6,fic,
uc1.b3326079,785378,3238224,<blank>,"Smith, Francis Hopkinson,",New York;C. Scribner's sons;1911.,1911,<blank>,monograph,<blank>,Fiction,Peter;,1908,1908,6,fic,
uc2.ark:/13960/t5j961j1k,785378,3238224,<blank>,"Smith, Francis Hopkinson,",New York;C. Scribner's sons;1911.,1911,<blank>,monograph,<blank>,Fiction,Peter;,1908,1908,6,fic,
mdp.39015063920121,781854,169844,PZ3.J646Le,"Johnston, Mary,",Boston;New York;Houghton Mifflin company;1908.,1908,<blank>,monograph,"History;Constitutional period, 1789-1809;Fiction;United States",Fiction,Lewis Rand,1908,1908,7,fic,
nyp.33433076071988,781854,169844,PZ3.J646Le,"Johnston, Mary,",Boston;New York;Houghton Mifflin company;1908.,1908,<blank>,monograph,"History;Constitutional period, 1789-1809;Fiction;United States",Fiction,Lewis Rand,1908,1908,7,fic,
uc2.ark:/13960/t39z91g24,781854,169844,PZ3.J646Le,"Johnston, Mary,",Boston;New York;Houghton Mifflin company;1908.,1908,<blank>,monograph,"History;Constitutional period, 1789-1809;Fiction;United States",Fiction,Lewis Rand,1908,1908,7,fic,y
mdp.39015063977006,783526,1855072,PZ3.V277BL,"Vance, Louis Joseph,",Indianapolis;The Bobbs-Merrill company;c1908,1908,<blank>,monograph,<blank>,Fiction,The black bag,1908,1908,8,fic,y
uc2.ark:/13960/t6251h91w,7676117,6878691,<blank>,"Vance, Louis Joseph,",New York;Grosset & Dunlap;c1908.,1908,<blank>,monograph,<blank>,Fiction,The black bag,1908,1908,8,fic,
mdp.39015063941481,284313,1153972,PZ3.M139M,"McCutcheon, George Barr,","New York;Dodd, Mead & company;1908.",1908,<blank>,monograph,<blank>,Fiction,The man from Brodney's,1908,1908,9,fic,y
nyp.33433076081128,284313,1153972,PZ3.M139M,"McCutcheon, George Barr,","New York;Dodd, Mead & company;1908.",1908,<blank>,monograph,<blank>,Fiction,The man from Brodney's,1908,1908,9,fic,
