HTid,recordid,OCLC,LOCnum,author,imprint,date,enumcron,materialtype,subjects,genres,title,firstpub,Hackettlist,NumInList,Jgenre,Present
njp.32101063581712,6131061,3859174,<blank>,"King, Basil,",New York;London;Harper & Brothers;1909.,1909,<blank>,monograph,<blank>,Fiction,The inner shrine,1909,1909,1,fic,
uc2.ark:/13960/t72v2dq60,6131061,3859174,<blank>,"King, Basil,",New York;London;Harper & Brothers;1909.,1909,<blank>,monograph,<blank>,Fiction,The inner shrine,1909,1909,1,fic,y
wu.89088262662,591018,3739790,<blank>,"King, Basil,",New York;Grosset & Dunlap;1909,1909,<blank>,monograph,<blank>,Fiction,The inner shrine;,1909,1909,1,fic,
uc2.ark:/13960/t7kp7v701,7663802,3566048,PZ3.L241K2,"Lane, Elinor Macartney,",New York and London;Harper & brothers;c1909,1909,<blank>,monograph,<blank>,Fiction,Katrine;,1909,1909,2,fic,y
nyp.33433076070097,7663802,3566048,PZ3.L241K2,"Lane, Elinor Macartney,",New York and London;Harper & brothers;c1909,1909,<blank>,monograph,<blank>,Fiction,Katrine;,1909,1909,2,fic,
nyp.33433074837448,6548040,284814,<blank>,"Beach, Rex,",New York;and London;Harper & brothers;1909.,1909,<blank>,monograph,<blank>,Not fiction,The silver horde;,1909,1909,3,fic,y
uc2.ark:/13960/t3125rj37,6548040,284814,<blank>,"Beach, Rex,",New York;and London;Harper & brothers;1909.,1909,<blank>,monograph,<blank>,Not fiction,The silver horde;,1909,1909,3,fic,
mdp.39015025019079,1911108,2746198,<blank>,"Rinehart, Mary Roberts,",New York;The Review of reviews co.;c1909,1909,<blank>,monograph,<blank>,biog?;Unknown,The man in lower ten,1909,1909,4,fic,
uc2.ark:/13960/t6tx36h30,1911108,2746198,<blank>,"Rinehart, Mary Roberts,",New York;The Review of reviews co.;c1909,1909,<blank>,monograph,<blank>,biog?;Unknown,The man in lower ten,1909,1909,4,fic,y
uc2.ark:/13960/t83j39v3z,7649263,37033520,<blank>,"Rinehart, Mary Roberts,",New York;Grosset & Dunlap;c1909.,1909,<blank>,monograph,<blank>,Fiction,The man in lower ten,1909,1909,4,fic,
uva.x002649682,9782706,37033520,<blank>,"Rinehart, Mary Roberts,",New York;Grosset & Dunlap;1910.,1910,<blank>,monograph,<blank>,Not fiction,The man in lower ten,1909,1909,4,fic,
