HTid,recordid,OCLC,LOCnum,author,imprint,date,enumcron,subjects,genres,title,firstpub,Jgenre,Present,,,,,,,,,
mdp.39015063973450,783621,9190652,<blank>,"Ward, Mary Augusta","London;Smith, Elder & co.;1888.",1888,v.2,<blank>,Fiction,Robert Elsmere,1888,fic,y,,,,,,,,,
mdp.39015063973443,783621,9190652,<blank>,"Ward, Mary Augusta","London;Smith, Elder & co.;1888.",1888,v.3,<blank>,Fiction,Robert Elsmere,1888,fic,y,,,,,,,,,
njp.32101013202740,8883653,19300524,<blank>,"Kipling, Rudyard,",London,1892,1892,(Edinburgh,T. and A. Constable),1892,<blank>,<blank>,Not fiction,Barrack-room ballads,1892,poe,y,,,,,
uc2.ark:/13960/t4qj79244,9360535,10412502,<blank>,"Sewell, Anna,",London,1877,1877,1877,<blank>,Horses,Legends and stories,Juvenile literature,Juvenile audience,Fiction,Black Beauty,1877,fic,y,,,,
uc2.ark:/13960/t02z1ft9x,7707854,78372527,<blank>,"Kipling, Rudyard,",New York,1898,1898,1898,<blank>,<blank>,Not fiction,Plain tales from the hills,1888,fic,y,,,,,,,
mdp.39015000590714,590086,4020252,<blank>,"Jerome, Jerome K.",Bristol,1889,1889,1889,<blank>,<blank>,Fiction,Three men in a boat,1889,fic,y,,,,,,,
mdp.39015049217741,207878,2541507,<blank>,"Doyle, Arthur Conan,",New York,1892,1892,1892,<blank>,<blank>,Fiction,Adventures of Sherlock Holmes,1892,fic,y,,,,,,,
mdp.39015071575776,3197959,2998718,<blank>,"White, Ellen Gould Harmon,","Battle Creek, Mich.;Review and Herald;1898.",1898,<blank>,Salvation,Not fiction,Steps to Christ,1892,non,y,,,,,,,,,
uc1.b266928,6513056,26915166,<blank>,"Saunders, Marshall,",Philadelphia,1896,1896,1896,<blank>,Legends and stories,Dogs,Not fiction,Beautiful Joe,1893,fic,y,,,,,,
ien.35556025375221,10620513,45111533,<blank>,"Harvey, W. H.",Chicago,1894,1894,1894,<blank>,Silver question,Not fiction,Coin's financial school,1894,non,y,,,,,,,
uc1.b296194,6531075,6268512,<blank>,"Smith, Hannah Whitall,",Chicago,1883,Fleming H. Revell,c1883.,1883,<blank>,Faith,Christian life,Not fiction,The Christian's secret of a happy life,1875,non,y,,,,,
mdp.39015006977899,164883,1937066,PZ3.D892T2,"Du Maurier, George,",New York,1894,1894,1894,<blank>,"Quartier latin (Paris, France)",Fiction,Trilby,1894,fic,y,,,,,,,
nyp.33433045280553,8613502,29112633,<blank>,"Cleland, John,",Paris,1888,1888,1888,<blank>,<blank>,Not fiction,Memoirs of Fanny Hill,1748,fic,y,,,,,,,
