HTid,recordid,OCLC,LOCnum,author,imprint,date,enumcron,materialtype,subjects,genres,title,firstpub,Hackettlist,NumInList,Jgenre,Present
mdp.39015021067031,240915,6263553,PZ3.M12L4,"Little, Frances,",New York;The Century co.;1907.,1907,<blank>,monograph,<blank>,Not fiction,The lady of the decoration,1907,1907,1,fic,y
inu.30000011770421,6059268,6306493,<blank>,"Parker, Gilbert,",London;Heinemann;1907.,1907,<blank>,monograph,Fiction;Society of Friends,Fiction,The weavers,1907,1907,2,fic,
mdp.39015063945482,449651,1072779,PZ3.P225We,"Parker, Gilbert,",New York;London;Harper & brothers;c1907,1907,<blank>,monograph,<blank>,Fiction,The weavers;,1907,1907,2,fic,
wu.89035508365,449651,1072779,PZ3.P225We,"Parker, Gilbert,",New York;London;Harper & brothers;c1907,1907,<blank>,monograph,<blank>,Fiction,The weavers;,1907,1907,2,fic,y
uc1.b3325712,449651,1072779,PZ3.P225We,"Parker, Gilbert,",New York;London;Harper & brothers;c1907,1907,<blank>,monograph,<blank>,Fiction,The weavers;,1907,1907,2,fic,
uc2.ark:/13960/t2g73cv5d,449651,1072779,PZ3.P225We,"Parker, Gilbert,",New York;London;Harper & brothers;c1907,1907,<blank>,monograph,<blank>,Fiction,The weavers;,1907,1907,2,fic,
nyp.33433075749204,449651,1072779,PZ3.P225We,"Parker, Gilbert,",New York;London;Harper & brothers;c1907,1907,<blank>,monograph,<blank>,Fiction,The weavers;,1907,1907,2,fic,
nyp.33433075749212,8669758,37287179,<blank>,"Parker, Gilbert,",Leipzig;B. Tauchnitz;1908.,1908,v. 1-2,monograph,Canadian fiction,Fiction,The weavers;,1907,1907,2,fic,
coo.31924013532076,8669758,37287179,<blank>,"Parker, Gilbert,",Leipzig;B. Tauchnitz;1908.,1908,v.1,monograph,Canadian fiction,Fiction,The weavers;,1907,1907,2,fic,
coo.31924065000592,8669758,37287179,<blank>,"Parker, Gilbert,",Leipzig;B. Tauchnitz;1908.,1908,v.2,monograph,Canadian fiction,Fiction,The weavers;,1907,1907,2,fic,
mdp.39015059415789,160678,999440,PZ3.N524Po,"Nicholson, Meredith,",Indianapolis;The Bobbs-Merrill company;1907,1907,<blank>,monograph,<blank>,Fiction,The Port of missing men,1907,1907,3,fic,
nyp.33433076023138,160678,999440,PZ3.N524Po,"Nicholson, Meredith,",Indianapolis;The Bobbs-Merrill company;1907,1907,<blank>,monograph,<blank>,Fiction,The Port of missing men,1907,1907,3,fic,
uc2.ark:/13960/t6b27q65p,7648873,8376371,PZ3.N524Por2,"Nicholson, Meredith,",New York;Grosset & Dunlap;c1907,1907,<blank>,monograph,<blank>,Not fiction,The Port of missing men,1907,1907,3,fic,y
mdp.39015014749728,587711,270693,PZ3.B934Sh,"Burnett, Frances Hodgson,",New York;F. A. Stokes company;1907,1907,<blank>,monograph,<blank>,Fiction,The shuttle,1907,1907,4,fic,y
wu.89098013857,5946290,22438483,<blank>,"Burnett, Frances Hodgson,",London;William Heinemann;c1907.,1907,<blank>,monograph,<blank>,Fiction,The shuttle,1907,1907,4,fic,
uc1.b4717931,11256690,2760260,<blank>,"Burnett, Frances Hodgson,",New York;Grosset & Dunlap;1907,1907,<blank>,monograph,Dysfunctional families;Fiction;England;Americans;Sisters,Fiction,The shuttle,1907,1907,4,fic,
nyp.33433074814025,8690804,37129669,<blank>,"Burnett, Frances Hodgson,",Leipzig;B. Tauchnitz;1908.,1908,v. 1,monograph,American fiction,Fiction,The shuttle,1907,1907,4,fic,
nyp.33433074814264,8690804,37129669,<blank>,"Burnett, Frances Hodgson,",Leipzig;B. Tauchnitz;1908.,1908,v. 2,monograph,American fiction,Fiction,The shuttle,1907,1907,4,fic,
coo.31924021965698,8690804,37129669,<blank>,"Burnett, Frances Hodgson,",Leipzig;B. Tauchnitz;1908.,1908,v.2,monograph,American fiction,Fiction,The shuttle,1907,1907,4,fic,
uc2.ark:/13960/t9q23sh58,6541658,1854342,PS3543.A453B7 1907,"Vance, Louis Joseph,",Indianapolis;The Bobbs-Merrill Company;1907,1907,<blank>,monograph,<blank>,Fiction,The brass bowl,1907,1907,5,fic,y
nyp.33433076048002,6498876,758057,PZ3.R524S,"Rives, Hallie Erminie,",Indianapolis;The Bobbs-Merrill Company;1907,1907,<blank>,monograph,<blank>,Fiction,Satan Sanderson,1907,1907,6,fic,
