docid	oldauthor	author	authordate	inferreddate	latestcomp	datetype	startdate	enddate	imprint	imprintdate	contents	genres	subjects	geographics	locnum	oclc	place	recordid	instances	allcopiesofwork	copiesin25yrs	enumcron	volnum	title	parttitle	earlyedition	shorttitle
uc1.b3454992	Underhill, Harold	Underhill, Harold		1967	1967	c	1967	1968	New York|Macmillan|1967, c1968	1967		Fiction			PZ4.U48Jam	437037.0	nyu	6302123	1	1	1			Jamaica white.		True	Jamaica white
mdp.39015013004612	Donchev, Anton	Donchev, Anton		1967	1967	s	1967	    	London|Owen|1967	1967		Fiction			PZ4.D68Ti	956779.0	enk	1229069	1	3	3			Time of parting: | a novel; | $c: translated from the Bulgarian by Marguerite Alexieva.		True	Time of parting: a novel;
mdp.39015016446083	Childs, Marquis W. (Marquis William)	Childs, Marquis W. (Marquis William)	1903-1990.	1967	1967	s	1967	    	New York|Harper & Row|1967	1967	[1st ed.]	Fiction			PZ3.C43827Tai	914102.0	nyu	627589	2	2	2			Taint of innocence | $c: [by] Marquis Childs.		True	Taint of innocence
uc1.$b120129	Ford, Jesse Hill	Ford, Jesse Hill		1967	1967	s	1967	    	Boston|Little, Brown|1967	1967	[1st ed.]	NotFiction			PZ4.F6983Fi	2579787.0	mau	389545	2	2	2			Fishes, birds, and sons of men.		True	Fishes, birds, and sons of men
pst.000005756322	Whitman, Allen	Whitman, Allen	1925-	1967	1967	s	1967	    	Minneapolis|Augsburg Pub. House|1967].	1967		NotFiction			PZ4.W6154Par	1975796.0	xx 	7492204	1	1	1			Parson McFright : | short stories for harried churchmen / | $c: Illustrated by Dorothy Messenger.		True	Parson McFright : short stories for harried churchmen
uc1.b4351525	Lewis, Robert	Lewis, Robert	1916-	1967	1967	s	1967	    	New York|Simon and Schuster|c1967.	1967		NotFiction				712454.0	   	591824	2	2	2			Michel, Michel; | a novel.		True	Michel, Michel; a novel
uc1.b3477951	Mulloo, Anand	Mulloo, Anand	1936-	1967	1967	s	1967	    	Port Louis|Mauritius Writers' Association|1967	1967		Fiction			PZ4.M963Wat	430244.0	mf 	6663151	1	1	1	(copy 1)		Watch them go down.		True	Watch them go down
uc1.b3473182	Royce, Kenneth	Royce, Kenneth		1967	1967	s	1967	    	London|Cassell|1967.	1967		NotFiction			PZ4.R8892Bo	14869621.0	enk	6662124	1	1	1			Bones in the sand.		True	Bones in the sand
mdp.39015006565108	Hunter, Mollie	Hunter, Mollie	1922-	1968	1964	c	1968	1964	New York|Avon|1968, c1964	1968		UnknownGenre				67412081.0	nyu	1417010	1	1	1			The kelpie's pearls | $c: [by] Mollie Hunter. [Illustrated by Joseph Cellini]		True	The kelpie's pearls
uc1.$b451271	Stevenson, Florence	Stevenson, Florence		1968	1968	s	1968	    	New York|New American Library|1968	1968		Fiction			PZ4.S84569Op	441315.0	nyu	9105217	1	1	1			Ophelia.		True	Ophelia
