docid	oldauthor	author	authordate	inferreddate	latestcomp	datetype	startdate	enddate	imprint	imprintdate	contents	genres	subjects	geographics	locnum	oclc	place	recordid	instances	allcopiesofwork	copiesin25yrs	enumcron	volnum	title	parttitle	earlyedition	shorttitle
uiuo.ark+=13960=t7cr6hq4j	Hamilton, Elizabeth	Hamilton, Elizabeth	1756?-1816.	1800	1800	s	1800	    	Bath;Printed by R. Cruttwell for G.G. and J. Robinson, London;1800.	1800		Fiction|NotFiction			PZ3.H183M	5084139.0	enk	8721527	1	14	12	v.1	1.0	Memoirs of modern philosophers		True	Memoirs of modern philosophers
uva.x000099740	Hamilton, Elizabeth	Hamilton, Elizabeth	1756?-1816.	1800	1800	s	1800	    	Bath;Printed by R. Cruttwell for G.G. and J. Robinson, London;1800.	1800		Fiction|NotFiction			PZ3.H183M	5084139.0	enk	8721527	2	14	12	v.2	2.0	Memoirs of modern philosophers.		True	Memoirs of modern philosophers
uiuo.ark+=13960=t0ks7d013	Hamilton, Elizabeth	Hamilton, Elizabeth	1756?-1816.	1800	1800	s	1800	    	Bath;Printed by R. Cruttwell for G.G. and J. Robinson, London;1800.	1800		Fiction|NotFiction			PZ3.H183M	5084139.0	enk	8721527	1	14	12	v.3	3.0	Memoirs of modern philosophers		True	Memoirs of modern philosophers
nyp.33433074951595	Cuthbertson, Catherine	Cuthbertson, Catherine		1803	1803	s	1803	    	London;Printed for G. and J. Robinson;1803.	1803		Fiction	English fiction			6715920.0	enk	8690976	2	12	12	v. 1	1.0	Romance of the Pyrenees ...		True	Romance of the Pyrenees
uiuo.ark+=13960=t6xw4rw1j	Cuthbertson, Catherine	Cuthbertson, Catherine		1803	1803	s	1803	    	London;Printed for G. and J. Robinson;1803.	1803		Fiction	English fiction			6715920.0	enk	8690976	2	12	12	v.2	2.0	Romance of the Pyrenees		True	Romance of the Pyrenees
uiuo.ark+=13960=t8nc69j1b	Cuthbertson, Catherine	Cuthbertson, Catherine		1803	1803	s	1803	    	London;Printed for G. and J. Robinson;1803.	1803		Fiction	English fiction			6715920.0	enk	8690976	2	12	12	v.3	3.0	Romance of the Pyrenees		True	Romance of the Pyrenees
nyp.33433074951629	Cuthbertson, Catherine	Cuthbertson, Catherine		1803	1803	s	1803	    	London;Printed for G. and J. Robinson;1803.	1803		Fiction	English fiction			6715920.0	enk	8690976	2	12	12	v. 4	4.0	Romance of the Pyrenees ...		True	Romance of the Pyrenees
njp.32101064790809	Stanhope, Louisa Sidney	Stanhope, Louisa Sidney		1807	1807	s	1807	    	London;Printed at the Minerva-Press, for Lane, Newman, and Co.;1807.	1807		Fiction|NotFiction				7097030.0	enk	8718288	2	13	12	vol. 2	2.0	The bandit's bride; | or, The maid of Saxony. A romance ... | $c: By the author of Montbrasil abbey, &c. ... | $n: 1		True	The bandit's bride; or, The maid of Saxony. A romance
njp.32101064790791	Stanhope, Louisa Sidney	Stanhope, Louisa Sidney		1807	1807	s	1807	    	London;Printed at the Minerva-Press, for Lane, Newman, and Co.;1807.	1807		Fiction|NotFiction				7097030.0	enk	8718288	2	13	12	vol. 3	3.0	The bandit's bride; | or, The maid of Saxony. A romance ... | $c: By the author of Montbrasil abbey, &c. ... | $n: 1		True	The bandit's bride; or, The maid of Saxony. A romance
njp.32101064790783	Stanhope, Louisa Sidney	Stanhope, Louisa Sidney		1807	1807	s	1807	    	London;Printed at the Minerva-Press, for Lane, Newman, and Co.;1807.	1807		Fiction|NotFiction				7097030.0	enk	8718288	2	13	12	vol. 4	4.0	The bandit's bride; | or, The maid of Saxony. A romance ... | $c: By the author of Montbrasil abbey, &c. ... | $n: 1		True	The bandit's bride; or, The maid of Saxony. A romance
nyp.33433074915129	Lady Morgan, (Sydney)	Morgan, (Sydney), Lady	1783-1859.	1806	1806	s	1806	    	London;Printed for R. Phillips;1806.	1806	[1st ed.]	London|NotFiction|England|Fiction|Novels				6949862.0	enk	6502445	3	11	11	v. 2	2.0	The novice of Saint Dominick, | $c: by Miss Owenson. | $n: 1		True	The novice of Saint Dominick
nyp.33433074915137	Lady Morgan, (Sydney)	Morgan, (Sydney), Lady	1783-1859.	1806	1806	s	1806	    	London;Printed for R. Phillips;1806.	1806	[1st ed.]	London|NotFiction|England|Fiction|Novels				6949862.0	enk	6502445	3	11	11	v. 3	3.0	The novice of Saint Dominick, | $c: by Miss Owenson. | $n: 1		True	The novice of Saint Dominick
uc2.ark+=13960=t3513xp37	Grant, Anne MacVicar	Grant, Anne MacVicar	1755-1838.	1807	1807	m	1807	    	London;Longman Hurst Rees & Orme;1807-	1807		NotFiction	Bolton|Social life and customs|Description and travel|18th century|Baron|Highlands (Scotland)|Bookplate|Autograph			3459030.0	xx 	7688327	1	11	11	v.2	2.0	Letters from the mountains		True	Letters from the mountains
hvd.rsmd2m	More, Hannah	More, Hannah	1745-1833.	1809	1809	s	1809	    	New-York;David Carlisle;1809.	1809		Fiction|NotFiction	English fiction			40019180.0	nyu	9710311	1	11	10			Cœlebs in search of a wife : | comprehending observations on domestic habits and manner, religion and morals.		True	Cœlebs in search of a wife : comprehending observations on domestic habits and manner, religion and morals
mdp.39015014117546	Porter, Anna Maria	Porter, Anna Maria	1780-1832.	1807	1807	s	1807	    	London;Longman, Hurst, Rees, and Orme;1807.	1807		Fiction|NotFiction	English fiction			6977684.0	enk	169199	2	10	9	v.1	1.0	The Hungarian brothers ... | $c: By Miss Anna Maria Porter ...		True	The Hungarian brothers
uiuo.ark+=13960=t2t449b4t	Porter, Anna Maria	Porter, Anna Maria	1780-1832.	1807	1807	s	1807	    	London;Longman, Hurst, Rees, and Orme;1807.	1807		Fiction|NotFiction	English fiction			6977684.0	enk	169199	2	10	9	v.2	2.0	The Hungarian brothers		True	The Hungarian brothers
uiuo.ark+=13960=t3vt28143	Porter, Anna Maria	Porter, Anna Maria	1780-1832.	1807	1807	s	1807	    	London;Longman, Hurst, Rees, and Orme;1807.	1807		Fiction|NotFiction	English fiction			6977684.0	enk	169199	2	10	9	v.3	3.0	The Hungarian brothers		True	The Hungarian brothers
uiuo.ark+=13960=t9x06cv0p	Burney, Sarah Harriet	Burney, Sarah Harriet	1772-1844.	1808	1808	s	1808	    	London;Printed for G. Wilkie and J. Robinson;1808.	1808		NotFiction				11715312.0	enk	8719963	2	9	9	v.1	1.0	Geraldine Fauconberg		True	Geraldine Fauconberg
njp.32101069165098	Burney, Sarah Harriet	Burney, Sarah Harriet	1772-1844.	1808	1808	s	1808	    	London;Printed for G. Wilkie and J. Robinson;1808.	1808		NotFiction				11715312.0	enk	8719963	2	9	9	vol. 2	2.0	Geraldine Fauconberg. | $c: By the author of Clarentine. | $n: 1		True	Geraldine Fauconberg
uiuo.ark+=13960=t8df71j7t	Burney, Sarah Harriet	Burney, Sarah Harriet	1772-1844.	1808	1808	s	1808	    	London;Printed for G. Wilkie and J. Robinson;1808.	1808		NotFiction				11715312.0	enk	8719963	2	9	9	v.3	3.0	Geraldine Fauconberg		True	Geraldine Fauconberg
nyp.33433074917844	Carter, Elizabeth	Carter, Elizabeth	1717-1806.	1809	1806	s	1809	    	London;F. C. and J. Rivington;1809.	1809		London|NotFiction|England|ContainsBiogMaterial|Publishers' advertisments	Vesey, Elizabeth Vesey|1715?-1791|Carter, Elizabeth|1717-1806|1721-1770|Correspondence|Talbot, Catherine		PR3339.C4A8 1809	15218151.0	enk	283471	2	9	9	v. 1	1.0	A series of letters between Mrs. Elizabeth Carter and Miss Catherine Talbot, from the year 1741 to 1770 : | to which are added, Letters from Mrs. Elizabeth Carter to Mrs. Vesey, between the years 1763 and 1787 : published from the original manuscripts in the posession of the Rev. Montagu Pennington.		True	A series of letters between Mrs. Elizabeth Carter and Miss Catherine Talbot, from the year 1741 to 1770 : to which are added, Letters from Mrs. Elizabeth Carter to Mrs. Vesey, between the years 1763 and 1787 : published from the original manuscripts in the posession of the Rev. Montagu Pennington
nyp.33433074917851	Carter, Elizabeth	Carter, Elizabeth	1717-1806.	1809	1806	s	1809	    	London;F. C. and J. Rivington;1809.	1809		London|NotFiction|England|ContainsBiogMaterial|Publishers' advertisments	Vesey, Elizabeth Vesey|1715?-1791|Carter, Elizabeth|1717-1806|1721-1770|Correspondence|Talbot, Catherine		PR3339.C4A8 1809	15218151.0	enk	283471	2	9	9	v. 2	2.0	A series of letters between Mrs. Elizabeth Carter and Miss Catherine Talbot, from the year 1741 to 1770 : | to which are added, Letters from Mrs. Elizabeth Carter to Mrs. Vesey, between the years 1763 and 1787 : published from the original manuscripts in the posession of the Rev. Montagu Pennington.		True	A series of letters between Mrs. Elizabeth Carter and Miss Catherine Talbot, from the year 1741 to 1770 : to which are added, Letters from Mrs. Elizabeth Carter to Mrs. Vesey, between the years 1763 and 1787 : published from the original manuscripts in the posession of the Rev. Montagu Pennington
nyp.33433074917877	Carter, Elizabeth	Carter, Elizabeth	1717-1806.	1809	1806	s	1809	    	London;F. C. and J. Rivington;1809.	1809		London|NotFiction|England|ContainsBiogMaterial|Publishers' advertisments	Vesey, Elizabeth Vesey|1715?-1791|Carter, Elizabeth|1717-1806|1721-1770|Correspondence|Talbot, Catherine		PR3339.C4A8 1809	15218151.0	enk	283471	2	9	9	v. 4	4.0	A series of letters between Mrs. Elizabeth Carter and Miss Catherine Talbot, from the year 1741 to 1770 : | to which are added, Letters from Mrs. Elizabeth Carter to Mrs. Vesey, between the years 1763 and 1787 : published from the original manuscripts in the posession of the Rev. Montagu Pennington.		True	A series of letters between Mrs. Elizabeth Carter and Miss Catherine Talbot, from the year 1741 to 1770 : to which are added, Letters from Mrs. Elizabeth Carter to Mrs. Vesey, between the years 1763 and 1787 : published from the original manuscripts in the posession of the Rev. Montagu Pennington
nyp.33433074916226	Lamb, Charles	Lamb, Charles	1775-1834.	1809	1809	s	1809	    	London;Printed for M.J. Godwin;1809.	1809	2d ed.	Juvenile audience|Fiction|UnknownGenre|NotFiction	1564-1616|Adaptations|Shakespeare, William			9984183.0	enk	1366867	1	8	8	v. 1	1.0	Tales from Shakespear : | designed for the use of young persons / | $c: by Charles Lamb.		True	Tales from Shakespear : designed for the use of young persons
nyp.33433074916218	Lamb, Charles	Lamb, Charles	1775-1834.	1809	1809	s	1809	    	London;Printed for M.J. Godwin;1809.	1809	2d ed.	Juvenile audience|Fiction|UnknownGenre|NotFiction	1564-1616|Adaptations|Shakespeare, William			9984183.0	enk	1366867	1	8	8	v. 2	2.0	Tales from Shakespear : | designed for the use of young persons / | $c: by Charles Lamb.		True	Tales from Shakespear : designed for the use of young persons
hvd.hn21hk	Porter, Jane	Porter, Jane	1776-1850.	1805	1805	s	1805	    	London;Printed for Longman, Hurst, Rees, and Orme;1805.	1805	3rd ed.	Fiction|NotFiction	Stanislaus II Augustus, 1764-1795|History|English fiction|Fiction|Poland	Poland		13656348.0	enk	9713669	1	14	7	v.1	1.0	Thaddeus of Warsaw / | $c: by Miss Porter.		True	Thaddeus of Warsaw
hvd.hn21hl	Porter, Jane	Porter, Jane	1776-1850.	1805	1805	s	1805	    	London;Printed for Longman, Hurst, Rees, and Orme;1805.	1805	3rd ed.	Fiction|NotFiction	Stanislaus II Augustus, 1764-1795|History|English fiction|Fiction|Poland	Poland		13656348.0	enk	9713669	1	14	7	v.2	2.0	Thaddeus of Warsaw / | $c: by Miss Porter.		True	Thaddeus of Warsaw
hvd.hn21hm	Porter, Jane	Porter, Jane	1776-1850.	1805	1805	s	1805	    	London;Printed for Longman, Hurst, Rees, and Orme;1805.	1805	3rd ed.	Fiction|NotFiction	Stanislaus II Augustus, 1764-1795|History|English fiction|Fiction|Poland	Poland		13656348.0	enk	9713669	1	14	7	v.3	3.0	Thaddeus of Warsaw / | $c: by Miss Porter.		True	Thaddeus of Warsaw
