"docid"	"author"	"realname"	"pseudonym"	"gender"	"nationality"	"authordate"	"inferreddate"	"firstpub"	"latestcomp"	"allcopiesofwork"	"copiesin25yrs"	"enumcron"	"imprint"	"genres"	"subjects"	"category"	"shorttitle"
"uc1.$b809207"	"Harris, Miriam Coles"			"f"	"us"	"1834-1925."	1871	1871	1871	4	3		"New York;C. Scribner;1871"	"Fiction"		"novel"	"Richard Vandermarck. A novel"
"mdp.39015055109840"	"Vlassie, Katherine"			"f"	"ca"		1987		1987	1	1		"Ontario?], Canada|Cormora"	"Short stories"		"shortstories"	"Children of Byzantium"
"njp.32101065863100"	"Mangin, Edward"			"m"	"uk"	"1772-1852."	1806		1806	2	2	"v. 1"	"London;Carpenter;1806."			"novel"	"Oddities and outlines"
"nyp.33433088072370"	"Jephson, A. J. Mounteney (Arthur Jermy Mounteney)"			"m"	"uk"	"1858-1908."	1893		1893	1	1		"London;S. Low, Marston an"	"NotFiction"	"Description and travel"	"shortstories"	"Stories told in an African forest by grown-up children of Africa"
"mdp.39015012179258"	"Raven, Simon"			"m"	"uk"	"1927-2001."	1986	1986	1986	1	1		"London|Muller, Blond & Wh"	"Fiction"		"novel"	"Before the cock crow : a novel"
"inu.39000002943509"	"Stapledon, Olaf"			"m"	"uk"	"1886-1950."	1946	1946	1946	2	2		"London|Methuen|1946"	"Fiction"	"Future life"	"novel"	"Death into life"
"mdp.39015059771025"	"Richter, Conrad"			"m"	"us"	"1890-1968."	1957	1943	1957	1	1		"New York|Alfred A. Knopf|"	"Fiction"	"Fiction|History"	"novel"	"The free man"
"mdp.39015046835966"							1972		1972	2	2	"v.4"	"London|Routledge & K. Pau"	"Fiction"		"reprint"	"The Golden Lotus; a translation, from the Chinese original, of the novel Chin Pʻing Mei"
"uc1.$b300302"	"Franklyn, Irwin R"			"m"	"us"	"1904-1966."	1929		1929	1	1		"New York|Grosset & Dunlap"	"NotFiction"		"novel"	"Flight : an epic of the air"
"mdp.39015019476004"	"Kolyer, John"			"m"	"us"		1986		1986	1	1		"Newport Beach, Calif.|San"	"Fiction"		"novel"	"Recreations of a corpse"
"uc1.b4439388"	"Garrett, George P"			"m"	"us"	"1929-2008"	1983	1983	1983	2	2		"Garden City, N.Y.|Doubled"	"Fiction"	"Great Britain|Elizabeth|1"	"novel"	"The succession : a novel of Elizabeth and James"
"mdp.39015060804708"	"Palma, Rubén"			"m"	"da"	"1954-"	2004		2004	1	1		"Willimantic, CT|Curbstone"	"Fiction"		"shortstories"	"The trail we leave : short stories"
"mdp.39015063536331"	"French, Allen"			"m"	"us"	"1870-1946."	1902		1902	2	2		"New York;Doubleday, Page "	"Fiction"	"Siege, 1775-1776|Fiction|"	"novel"	"The colonials; being a narrative of events chiefly connected with the siege and evacuation of the town of Boston in New England"
"nc01.ark+=13960=t2x35sr01"	"Baker, Cornelia"			"f"	"us"	"1855-"	1906		1906	3	3		"Indianapolis;The Bobbs-Me"			"novel"	"The court jester"
"uiuo.ark+=13960=t80k2wc85"	"Kett, Henry"			"m"	"uk"	"1761-1825."	1809		1809	2	2	"v.1"	"London;Rivington;1809."			"novel"	"Emily"
"nnc1.1002231824"					"uk"		1813		1813	1	1		"Salford;Printed by Cowdro"	"NotFiction"		"novel"	"The authentic and interesting history of Miss Moreton, and the faithful cottager"
"uc2.ark+=13960=t2891f63t"	"Kingsley, Florence (Morse), Mrs"			"f"	"us"	"1859-1937."	1907		1907	1	1		"New York and London;Harpe"			"novel"	"The princess and the ploughman"
"mdp.39015016868351"	"Saurat, Denis"			"m"	"fr"	"1890-1958."	1946		1946	1	1		"London|Westhouse|1946."	"NotFiction"	"Dreams|Reincarnation"	"nonfic"	"Death and the dreamer / $f: with drawings by Edward Bawden"
"uc2.ark+=13960=t4fn1393k"	"Peacocke, Isabel Maud"			"f"	"nz"		1915		1915	1	1		"Chicago;Rand McNally & Co"			"juvenile"	"My friend Phil"
"mdp.39015059660863"	"Menon, E. P"						1967		1967	1	1		"Bangalore|International S"	"NotFiction"	"Voyages around the world|"	"nonfic"	"Foot-prints on friendly roads;"
"nyp.33433082524152"	"Barbour, Ralph Henry"			"m"	"us"	"1870-1944."	1916		1916	1	1		"New York;Grosset & Dunlap"	"Juvenile audience|NotFict"	"Children's stories, Ameri"	"juvenile"	"Left guard Gilbert"
"uc1.b3822888"	"Yuscarán, Guillermo"			"m"	"us"		1990		1990	1	1		"Tegucigalpa, F.M.|""Nuevo "	"Fiction"		"shortstories"	"Points of light : Honduran short stories"
"uc1.32106008451731"	"Kaminsky, Stuart M"			"m"	"us"	"1934-2009."	1988		1988	1	1		"New York|Scribner's|c1988"	"Fiction"	"Russia (Federation)|Mosco"	"novel"	"A cold red sunrise : an Inspector Porfiry Rostnikov mystery"
"pst.000005340675"	"Archibald, Edith Jessie (Archibald)"			"f"	"ca"	"1854-1938."	1930		1930	1	1		"Londn|Cassell|1930]."	"NotFiction"		"novel"	"The token : a tale of Cape Breton Island in the days before Canada became a nation"
"uiuo.ark+=13960=t6sx6t75n"	"Loudon, Margracia"			"f"	"uk"		1830		1830	4	4	"v.1"	"London;Saunders & Otley;1"			"novel"	"First love"
"uiuo.ark+=13960=t12n5mx4m"	"Kelly, Isabella"			"f"	"uk"	"1759-1857."	1813		1813	4	4	"v.1"	"London;J. Souter, sold by"			"novel"	"Jane de Dunstanville, or, Characters as they are"
"nyp.33433082529359"	"Adams, C. (Charlotte)"			"f"	"us"		1861		1861	1	1		"New York;D. Appleton & Co"	"Juvenile audience|Fiction"	"Children's stories, Engli"	"juvenile"	"Edgar Clifton, or, Right and wrong. A story of school life"
"mdp.39015003676734"	"Frame, Janet"			"f"	"nz"	"1924-2004."	1964	1963	1964	1	1		"New York|G. Braziller|196"	"Fiction"		"novel"	"Scented gardens for the blind, a novel"
"hvd.32044108417551"	"Cumberland, George"					"1754-1848."	1829		1829	1	1		"London;S. Prowett;1829."	"NotFiction"		"nonfic"	"Outlines from the antients, exhibiting their principles of composition in figures and bassorilievos [sic], taken chiefly from inedited monuments of Greek and Roman sculpture"
