docid	author	realname	pseudonym	gender	nationality	authordate	inferreddate	firstpub	latestcomp	allcopiesofwork	copiesin25yrs	enumcron	imprint	genres	subjects	category	shorttitle
mdp.49015000838012	Fraser, Peter					1932-	1971		1971	1	1		Boston|Plays inc.|1971	Bibliographies|NotFiction	Puppet theater		Puppet circus
mdp.39015063561586	Ferrier, Susan					1782-1854.	1818		1818	5	3	v.2	Edinburgh;W. Blackwood an	Bibliographies|Fiction	English fiction		Marriage, a novel
uiuo.ark+=13960=t8nc6b618							1804		1804	1	1	v.1	London;Printed for T. Cad				The eve of San-Pietro
uc1.$b473613	Mann, Erika					1905-1969.	1940		1940	1	1		New York|Toronto|Farrar &	NotFiction	Social life and customs		The lights go down
nyp.33433074931597	Forrester, Charles Robert					1803-1850,	1843		1843	2	2	v. 2	London;R. Bentley;1843.	NotFiction			Phantasmagoria of fun
uc2.ark+=13960=t5h99230h	Seddon, Frederick Henry						1914		1914	1	1		Edinburgh;London;W. Hodge		Barrow, Eliza Mary|d. 191		Trial of the Seddons
mdp.39015030126505	Roscoe, Thomas					1791-1871.	1826		1826	1	1	v.1	London;H. Colburn;1826.	UnknownGenre			Introduction. Reineke Fuchs (Reynard the Fox) numerous authors and editions of it. The pleasant history of Reynard the Fox Flowleglass, the merry jester. Doctor Faustus
loc.ark+=13960=t08w4945p	Humpty Dumpty. [from old catalog]						1876		1876	1	1		Memphis, Tenn.;W.L. Surpr				The winning o't!
dul1.ark+=13960=t89g6ct7k	Edgeworth, Maria					1767-1849.	1805		1805	2	2		London;J. Johnson;1805.	NotFiction			The modern Griselda
mdp.39015062378909							1923		1923	1	1		New York|Dutton|c1923.	Short stories	Short stories, Swedish|Sh		Modern Swedish masterpieces : short stories
uc2.ark+=13960=t45q53b1s	Knighton, W						1854		1854	3	3	v.1	London;Hurst and Blackett		Description and travel|Sr		Forest life in Ceylon
dul1.ark+=13960=t4vh67297	Grafigny						1802		1802	2	2	v.2	Paris;printed for Durand 		Utopias		Letters of a Peruvian princess
uc2.ark+=13960=t0pr7sq62	Thackeray, William Makepeace					1811-1863.	1855		1855	14	1	v.03	London;Bradbury & Evans;1	Fiction|ContainsBiogMater	English literature		The memoirs of Barry Lyndon, Esq. A legend of the Rhine. Rebecca and Rowena. A little dinner at Timmins's. The Bedford-Row conspiracy
mdp.39015061469139	Candelaria, Nash						1977		1977	2	2		Tempe, AZ|Bilingual Press	Novel|Fiction	Social life and customs|M		Memories of the Alhambra
uc1.$b746092	Andersen, Hartvig						1954		1954	1	1		New York|Rinehart|1954	NotFiction	Secret service|United Sta		The dark city; a true account of adventures of a secret agent in Berlin, as told to Hartvig Andersen
nyp.33433074855069	Gallichan, Walter M. (Walter Matthew)					1861-1946.	1895		1895	1	1		London;B. Dobell;1895.	Fiction			Like stars that fall
nyp.33433081652574	Fraser, James Baillie					1783-1856.	1838		1838	2	2	v.1	London;R. Bentley;1838.	NotFiction	Prices|Social life and cu		Narrative of the residence of the Persian princes in London, in 1835 and 1836. With an account of their journey from Persia, and subsequent adventures
uc1.$b301045	Kent, Louise Andrews					1886-1969.	1945		1945	1	1		Boston|Houghton Mifflin|c	Fiction			Country mouse
nyp.33433074861935	Hume, Fergus					1859-1932.	1908		1908	1	1		New York;Dodge publishing	Fiction			The red skull
nyp.33433074856836	Gibbon, Muriel Morgan						1921		1921	1	1		Garden City, N.Y.;Toronto	NotFiction			The alternative
pst.000005752546	Stewart, Elizabeth Grey					1914-	1961		1961	1	1		New York|Putnam|1961].	NotFiction			Young man of the year : a novel
uc1.32106009522654	Humphreys, Emyr						1991		1991	1	1		London|Macdonald|1991.	Fiction	Parry, Amy (Fictitious ch		Bonds of attachment
pst.000045753022	Bristow, Gwen					1903-1980.	1962		1962	1	1		New York|Crowell|1962].	NotFiction			Plantation trilogy : Deep summer, The handsome road [and] This side of glory
uc1.b248787	Eggleston, Edward					1837-1902.	1872		1870	2	2		Chicago [Ill.;Adams, Blac		Christmas stories		Mr. Blake's walking stick
mdp.39015060836171	Escandón, María Amparo						2005		2005	1	1		New York|Three Rivers Pre	Domestic fiction|Novel|Ps	Fiction|Women prisoners|T		González and Daughter Trucking Co. : a road novel with literary license
uc1.$b101946	Hedden, Worth Tuttle						1952		1952	2	2		New York|Crown Publishers	NotFiction			Love is a wound
mdp.39015033493647	Simenon, Georges					1903-1989.	1977		1967	1	1		New York|Harcourt Brace J	Fiction			Monsieur Monde vanishes
nyp.33433081963146	Wade, Mary Hazelton Blanchard					1860-1936.	1904		1904	1	1		Boston;Chicago;W. A. Wild	NotFiction	Indian children|North Ame		Ten little Indians; stories of how Indian children lived and played
nyp.33433076025943	Smith, John Hyatt					1824-1886.	1874		1874	1	1		Brooklyn;D. S. Holmes;187	Fiction	American fiction		The open door; or, Light and liberty
mdp.39015059774052	Olson, Gene					1922-	1966		1966	1	1		Philadelphia|Westminster 	NotFiction			Cross-country chaos
pst.000014560620	Joseph, Mark						1986		1986	1	1		New York|D.I. Fine|c1986.	NotFiction			To kill the Potemkin : a novel
mdp.39015048717071	Conrad, Joseph					1857-1924.	1920		1920	1	1		New York;E. P. Dutton and	Fiction			Youth and Gaspar Ruiz
nyp.33433074928775	Bell, John Keble					1875-	1917		1917	1	1		New York;London;1917.	NotFiction			The gay life
uc2.ark+=13960=t21c1v37w	Sidney, Margaret					1844-1924.	1916		1916	1	1		Boston;Lothrop, Lee & She				Our Davie Pepper
nyp.33433074866561	Kinross, Albert					1870-1929.	1908		1908	1	1		New York;Macmillan;1908.	Fiction			Joan of Garioch
nyp.33433074927744							1820		1820	1	1	v. 25 (Female Quixote; part 2)	London;s.n.;1820.	NotFiction	English literature		The British novelists; with an essay, and prefaces, biographical and critical
pst.000005733071	Grahame, Arthur W						1967		1967	1	1		Philadelphia|Dorrance|196	NotFiction			Rabbitfoot
