docid	author	realname	pseudonym	gender	nationality	authordate	inferreddate	firstpub	latestcomp	allcopiesofwork	copiesin25yrs	enumcron	imprint	genres	subjects	category	shorttitle
uc1.b3639376	Leighton, Clare					1898-1989.	1937		1937	2	2		New York|The Macmillan Co	NotFiction	England|Country life		Country matters
njp.32101067630259	Boyd, Archibald					d. 1854.	1850		1850	3	3	v.1	London;R. Bentley;1850.	Fiction			The Duchess; or, Woman's love and woman's hate.  A romance
uc1.32106011701288	Thackeray, William Makepeace					1811-1863.	1886		1863	1	1	v.5	New York;G. Routledge;188	NotFiction			Complete works
uc1.b4951630	Doty, Carolyn						1982		1982	1	1		New York|Viking Press|198	Fiction			Fly away home
mdp.39015031308128	Trickett, Rachel					1923-1999.	1970		1970	1	1		London|Constable|1970.	Fiction			A visit to Timon
mdp.39015063535556	Flynn, Brian					1885-	1931		1931	1	1		New York|Grosset & Dunlap	Fiction			The billiard-room mystery
nyp.33433075754576	Goodwin, H. B. (Hannah Bradbury)					1827-1893.	1863		1863	1	1		Boston;Graves and Young;1	Fiction	History|Civil War, 1861-1		Roger Deane's work
mdp.39015040368360							1998		1998	1	1		Dallas, Tex.|Southern Met	Fiction	Texas|Fiction|Short stori		Texas bound. 22 Texas stories
uiuo.ark+=13960=t2b85s51b	Lewis, M. G. (Matthew Gregory)					1775-1818.	1808		1808	2	2	v.4	London;Printed by D.N. Sh				My uncle's garret-window.--Bill Jones.--Amorassan, or, The spirit of the frozen ocean
mdp.39015024877857	Heyse, Paul					1830-1914.	1867		1867	1	1		Leipzig;B. Tauchnitz; [et	UnknownGenre			L'arrabiata and other tales
uc1.b3834643	Deeping, Warwick					1877-1950.	1932		1932	1	1		New York|Grosset & Dunlap	Fiction			The awakening
nyp.33433082302906	Foote, Edward B. (Edward Bliss)					1829-1906.	1874		1874	2	2	v. 4	New York;Murray Hill Pub.	NotFiction	Physiology|Anatomy|Popula		"Sammy Tubbs, the boy doctor and ""Sponsie"" the troublesome monkey"
nyp.33433074952759	Thomas, Annie					1838-1918.	1867		1867	1	1		New York;Harper and Broth	NotFiction			Played out
uc1.b3579101	Keenan, Henry F. (Henry Francis)					b. 1850.	1885		1885	1	1		New York;Cassell & compan	Fiction			Trajan: the history of a sentimental young man, with some episodes in the comedy of many lives' errors.  A novel
uc1.$b251638	Stuart-Young, J. M. (John Moray)						1923		1923	1	1		London|A. H. Stockwell|19	NotFiction	Fiction		Chits from West Africa : stories and sketches from the tropics
mdp.39015041983316	Duckworth, Colin						1997		1997	1	1		Melbourne, Victoria, Aust	NotFiction			Digging in dark places : a novel
coo.31924014391860	Potter, Beatrix					1866-1943.	1963		1943	2	1		New York|F. Warne|1963?	Juvenile audience|Fiction			The tale of Mrs. Tiggy-Winkle
uiuo.ark+=13960=t86h55c3c	Author of Rare pale Margaret						1886		1886	3	3	v.1	London;S. Low, Marston, S		823P772		Pomegranate seed
nyp.33433082192877	Sophocles						1851		1851	1	1		Cambridge [Mass;J. Bartle	Fiction			The Aias of Sophocles, with critical and explanatory notes
mdp.39015035126963	Crofts, Freeman Wills					1879-1957.	1933		1933	1	1		New York|Dodd, Mead & com	Fiction			The strange case of Dr. Earle
wu.89099755571	Hough, Emerson					1857-1923.	1918		1918	1	1		New York;London;D. Applet	Fiction			The way out: a story of the Cumberlands to-day
hvd.hwkd16	Hook, Theodore Edward					1788-1841.	1825		1825	1	1	v.2	Philadelphia;H.C. Carey a	Fiction			Passion and principle
nyp.33433076074115	Maria (Maria D. Weston)						1848		1848	1	1		Providence;Weeden & Peek;	Fiction	American fiction		The Weldron family; or, Vicissitudes of fortune.  A story of real life in New England
uc1.$b56970	Loos, Mary						1945		1945	1	1		Garden City, N.Y.|Doubled	Fiction	Fiction|Forced repatriati		Return to the vineyard
uc1.$b312815	Wight, Frederick Stallknecht					1902-1986.	1936		1936	1	1		New York|Farrar & Rhineha	NotFiction			The chronicle of Aaron Kane;
uiuo.ark+=13960=t4nk41h3r	Yates, Edmund Hodgson					1831-1894.	1867		1867	3	3	v.2	London;Tinslsey brothers;				Black sheep
nyp.33433076018419	Twain, Mark					1835-1910.	1899		1899	8	6	v. 11	New York;Harper and broth	Satire|NotFiction|Bibliog	Politics and government|F		The gilded age
nyp.33433074911573	Smith, Charlotte Turner					1749-1806.	1800		1800	1	1	v. 4	London;Printed by and for	Fiction	English fiction		The Hungarian
inu.39000005802959	Grattan, Thomas Colley					1792-1864.	1832		1832	2	2	v.1	London;H. Colburn and R. 	NotFiction	Rhine River Valley|German		The forfeit hand.  The orphan of Cambray.  The curse of the Black Lady
uc1.$b809207	Harris, Miriam Coles					1834-1925.	1871		1871	4	3		New York;C. Scribner;1871	Fiction			Richard Vandermarck. A novel
mdp.39015055109840	Vlassie, Katherine						1987		1987	1	1		Ontario?], Canada|Cormora	Short stories			Children of Byzantium
njp.32101065863100	Mangin, Edward					1772-1852.	1806		1806	2	2	v. 1	London;Carpenter;1806.				Oddities and outlines
nyp.33433088072370	Jephson, A. J. Mounteney (Arthur Jermy Mounteney)					1858-1908.	1893		1893	1	1		London;S. Low, Marston an	NotFiction	Description and travel		Stories told in an African forest by grown-up children of Africa
mdp.39015012179258	Raven, Simon					1927-2001.	1986		1986	1	1		London|Muller, Blond & Wh	Fiction			Before the cock crow : a novel
inu.39000002943509	Stapledon, Olaf					1886-1950.	1946		1946	2	2		London|Methuen|1946	Fiction	Future life		Death into life
mdp.39015059771025	Richter, Conrad					1890-1968.	1957		1957	1	1		New York|Alfred A. Knopf|	Fiction	Fiction|History		The free man
mdp.39015046835966							1972		1972	2	2	v.4	London|Routledge & K. Pau	Fiction			The Golden Lotus; a translation, from the Chinese original, of the novel Chin Pʻing Mei
uc1.$b300302	Franklyn, Irwin R						1929		1929	1	1		New York|Grosset & Dunlap	NotFiction			Flight : an epic of the air
