docid	author	realname	pseudonym	gender	nationality	authordate	inferreddate	firstpub	latestcomp	allcopiesofwork	copiesin25yrs	enumcron	imprint	genres	subjects	shorttitle	category	hathiadvent
nyp.33433082192877	Sophocles			u			1851	0	1851	1.0	1.0		Cambridge [Mass;J. Bartlett;1851.			The Aias of Sophocles, with critical and explanatory notes	drama	reprint
mdp.39015011028746	Plutarch			m			1932	125	1932	1.0	1.0		Oxford|The Clarendon press|1932		Sources|1564-1616|Shakespeare, William	Plutarch's lives of Coriolanus, Caesar, Brutus, and Antonius in North's translation	shortfiction	reprint
inu.30000055877900	Wace			u		ca. 1100-ca. 1175.	1937	1175	1937	1.0	1.0		London|J. M. Dent & sons, ltd.|New York|E. P. Dutton & co.|1937.	Bibliographies	Arthurian romances|Romances|Translations into English|To 1066|Romances|History	Arthurian chronicles	poetry	reprint
mdp.39015030126505	Roscoe, Thomas (trans.)			m	uk	1791-1871.	1826	1200	1826	1.0	1.0	v.1	London;H. Colburn;1826.			Introduction. Reineke Fuchs (Reynard the Fox) numerous authors and editions of it. The pleasant history of Reynard the Fox Flowleglass, the merry jester. Doctor Faustus	shortfiction	reprint
mdp.39015005144137	von Strassburg, Gottfried			u		d. 1210	1960	1210	1960	1.0	1.0		Baltimore|Penguin Books|1960		Tristan|(Anglo-Norman poet)|Thomas	Tristan	poetry	reprint
inu.30000007145497				u			1960	1300	1960	1.0	1.0		London|J. M. Dent|New York|E. P. Dutton|1960		Njáll Þorgursson|930 (ca.)-1011	The story of Burnt Njal	poetry	reprint
njp.32101013593403	Day, Samuel Phillips			m			1872	1300	1872	1.0	1.0		London;Cassell, Petter, and Galpin;1872	Juvenile audience|London|England|Juvenile literature		The rare romance of Reynard the fox, the crafty courtier : together with The shifts of his son Reynardine : in words of one syllable	shortfiction	reprint
uc2.ark+=13960=t0qr4qv09				u			1907	1300	1907	2.0	2.0		London;New York;etc.] Norroena society;1907.			The story of Burnt Njal, the great Icelandic tribunt, jurist, and counsellor	shortfiction	reprint
mdp.39015013446680	Snorri Sturluson			u		1179?-1241.	1906	1300	1906	2.0	2.0	v.2	London;New York [etc.;Norr??na society;1906.	History	History	The Heimskringla, a history of the Norse kings	poetry	reprint
uc1.$b309384	Morris, William			m	uk	1834-1896.	1896	1300	1896	5.0	5.0		London;G. Allen;1896.		Romances	Old French romances	longfiction	reprint
mdp.39015001034399	Dalton, William			m		1821-1875.	1860	1500	1860	4.0	4.0		New York;Townsend;1860.			Early English poetry, ballads and popular literature of the middle ages	poetry	reprint
mdp.49015003181857	Malory, Thomas, Sir			m		active 15th century.	1954	1500	1954	1.0	1.0		Leicester, England|Edmund Ward|1954.		Arthurian romances|Arthur|Juvenile literature|King	King Arthur of Britain : from Sir Thomas Malory's Morte d'Arthur	longfiction	reprint
mdp.39015010397001	Murasaki Shikibu	Shikibu, Murasaki		f	jp	978-1016	1976	1537	1976	1.0	1.0	v.1	New York|Alfred A, Knopf|c1976.			The tale of Genji	longfiction	reprint
nyp.33433074926241				u			1814	1600	1814	1.0	1.0	v. 1-2	Chiswick;Press of C. Whittingham;1814-15.			pt	shortfiction	reprint
mdp.39015020740687				u			1948	1600	1948	1.0	1.0		London|Routledge and Paul|1948		Fairy tales	Fairy tales	shortfiction	reprint
mdp.39015068232969	Gidde, Walter			m			1848	1600	1848	1.0	1.0		London;W. Pickering;1848.		Decoration and ornament|Geometrical drawing	A booke of sundry dravghtes	notfiction	reprint
mdp.39015046835966				u			1972	1610	1972	2.0	2.0	v.4	London|Routledge & K. Paul|1972			The Golden Lotus; a translation, from the Chinese original, of the novel Chin Pʻing Mei	longfiction	reprint
mdp.39015018053242	Ashley, Robert Paul			u		1915-	1953	1650	1953	2.0	2.0		New York|Rinehart|1953		Early modern, 1500-1700|English fiction	Elizabethan fiction	shortfiction	reprint
njp.32101073253682				u			1802	1700	1802	1.0	1.0	v.2	Edinburgh;Printed for the booksellers by Schaw;1802.			Arabian Night's entertainments, consisting of one thousand and one stories, told by the sultaness of the Indies	shortfiction	reprint
uc1.b4020431				u			1923	1700	1923	1.0	1.0	v.16	London|The Casanova Society|1923-		Arabian nights	The book of the thousand nights and one night : rendered  from the literal and complete version of Dr. J. C. Mardrus and collated with other sources	shortfiction	reprint
mdp.39015064793170				u			1900	1700	1900	1.0	1.0	v.7	S.l.;s.n.;Privately printed by the Burton Club;190-?			The book of the thousand nights and a night : a plain and literal translation of the Arabian nights entertainments	shortfiction	reprint
uva.x030284935				u			1901	1700	1901	1.0	1.0	v.2	London;s.n.;1901.			The book of the thousand nights and one night	shortfiction	reprint
njp.32101073253690				u			1802	1700	1802	1.0	1.0	v.1	Edinburgh;Printed for the booksellers by Schaw;1802.			Arabian Night's entertainments, consisting of one thousand and one stories, told by the sultaness of the Indies	shortfiction	reprint
inu.30000121043115				u			1885	1700	1885	1.0	1.0	v.13	Denver, Col.;Burton Club;1885-1888			Plain and literal translation of the Arabian nights entertainments; now entituled the book of the Thousand nights and a night	shortfiction	reprint
uiuo.ark+=13960=t0ns1cv4p	Sedley, Charles			m	uk		1807	1701	1807	1.0	1.0	v.1	London;Printed by D.N. Shury ... for J.F. Hughes ...;1807.			The barouche driver and his wife	longfiction	reprint
uiuo.ark+=13960=t3805qq41	Sedley, Charles			u			1807	1701	1807	1.0	1.0	v.2	London;Hughes;1807.			The infidel mother: or, Three winters in London	longfiction	reprint
uiuo.ark+=13960=t71v64v75	Sedley, Charles			m			1807	1701	1807	1.0	1.0	v.1	London;Hughes;1807.			The infidel mother: or, Three winters in London	longfiction	reprint
mdp.39015078556472				u			1890	1719	1890	1.0	1.0		London;New York;Raphael Tuck & Sons, Co., Ltd.;189-?	Juvenile audience|Juvenile literature|Imaginary voyages	Shipwreck survival|Juvenile literature|Crusoe, Robinson (Fictitious character)|Castaways|Shipwrecks|Juvenile fiction	Robinson Crusoe	longfiction	reprint
mdp.39015070295814	Weber, Henry William			u		1783-1818,	1812	1726	1812	1.0	1.0		Edinburgh;J. Ballantyne and company, S. Doig and A. Stirling; [etc., etc.;1812.		Voyages, Imaginary	Popular romances: consisting of imaginary voyages and travels	longfiction	reprint
uc1.b3037091				u			1821	1748	1821	1.0	1.0	v.2	London;Hurst, Robinson and co.;1821-24			Ballantyne's novelist's library. [With prefatory memoirs by Sir Walter Scott]	longfiction	reprint
nyp.33433074927744	Lennox, Charlotte			f	uk		1820	1752	1820	1.0	1.0	v. 25 (Female Quixote; part 2)	London;s.n.;1820.		English literature	The British novelists; with an essay, and prefaces, biographical and critical	longfiction	reprint
nyp.33433074927751				u			1820	1752	1820	1.0	1.0	v. 24 (Female Quixote; part 1)	London;s.n.;1820.		English literature	The British novelists; with an essay, and prefaces, biographical and critical	longfiction	reprint
uc1.b3037092				u			1821	1753	1821	1.0	1.0	v.3	London;Hurst, Robinson and co.;1821-24			Ballantyne's novelist's library. [With prefatory memoirs by Sir Walter Scott]	longfiction	reprint
