docid	author	realname	pseudonym	gender	nationality	authordate	inferreddate	firstpub	latestcomp	allcopiesofwork	copiesin25yrs	enumcron	imprint	genres	subjects	shorttitle	category	hathiadvent
mdp.39015063561586	Ferrier, Susan	Ferrier, Susan Edmonstone		f	uk	1782-1854.	1818	1818.0	1818	3.0	1.0	v.2	Edinburgh;W. Blackwood and J. Murray;1818.	Bibliographies	English fiction	Marriage, a novel	longfiction	contemporary
uiuo.ark+=13960=t8nc6b618	Neri, Mary Anne	Neri, Mary Anne		f	it		1804	1804.0	1804	1.0	1.0	v.1	London;Printed for T. Cadell and W. Davies by I. Gold;1804.	Novel		The eve of San-Pietro	longfiction	contemporary
uc1.$b473613	Mann, Erika	Mann, Erika		f	de	1905-1969.	1940	1940.0	1940	1.0	1.0		New York|Toronto|Farrar & Rinehart, inc.|c1940		Social life and customs	The lights go down	longfiction	contemporary
nyp.33433074931597	Forrester, Charles Robert	Forrester, Charles Robert	Crowquill, Alfred; Willis, Hal	m	uk	1803-1850.	1843	1843.0	1843	1.0	1.0	v. 2	London;R. Bentley;1843.			Phantasmagoria of fun	juvenile	contemporary
loc.ark+=13960=t08w4945p	Humpty Dumpty. [from old catalog]			u	us		1876	1876.0	1876	1.0	1.0		Memphis, Tenn.;W.L. Surprise, publisher;1876.			The winning o't!	shortfiction	contemporary
dul1.ark+=13960=t89g6ct7k	Edgeworth, Maria			f	uk	1767-1849.	1805	1804.0	1805	2.0	2.0		London;J. Johnson;1805.			The modern Griselda	longfiction	contemporary
mdp.39015062378909	Stork, Charles Wharton (trans.)			m	us	1881-1971	1923	1923.0	1923	1.0	1.0		New York|Dutton|c1923.	Short stories	Short stories, Swedish|Short stories, English|Translations into English|Translations from Swedish	Modern Swedish masterpieces : short stories	shortfiction	contemporary
uc2.ark+=13960=t45q53b1s	Knighton, W	Knighton, William		m	uk	d. 1900	1854	1854.0	1854	1.5	1.5	v.1	London;Hurst and Blackett;1854.		Description and travel|Sri Lanka	Forest life in Ceylon	notfiction	contemporary
dul1.ark+=13960=t4vh67297	Grafigny	Graffigny, Mme de (Françoise d'Issembourg d'Happoncourt)		f	fr	1695-1758	1802	1802.0	1802	1.0	1.0	v.2	Paris;printed for Durand Bookseller;1802.		Utopias	Letters of a Peruvian princess	longfiction	contemporary
mdp.39015061469139	Candelaria, Nash			m	us	(1928)-	1977	1977.0	1977	2.0	2.0		Tempe, AZ|Bilingual Press|1987, c1977.	Novel	Social life and customs|Mexican Americans	Memories of the Alhambra	longfiction	contemporary
nyp.33433081652574	Fraser, James Baillie			m	uk	1783-1856.	1838	1838.0	1838	1.0	1.0	v.1	London;R. Bentley;1838.		Prices|Social life and customs|Description and travel	Narrative of the residence of the Persian princes in London, in 1835 and 1836. With an account of their journey from Persia, and subsequent adventures	notfiction	contemporary
uc1.$b301045	Kent, Louise Andrews			f	us	1886-1969.	1945	1945.0	1945	1.0	1.0		Boston|Houghton Mifflin|c1945			Country mouse	longfiction	contemporary
nyp.33433074861935	Hume, Fergus			m	uk	1859-1932.	1908	1908.0	1908	1.0	1.0		New York;Dodge publishing company;c1908			The red skull	longfiction	contemporary
nyp.33433074856836	Gibbon, Muriel Morgan			f	uk		1921	1921.0	1921	1.0	1.0		Garden City, N.Y.;Toronto;Doubleday, Page & Company;1921.			The alternative	longfiction	contemporary
pst.000005752546	Stewart, Elizabeth Grey			f	us	1914-	1961	1961.0	1961	1.0	1.0		New York|Putnam|1961].			Young man of the year : a novel	longfiction	contemporary
uc1.$b248787	Eggleston, Edward			m	us	1837-1902.	1872	1870.0	1870	2.0	2.0		Chicago [Ill.;Adams, Blackmer, & Lyon Publishing Co.;1872.		Christmas stories	Mr. Blake's walking stick	juvenile	contemporary
mdp.39015060836171	Escandón, María Amparo			f	me	b. 1957	2005	2005.0	2005	1.0	1.0		New York|Three Rivers Press|c2005.	Domestic fiction|Novel|Psychological fiction	Women prisoners|Trucking|Fathers and daughters	González and Daughter Trucking Co. : a road novel with literary license	longfiction	contemporary
uc1.$b101946	Hedden, Worth Tuttle			f	us	1918-1985	1952	1952.0	1952	2.0	2.0		New York|Crown Publishers|1952			Love is a wound	longfiction	contemporary
mdp.39015033493647	Simenon, Georges			m	be	1903-1989.	1977	1967.0	1967	1.0	1.0		New York|Harcourt Brace Jovanovich|1977] c1967.			Monsieur Monde vanishes	longfiction	contemporary
nyp.33433076025943	Smith, John Hyatt			m	us	1824-1886.	1874	1874.0	1874	1.0	1.0		Brooklyn;D. S. Holmes;1874.		American fiction	The open door; or, Light and liberty	longfiction	contemporary
pst.000014560620	Joseph, Mark			m	us	b. 1946	1986	1986.0	1986	1.0	1.0		New York|D.I. Fine|c1986.			To kill the Potemkin : a novel	longfiction	contemporary
mdp.39015048717071	Conrad, Joseph			m	uk	1857-1924.	1920	1920.0	1920	1.0	1.0		New York;E. P. Dutton and company; [etc., etc.;1920			Youth and Gaspar Ruiz	longfiction	contemporary
uc2.ark+=13960=t21c1v37w	Sidney, Margaret	Lothrop, Harriet Mulford Stone	Sidney, Margaret	f	us	1844-1924.	1916	1916.0	1916	1.0	1.0		Boston;Lothrop, Lee & Shepard co.;1916			Our Davie Pepper	juvenile	contemporary
nyp.33433074866561	Kinross, Albert			m	uk	1870-1929.	1908	1908.0	1908	1.0	1.0		New York;Macmillan;1908.			Joan of Garioch	longfiction	contemporary
pst.000005733071	Grahame, Arthur W			m	us		1967	1967.0	1967	1.0	1.0		Philadelphia|Dorrance|1967].			Rabbitfoot	longfiction	contemporary
nyp.33433074793831	Corbin, John			m	us	1870-1959.	1907	1907.0	1907	2.0	2.0		New York;D. Appleton and company;1907.			The cave man	longfiction	contemporary
nyp.33433082303151	Franklin, Josephine			f	us		1865	1865.0	1865	1.0	1.0		Boston;Taggard and Thompson;1865.	Juvenile audience		Martin and the miller	juvenile	contemporary
uiuo.ark+=13960=t75t4866z	Roche, Regina Maria			f	uk	1764-1845.	1824	1824.0	1824	1.0	1.0	v.4	London;Printed for A. K. Newman and Co.;1824.			The tradition of the castle;	longfiction	contemporary
nyp.33433074862305	Cambridge, William G			m	us		1853	1853.0	1853	1.0	1.0		Boston;Abel Tompkins and B. B. Mussey;1853.			Henri : or, the web and woof of life	longfiction	contemporary
uiuo.ark+=13960=t44q88r9x	Gore	Gore, Catherine Grace Frances		f	uk	1798-1861	1838	1838.0	1838	1.0	1.0	v.3	London;H. Colburn;1838.			The heir of Selwood, or, Three epochs of a life	longfiction	contemporary
mdp.39015001153629	Christie, Agatha			f	us	1890-1976.	1933	1933.0	1933	1.0	1.0		New York|Dodd, Mead & company|1933.			Thirteen at dinner	longfiction	contemporary
coo.31924064998069	White, Percy			m	uk	1852-1938.	1905	1905.0	1905	1.0	1.0	v.2	Leipzig;B. Tauchnitz;1905.			The system	longfiction	contemporary
uc2.ark+=13960=t4nk38459	Pitt, William			m	uk	1708-1778	1804	1804.0	1804	2.0	2.0		London;Printed for T. Payne ... by T. Bensley;1804.		Pitt, William|Camelford, Thomas Pitt|Earl of Chatham|Baron|Correspondence|1708-1778|1737-1793	Letters written by the late Earl of Chatham to his nephew, Thomas Pitt, esq	notfiction	contemporary
dul1.ark+=13960=t9g45ch9h	Godfrey, Hollis			m	us	1874-1936	1908	1908.0	1908	2.0	2.0		Boston;Little, Brown & Company;1908.			The man who ended war;	longfiction	contemporary
uc1.$b555827	Trenker, Luis			m		1892-1990	1934	1933.0	1934	1.0	1.0		New York|E. P. Dutton and company|1934.		Mountaineering	Brothers of the snow	notfiction	contemporary
uc2.ark+=13960=t4rj4ck98				u			1846	1846.0	1846	3.0	3.0		New York;Stanford and Swords;1846.			Recantation	longfiction	contemporary
uc1.$b3181	Branson, Helen Kitchen			f	us	1916-2006	1947	1947.0	1947	1.0	1.0		Pasadena, Calif.|M.S. Sen|c1947		Race relations|1905-|Griffin, Edna La Flore	Let there be life: a contemporary account of Edna L. Griffin, M.D	notfiction	contemporary
