docid	oldauthor	author	authordate	inferreddate	latestcomp	datetype	startdate	enddate	imprint	imprintdate	contents	genres	subjects	geographics	locnum	oclc	place	recordid	instances	allcopiesofwork	copiesin25yrs	enumcron	volnum	title	parttitle	earlyedition	shorttitle	nonficprob	juvenileprob
uiuo.ark+=13960=t8nc69j1b	Cuthbertson, Catherine	Cuthbertson, Catherine		1803	1803	s	1803	    	London;Printed for G. and J. Robinson;1803.	1803		Fiction	English fiction			6715920.0	enk	8690976	2	3.0	3.0	v.3	3.0	Romance of the Pyrenees		True	Romance of the Pyrenees	0.07006869659535607	0.3458440671585468
nyp.33433074951629	Cuthbertson, Catherine	Cuthbertson, Catherine		1803	1803	s	1803	    	London;Printed for G. and J. Robinson;1803.	1803		Fiction	English fiction			6715920.0	enk	8690976	2	3.0	3.0	v. 4	4.0	Romance of the Pyrenees ...		True	Romance of the Pyrenees	0.10963320863644684	0.09971463949816588
dul1.ark+=13960=t6737pj6n	Berquin	Berquin		1804	1804	s	1804	    	New-York;Printed for S. Campbell, E. Duyckinck [etc.] L. Nichols, Printer;1804.	1804			Van Boskerck, William Webb|Children's stories, French|Juvenile fiction|Conduct of life|Baker, Julia Ann M|Provenance			13572242.0	nyu	10942309	1	4.0	3.0			The looking-glass for the mind; or, Intellectual mirror		True	The looking-glass for the mind; or, Intellectual mirror	0.0	1.0
uc1.$b316136	Zschokke, Heinrich	Zschokke, Heinrich	1771-1848.	1805	1805	s	1805	    	London;Hughes;1805.	1805						21391899.0	enk	6543841	3	3.0	3.0			The Bravo of Venice;		True	The Bravo of Venice;	0.19333569971410788	0.031236848621883792
nyp.33433082456462	Semple, Robert	Semple, Robert	1766-1816.	1805	1805	 	1805	    	London;Printed by and for C. and R. Baldwin;1805.	1805	2nd ed., enlarged.	UnknownGenre				35070030.0	enk	7672580	3	3.0	3.0			Walks and sketches at the Cape of Good Hope to which is subjoined  a journey from Cape Town to Blettenberg's Bay / | $c: by Robert Semple.		True	Walks and sketches at the Cape of Good Hope to which is subjoined  a journey from Cape Town to Blettenberg's Bay	0.8965225303165499	0.6375233228171089
hvd.hn21hk	Porter, Jane	Porter, Jane	1776-1850.	1805	1805	s	1805	    	London;Printed for Longman, Hurst, Rees, and Orme;1805.	1805	3rd ed.	Fiction|NotFiction	Stanislaus II Augustus, 1764-1795|History|English fiction|Fiction|Poland	Poland		13656348.0	enk	9713669	1	10.0	3.0	v.1	1.0	Thaddeus of Warsaw / | $c: by Miss Porter.		True	Thaddeus of Warsaw	0.10964949023740314	0.0382230367177151
hvd.hn21hl	Porter, Jane	Porter, Jane	1776-1850.	1805	1805	s	1805	    	London;Printed for Longman, Hurst, Rees, and Orme;1805.	1805	3rd ed.	Fiction|NotFiction	Stanislaus II Augustus, 1764-1795|History|English fiction|Fiction|Poland	Poland		13656348.0	enk	9713669	1	10.0	3.0	v.2	2.0	Thaddeus of Warsaw / | $c: by Miss Porter.		True	Thaddeus of Warsaw	0.07277422630520293	0.07194893289634134
hvd.hn21hm	Porter, Jane	Porter, Jane	1776-1850.	1805	1805	s	1805	    	London;Printed for Longman, Hurst, Rees, and Orme;1805.	1805	3rd ed.	Fiction|NotFiction	Stanislaus II Augustus, 1764-1795|History|English fiction|Fiction|Poland	Poland		13656348.0	enk	9713669	1	10.0	3.0	v.3	3.0	Thaddeus of Warsaw / | $c: by Miss Porter.		True	Thaddeus of Warsaw	0.1166019174530554	0.02578416348765055
hvd.hn21hn	Porter, Jane	Porter, Jane	1776-1850.	1805	1805	s	1805	    	London;Printed for Longman, Hurst, Rees, and Orme;1805.	1805	3rd ed.	Fiction|NotFiction	Stanislaus II Augustus, 1764-1795|History|English fiction|Fiction|Poland	Poland		13656348.0	enk	9713669	1	10.0	3.0	v.4	4.0	Thaddeus of Warsaw / | $c: by Miss Porter.		True	Thaddeus of Warsaw	0.14190498300412724	0.01289494676959628
mdp.39015078572479	Campe, Joachim Heinrich	Campe, Joachim Heinrich	1746-1818.	1806	1806	s	1806	    	London;Printed for G. Robinson, and Rotterdam, for J. Hendriksen and C.v.d. Dries & son;1806?	1806		UnknownGenre	Voyages, Imaginary			67413118.0	enk	1420488	1	4.0	3.0			The history of Robinson Crusoe, | abridged, divided into lessons, in order to be read and translated by young beginners; with an explication of words and pharses [1] contained in every lesson.		True	The history of Robinson Crusoe, abridged, divided into lessons, in order to be read and translated by young beginners; with an explication of words and pharses [1] contained in every lesson	0.4672776399135311	0.8126046764674529
uiuo.ark+=13960=t9x06cv0p	Burney, Sarah Harriet	Burney, Sarah Harriet	1772-1844.	1808	1808	s	1808	    	London;Printed for G. Wilkie and J. Robinson;1808.	1808		NotFiction				11715312.0	enk	8719963	2	3.0	3.0	v.1	1.0	Geraldine Fauconberg		True	Geraldine Fauconberg	0.0	0.0
njp.32101069165098	Burney, Sarah Harriet	Burney, Sarah Harriet	1772-1844.	1808	1808	s	1808	    	London;Printed for G. Wilkie and J. Robinson;1808.	1808		NotFiction				11715312.0	enk	8719963	2	3.0	3.0	vol. 2	2.0	Geraldine Fauconberg. | $c: By the author of Clarentine. | $n: 1		True	Geraldine Fauconberg	0.0	0.0
uiuo.ark+=13960=t8df71j7t	Burney, Sarah Harriet	Burney, Sarah Harriet	1772-1844.	1808	1808	s	1808	    	London;Printed for G. Wilkie and J. Robinson;1808.	1808		NotFiction				11715312.0	enk	8719963	2	3.0	3.0	v.3	3.0	Geraldine Fauconberg		True	Geraldine Fauconberg	0.062459951392442835	0.04058399625940772
njp.32101067634392	Hamilton, Elizabeth	Hamilton, Elizabeth	1756?-1816.	1808	1808	s	1808	    	Edinburgh;Printed by James Ballantyne and Co. for Manners and Miller;1808.	1808	3d ed.	Fiction|NotFiction				3036754.0	stk	8961456	1	6.0	3.0			The cottagers of Glenburnie : | a tale for the farmer's ingle-nook / | $c: by Elizabeth Hamilton.		True	The cottagers of Glenburnie : a tale for the farmer's ingle-nook	0.16490515979895612	0.3721751204887481
