docid	oldauthor	author	authordate	inferreddate	latestcomp	datetype	startdate	enddate	imprint	imprintdate	contents	genres	subjects	geographics	locnum	oclc	place	recordid	instances	allcopiesofwork	copiesin25yrs	enumcron	volnum	title	parttitle	earlyedition	shorttitle	nonficprob	juvenileprob
uc1.$b248232				1804	1804	s	1804	    	London;Printed and Published by A. Neil;1804.	1804			Chapbooks			6617504.0	enk	6501222	2	2.0	2.0			The affecting history of Louisa		True	The affecting history of Louisa	0.0	0.0
uc2.ark+=13960=t3gx4dk9q	Harley, George Davies	Harley, George Davies	-1811	1804	1804	s	1804	    	Liverpool;J. M'Creery;1804.	1804			Montford, Charles			10201256.0	enk	7915238	2	2.0	2.0			Circumstances respecting the late Charles Montford, esq		True	Circumstances respecting the late Charles Montford, esq	0.0	0.0
uiuo.ark+=13960=t06x01570	Whitfield, Henry	Whitfield, Henry	1776-1816.	1804	1804	s	1804	    	London;S. Highley;1804.	1804						13344696.0	enk	7927957	2	2.0	2.0	v.1	1.0	A picture from life: or, The history of Emma Tankerville and Sir Henry Moreton		True	A picture from life: or, The history of Emma Tankerville and Sir Henry Moreton	0.2190588067694943	0.02790444565291242
uiuo.ark+=13960=t79s2dz6m	Whitfield, Henry	Whitfield, Henry	1776-1816.	1804	1804	s	1804	    	London;S. Highley;1804.	1804						13344696.0	enk	7927957	2	2.0	2.0	v.2	2.0	A picture from life: or, The history of Emma Tankerville and Sir Henry Moreton		True	A picture from life: or, The history of Emma Tankerville and Sir Henry Moreton	0.2412343176717213	0.0972550404883956
hvd.hwspyj	Zschokke, Heinrich	Zschokke, Heinrich	1771-1848.	1805	1805	s	1805	    	London;Printed by D.N. Shury, for J.F. Hughes;1805.	1805		Fiction|UnknownGenre				7129916.0	enk	1422754	1	3.0	2.0			The bravo of Venice, | a romance: | $c: translated from the German by M. G. Lewis ...		True	The bravo of Venice, a romance:	0.0	0.0
nyp.33433074878988	Lucas, William	Lucas, William	fl. 1809.	1805	1805	 	1805	    	London;J. Cundee, Williams and Smith, Suttaby, and Chapple;1805.	1805		England|Fiction|Publishers' advertisements	Dueling in literature			19941673.0	enk	7701185	2	2.0	2.0			The duellists; or, Men of honour: | a story; calculated to shew the folly, extravagance, and sin of duelling. | $c: By William Lucas ...		True	The duellists; or, Men of honour: a story; calculated to shew the folly, extravagance, and sin of duelling	0.205651731502738	0.08170694017034556
dul1.ark+=13960=t89g6ct7k	Edgeworth, Maria	Edgeworth, Maria	1767-1849.	1805	1805	s	1805	    	London;J. Johnson;1805.	1805		NotFiction				2795881.0	enk	8885168	1	2.0	2.0			The modern Griselda		True	The modern Griselda	0.0	0.0
uc2.ark+=13960=t3pv6bn87	Wheatley, Sarah	Wheatley, Sarah		1806	1806	s	1806	    	London;Longman, Hurst, Rees, and Orme;1806.	1806			Juvenile literature|Conduct of life			6800193.0	enk	7676708	2	2.0	2.0			The Christmas fire-side		True	The Christmas fire-side	1.0	0.0
uc1.$b255842				1806	1806	s	1806	    	London;Albion Press ; printed by and for J. Cundee and M. Jones;1806.	1806						22261393.0	enk	8009431	2	2.0	2.0			The stranger		True	The stranger	0.2090610873689303	0.2245110881725988
uc1.$b156235	Heron, Robert	Heron, Robert		1807	1807	s	1807	    	London;Printed for Oddy and Co.;1807.	1807						7968455.0	enk	6634704	2	2.0	2.0			The comforts of human life;		True	The comforts of human life;	0.6529550332041519	0.021782613994820992
mdp.39015073763644	Knight, Ellis Cornelia	Knight, Ellis Cornelia	1757-1837.	1808	1808	s	1808	    	London;Printed by J. M'Creery for T. Cadell and W. Davies;1808.	1808		Fiction	History|English fiction|Empire, 30 B.C.-284 A.D|Fiction|Fiction|History	Rome		22414856.0	enk	652543	1	2.0	2.0	v.1	1.0	Marcus Flaminius; | or A view of the military, political, and social life of the Romans: in a series of letters from a patrician to his friend ... | $c: By E. Cornelia Knight.		True	Marcus Flaminius; or A view of the military, political, and social life of the Romans: in a series of letters from a patrician to his friend	0.694003710921572	0.10633074437695683
mdp.39015073763651	Knight, Ellis Cornelia	Knight, Ellis Cornelia	1757-1837.	1808	1808	s	1808	    	London;Printed by J. M'Creery for T. Cadell and W. Davies;1808.	1808		Fiction	History|English fiction|Empire, 30 B.C.-284 A.D|Fiction|Fiction|History	Rome		22414856.0	enk	652543	1	2.0	2.0	v.2	2.0	Marcus Flaminius; | or A view of the military, political, and social life of the Romans: in a series of letters from a patrician to his friend ... | $c: By E. Cornelia Knight.		True	Marcus Flaminius; or A view of the military, political, and social life of the Romans: in a series of letters from a patrician to his friend	0.8230119443021665	0.10584546710087044
uc1.b3321305	Beresford, James	Beresford, James	1764-1840.	1808	1808	s	1808	    	London;Printed by Townsend, for Williams & Smith;1808.	1808	4th ed.	NotFiction				43566488.0	enk	7914895	2	2.0	2.0			An antidote to the miseries of human life : | in the History of the widow Placid and her daughter Rachael / | $c: [Mr. Beresford.]		True	An antidote to the miseries of human life : in the History of the widow Placid and her daughter Rachael	0.11831846338438913	0.07894538172551356
uiuo.ark+=13960=t4hm5mv1s	Green, Sarah	Green, Sarah	ca. 1763-1808.	1808	1808	s	1808	    	London;Printed for the author and sold by B. Crosby & Co.;1808.	1808		NotFiction	Court and courtiers|Great Britain|King of England|Edward|IV|1442-1483			12963249.0	enk	8617347	2	2.0	2.0	v.1	1.0	The private history of the court of England		True	The private history of the court of England	0.2647757487200288	0.10240530469322706
nyp.33433071364917	Green, Sarah	Green, Sarah	ca. 1763-1808.	1808	1808	s	1808	    	London;Printed for the author and sold by B. Crosby & Co.;1808.	1808		NotFiction	Court and courtiers|Great Britain|Edward|King of England|IV|1442-1483	Great Britain		12963249.0	enk	8617347	2	2.0	2.0	v. 2	2.0	The private history of the court of England.		True	The private history of the court of England	0.2761511390950313	0.02985654606156763
