docid	allwords	stanfordwords
mdp.49015000838012	18873	1928
mdp.39015063561586	48378	1618
uiuo.ark+=13960=t8nc6b618	39406	1150
uc1.$b473613	71915	4255
nyp.33433074931597	60055	2437
uc2.ark+=13960=t5h99230h	264554	12309
mdp.39015030126505	103968	4440
loc.ark+=13960=t08w4945p	2636	137
dul1.ark+=13960=t89g6ct7k	23333	659
mdp.39015062378909	57061	4873
uc2.ark+=13960=t45q53b1s	99270	4288
dul1.ark+=13960=t4vh67297	68133	784
uc2.ark+=13960=t0pr7sq62	210061	9609
mdp.39015061469139	68544	5057
uc1.$b746092	101607	9198
nyp.33433074855069	71018	4651
nyp.33433081652574	64444	2683
uc1.$b301045	76072	5235
nyp.33433074861935	85267	5639
nyp.33433074856836	68600	4452
pst.000005752546	119875	7968
uc1.32106009522654	139681	8130
pst.000045753022	341860	28259
uc1.$b248787	9473	708
mdp.39015060836171	74640	5609
uc1.$b101946	204296	17135
mdp.39015033493647	41381	3541
nyp.33433081963146	52728	3640
nyp.33433076025943	65505	2588
mdp.39015059774052	43882	3179
pst.000014560620	76090	6196
mdp.39015048717071	41906	2737
nyp.33433074928775	66982	4393
uc2.ark+=13960=t21c1v37w	94077	10735
nyp.33433074866561	97932	5334
nyp.33433074927744	79994	2115
pst.000005733071	74390	6971
nyp.33433074793831	81045	4481
nyp.33433082303151	23637	1494
inu.30000007708815	203397	11134
uiuo.ark+=13960=t75t4866z	57415	1697
nyp.33433074862305	97941	4092
uc2.ark+=13960=t1ng4h02g	80963	3892
uiuo.ark+=13960=t44q88r9x	55558	1486
mdp.39015001153629	67545	4121
coo.31924064998069	49212	2064
uc2.ark+=13960=t4nk38459	12909	243
uc2.ark+=13960=t3dz04t88	50684	2812
dul1.ark+=13960=t9g45ch9h	72533	6049
mdp.39015042099278	78178	5798
hvd.hnn97y	71939	3128
uiuo.ark+=13960=t7br98r5d	48384	1408
uc1.$b555827	59049	5122
uc2.ark+=13960=t4rj4ck98	51920	1723
uc1.$b3181	56114	3686
mdp.39015063587474	53600	2495
uc2.ark+=13960=t8mc8ss07	45668	1925
nyp.33433074852835	78418	3410
uc1.$b662534	138206	8614
uc2.ark+=13960=t74t6gp9m	50683	2754
mdp.39015028917659	39189	2107
mdp.39015028435223	105623	9027
pst.000006161873	44944	3682
uc1.b4449524	110626	10272
uiuo.ark+=13960=t9j393d7p	77934	2311
uiuo.ark+=13960=t1ng57g58	57047	2913
uiuo.ark+=13960=t7zk5z02q	25306	938
mdp.39015012190651	70591	3715
pst.000004786689	71908	6700
uc2.ark+=13960=t4bp02s9c	175160	9700
nyp.33433076073646	87410	4788
mdp.39015000512742	41586	2496
uc2.ark+=13960=t7xk8n82d	280904	11802
mdp.39015061866318	52339	4712
inu.39000003642282	29532	1765
mdp.39015059119886	96990	8739
pst.000005455102	42077	2561
mdp.39015049744967	157661	12943
uiuo.ark+=13960=t3bz6v35r	54866	1959
uiuo.ark+=13960=t0qr5fj5r	43303	1608
mdp.39015018520398	103961	9454
uc2.ark+=13960=t9f47hm13	137793	7490
mdp.39015001610354	60553	4408
mdp.39015060075960	41274	2983
uc2.ark+=13960=t6qz22x3r	108435	4933
njp.32101066457449	32979	1458
uc1.b3741192	82274	3708
uc1.32106018712015	121790	13111
mdp.39015066783013	28501	1907
inu.32000009648280	24304	993
mdp.39015065707187	107067	9510
uc1.b3626218	48692	1943
uc2.ark+=13960=t51g0v51c	111652	6371
mdp.39015014541265	63468	5080
mdp.39015048891959	239531	19508
mdp.39015056512109	72163	5991
uiuo.ark+=13960=t04x5pc89	45913	991
uc1.$b155513	59561	4009
mdp.39015064003018	211418	7082
uc2.ark+=13960=t0sq8zn5q	104719	5794
uiuo.ark+=13960=t67375c09	51615	1798
inu.30000052999335	29758	1785
uc1.$b103842	121838	8304
inu.39000000277678	38565	2762
nnc1.0036685208	51921	1659
loc.ark+=13960=t2d805x4x	8223	575
uc2.ark+=13960=t7dr2sh01	101955	6252
mdp.39015018053242	161892	6634
nyp.33433068250780	11384	668
pst.000021382758	180713	11736
mdp.39015048712163	48551	4062
mdp.39015063918133	76077	4819
mdp.39015055883816	121564	9862
uiuo.ark+=13960=t5j96f67z	59395	1394
mdp.39015065769393	33857	767
uc2.ark+=13960=t9862cj28	55056	2151
uc2.ark+=13960=t31261n0t	137362	8068
umn.31951002102922y	60463	4193
njp.32101068163615	55789	1793
mdp.39015010397001	220259	9883
uc2.ark+=13960=t1sf2qf1f	53343	3719
nyp.33433074929476	93703	4459
wu.89098877509	115975	5316
uc2.ark+=13960=t40r9t540	186493	7283
nyp.33433087358515	87922	2307
uc1.32106011486914	115430	8035
uc1.32106001693115	80704	7373
uva.x001850551	51549	3101
nyp.33433076059850	73157	4668
nyp.33433074920962	7696	560
mdp.39015035016099	18712	1008
uiuo.ark+=13960=t2x354s13	75126	3264
uc1.b3037092	686404	22991
uc1.b3336986	138968	7780
nyp.33433076079304	82437	3729
mdp.39015035319808	202315	11572
nyp.33433000572291	64969	3095
uc1.$b111806	104036	6853
uc1.$b104884	112030	9074
nyp.33433076086028	56925	3117
mdp.39015058084958	104973	10290
mdp.39015056909438	72631	4754
uc1.$b28759	25376	1387
mdp.39015002203357	66969	5291
nyp.33433067303812	37390	1637
mdp.39015024079116	43530	2556
nyp.33433074870647	104895	5771
uc2.ark+=13960=t6j100k2b	75662	1996
uc2.ark+=13960=t1hh6mf0f	102722	3901
njp.32101068162740	117599	6335
mdp.39015019429110	93210	10770
uc2.ark+=13960=t46q29319	98273	4742
mdp.39015078783464	76089	5962
uiuo.ark+=13960=t3st83j7v	58021	2439
inu.30000081189692	19260	1216
mdp.39015062686400	49478	1096
uc1.$b116512	101669	7678
hvd.hwadvd	100261	3724
njp.32101072911082	73853	217
mdp.39015063963261	69864	4949
nyp.33433082346044	47625	3491
pst.000005412082	99932	7179
uc1.$b115288	127923	7644
uva.x030802569	5295	487
mdp.39015010950544	60027	2021
uc1.$b254220	40152	1229
njp.32101079836282	9918	594
njp.32101067627867	40966	1792
hvd.rslysq	108738	2313
inu.32000000646036	153958	211
mdp.39015063268497	50160	3386
inu.32000002882670	221360	11290
uc1.$b242644	94745	5312
mdp.39015016424148	35469	865
uc1.b4360963	120257	9885
uiuo.ark+=13960=t7hq4g562	30249	1056
uc1.b4105203	48155	2745
mdp.39015047872398	82304	5017
mdp.39015057087648	67355	5319
hvd.hnnzl8	503200	25539
uiuo.ark+=13960=t7qn6pk7b	57952	1706
uiuo.ark+=13960=t10p1rt7k	45240	1032
uc1.b4463842	59036	4109
nnc1.1002272601	64835	2931
uc2.ark+=13960=t2d796f7k	28742	1429
hvd.32044004973814	85486	5565
uc1.$b358650	300269	10317
uc1.31158001441749	58154	1930
uc2.ark+=13960=t1rf5nw94	50685	1690
uiuo.ark+=13960=t9h427g45	61876	5967
njp.32101068142791	15681	830
nyp.33433082285945	49923	3454
osu.32435055406557	55169	4759
osu.32435004561866	107628	5224
inu.39000001424931	42606	2802
uc1.$b521788	45853	3078
nyp.33433074871793	73478	3062
nyp.33433006216364	142458	9726
osu.32435069549608	155237	9663
mdp.49015002138023	99846	5289
nyp.33433074930110	111573	5744
pst.000005739998	94870	5926
nyp.33433074824370	71809	3304
uc1.b3711256	90226	6864
mdp.39015030709128	131532	8944
uc1.b3548053	158149	10745
nyp.33433082361951	83214	5595
mdp.39015031311270	68919	3995
uc1.$b86997	167668	10914
mdp.39015059376718	92267	6686
mdp.39015022638202	97	0
uiuo.ark+=13960=t73v05w2z	62430	2595
nyp.33433075786222	66321	5376
yale.39002009846560	22831	1191
inu.30000010414385	8628	654
mdp.39015005003499	71525	5559
uiuo.ark+=13960=t3qv3sr65	49256	940
uc1.b4392661	131150	6616
uc1.$b56745	108785	5566
uc1.$b404102	96541	8742
mdp.39015040571328	97655	6932
mdp.39015077145541	100654	8765
mdp.39015018519523	22804	2252
uc1.$b287480	19347	468
mdp.39015028390121	108161	3613
uiuo.ark+=13960=t2b85x205	33381	1091
uc1.$b323021	77847	7673
uiuo.ark+=13960=t6rx9x944	58349	3206
nyp.33433066655733	215354	9414
mdp.39015059423064	30603	1577
uc1.b4104109	156276	5848
mdp.39015014538360	23560	1213
uiuo.ark+=13960=t58d0m350	60561	1995
uiuo.ark+=13960=t46q2jv9x	40052	2074
mdp.39015025280705	167926	14876
uiuo.ark+=13960=t54f2dt68	84508	4578
uiuo.ark+=13960=t5k93g516	75012	2149
uc1.b3295282	57552	5518
hvd.hxkelx	61806	1536
inu.30000107396149	16812	1203
mdp.39015059404007	250452	12957
uc2.ark+=13960=t4pk09h5t	177592	11747
uiuo.ark+=13960=t56d67620	90101	1279
njp.32101068176690	48896	1549
hvd.hwjw3g	56633	2022
mdp.39015028917642	46893	2278
uc2.ark+=13960=t37082q9d	41229	2278
hvd.hwiwh6	163406	5662
uc1.b4439362	1725	126
uiuo.ark+=13960=t5q81zv8g	55391	2067
mdp.39015016414438	130163	6244
uiuo.ark+=13960=t2z32gn5j	46031	971
uiuo.ark+=13960=t8df7873r	59633	2371
nyp.33433082297213	20580	990
nyp.33433074859947	20729	805
njp.32101066381979	95689	4418
uiuo.ark+=13960=t80k2nk22	82464	2732
uc1.b4104441	139927	6570
uva.x030788126	54396	2580
mdp.39015027551335	55434	4351
uiuo.ark+=13960=t1bk20n9n	60982	1489
dul1.ark+=13960=t3126tf0n	72203	3181
nyp.33433074870720	51728	4552
mdp.39015014398153	178610	8321
osu.32435066780131	54610	4294
nnc1.1002220156	167494	8774
nyp.33433069339749	83762	121
mdp.39015050558405	85206	4536
uc1.31158005355168	58886	3675
uiuo.ark+=13960=t08w42q2z	49010	1875
mdp.39015051353996	35568	2138
nyp.33433081938411	57610	2741
coo.31924013535061	68795	2788
nyp.33433076029788	63511	2662
mdp.39015063544467	117357	8978
uc1.$b137477	53839	5529
njp.32101067632651	122561	3942
mdp.39015073749023	111508	3288
mdp.39015055478666	89011	7993
mdp.39015004847714	118589	4435
njp.32101066597434	54635	3235
uc1.32106001624003	100890	6222
nyp.33433076022254	147465	7825
nyp.33433074814975	5632	364
njp.32101038171995	15908	388
uc1.b2832376	128737	9937
mdp.39015057013693	43118	2900
uc1.$b56572	244135	20580
njp.32101075727980	81860	1592
uiuo.ark+=13960=t1vd7jt2z	47307	1030
loc.ark+=13960=t3jw97s1n	26055	1037
mdp.39015072819769	86384	4104
mdp.39015063933249	88740	6334
wu.89098017973	66252	3967
uc2.ark+=13960=t12n5208t	87017	4176
nyp.33433074865290	24049	651
njp.32101068163326	117957	4630
hvd.32044080933450	79701	2386
mdp.39015000550791	92856	4749
nyp.33433074927751	70432	1860
uiuo.ark+=13960=t2b85z60c	46457	1500
wu.89087921466	54780	2660
nyp.33433082284526	64825	3203
nyp.33433074855184	60596	2475
uc2.ark+=13960=t2g739p3c	68524	4956
uiuo.ark+=13960=t63495d32	65657	2919
mdp.39015040642939	59693	4081
mdp.39015051324393	55146	5020
njp.32101067640787	54157	1727
hvd.32044009812777	25851	1516
nyp.33433069247322	19719	795
uc1.$b63766	134925	12699
inu.30000107494209	67033	4855
mdp.39015005422327	313690	19902
uc2.ark+=13960=t3707zj06	134199	5257
njp.32101067630648	52555	2004
uc1.$b470336	69357	5427
uc2.ark+=13960=t47p90s15	53132	1366
uiuo.ark+=13960=t8bg39w1x	39263	1165
inu.30000077060451	21083	939
uva.x000099740	63720	1606
pst.000020798543	106771	8139
uc2.ark+=13960=t1ng4gw8m	88667	6219
loc.ark+=13960=t0js9z72s	124118	8225
nyp.33433076045248	101206	6489
uiuo.ark+=13960=t66403x8w	47803	1416
