docid	allwords	stanfordwords
uiuo.ark+=13960=t8nc6b618	39406	1150
dul1.ark+=13960=t89g6ct7k	23333	659
dul1.ark+=13960=t4vh67297	68133	784
uiuo.ark+=13960=t2z32gn5j	46031	971
uva.x000099740	63720	1606
nyp.33433074911581	51929	972
njp.32101066459445	25379	585
uiuo.ark+=13960=t70v93r77	43572	1238
uiuo.ark+=13960=t6xw4rw1j	56867	1578
uiuo.ark+=13960=t3xs6cp6m	26485	716
mdp.39015063992492	58476	1500
uiuo.ark+=13960=t7np2rz8s	38521	861
nyp.33433074857875	77466	1829
mdp.39015063944352	55799	1372
uiuo.ark+=13960=t4qj7s022	36230	1177
nyp.33433074911557	53479	1292
nyp.33433075769749	81813	3555
nyp.33433074911573	49011	1098
hvd.32044086799087	117216	3649
uiuo.ark+=13960=t08w42g96	39340	1254
njp.32101037604772	31069	1124
uiuo.ark+=13960=t5h99gq2h	35540	1139
mdp.39015063947199	11258	346
nyp.33433075755250	126360	4928
uiuo.ark+=13960=t4pk1235x	48596	1410
njp.32101068167160	37227	987
uc2.ark+=13960=t3gx4dk9q	55771	1598
nyp.33433074910278	64628	1131
uiuo.ark+=13960=t5q81zv8g	55391	2067
mdp.39015000623663	84359	5781
mdp.39015065769393	33857	767
uiuo.ark+=13960=t2j67qh6b	50565	1211
uiuo.ark+=13960=t76t0xv5n	42347	959
uc2.ark+=13960=t7xk8888r	40966	1504
wu.89001048909	146813	8383
njp.32101068167186	39371	1242
mdp.39015014653201	28608	810
uiuo.ark+=13960=t6vx10k7w	28691	910
hvd.hwp4k1	63164	2817
mdp.39015027528697	38833	1420
njp.32101068163946	51284	1243
mdp.39015063931862	15168	563
uc1.32106007220202	162438	9071
hvd.hn2he5	32427	935
dul1.ark+=13960=t9f48pv82	27290	817
mdp.39015016424148	35469	865
uc1.b4104109	156276	5848
uiuo.ark+=13960=t56d67620	90101	1279
hvd.rsmd2m	141576	3536
mdp.39015016424155	36567	883
hvd.hn2tj4	53971	1706
uiuo.ark+=13960=t0bv7w31r	44862	1477
nyp.33433067303937	121258	3397
uiuo.ark+=13960=t4dn4t070	30108	688
uiuo.ark+=13960=t96692w8z	52000	1867
nnc1.1002268442	75516	1939
hvd.hxgeza	49271	1131
mdp.39015010783788	46682	1563
uiuo.ark+=13960=t1hh6st5v	43437	778
uiuo.ark+=13960=t13n2s72x	57947	1687
nyp.33433074938246	89424	2579
hvd.hwe3l9	44668	1390
nyp.33433075729800	33659	786
uiuo.ark+=13960=t71v65g7n	27564	784
uiuo.ark+=13960=t4bp0pp3k	28747	588
uiuo.ark+=13960=t3st87x1j	32695	645
nyp.33433074951652	40875	1548
uiuo.ark+=13960=t6pz5v56p	27930	1163
uiuo.ark+=13960=t3st83j7v	58021	2439
uc1.b4107900	35690	781
njp.32101038084727	44962	1255
uiuo.ark+=13960=t80k2wc85	54959	1198
njp.32101065863092	27387	964
njp.32101032329045	37880	835
uiuo.ark+=13960=t5v702v0c	26293	754
hvd.hwspyj	35402	1337
uiuo.ark+=13960=t7hq4g562	30249	1056
uiuo.ark+=13960=t8bg39w1x	39263	1165
uiuo.ark+=13960=t39z9w75s	37761	1235
uiuo.ark+=13960=t0jt09d3k	50145	1241
uc1.$b287480	19347	468
uiuo.ark+=13960=t2b85x205	33381	1091
hvd.hwkd81	104393	4010
uiuo.ark+=13960=t16m3wk0n	43895	1394
uiuo.ark+=13960=t5db8pd5f	44175	1339
uiuo.ark+=13960=t3417b08v	43205	1546
njp.32101065863100	22503	659
uiuo.ark+=13960=t6c25jh56	55446	1402
uiuo.ark+=13960=t3zs33v38	59771	1925
nnc1.1002356538	34018	1138
nnc1.1002356589	32069	1062
njp.32101030687576	88006	2310
uiuo.ark+=13960=t9c548401	56457	1480
uiuo.ark+=13960=t0gt67j4p	41732	1022
uc1.32106008763432	98042	2822
uiuo.ark+=13960=t4cn7rv19	26004	808
uiuo.ark+=13960=t1tf05388	43177	1063
nyp.33433075723134	98019	2465
uiuo.ark+=13960=t9p27jk9d	53735	1201
njp.32101066458470	32141	433
uc1.$b287479	55300	1652
uiuo.ark+=13960=t9s18j533	33024	952
njp.32101046807218	76211	2399
njp.32101007065988	55139	1544
uiuo.ark+=13960=t12n5mx4m	31271	1026
uiuo.ark+=13960=t3rv0x09k	37204	1138
uiuo.ark+=13960=t3xs68f29	32021	620
uiuo.ark+=13960=t6154xz35	39936	1106
uc1.32106019618427	93463	2996
njp.32101013133515	39893	812
njp.32101062933443	53604	941
nnc1.0315302644	29130	785
uiuo.ark+=13960=t1vd7jt2z	47307	1030
nyp.33433074865290	24049	651
nnc1.0315131394	36715	1512
uiuo.ark+=13960=t3qv4352q	50136	1229
nnc1.0315059251	11849	504
nyp.33433067379978	74071	1955
njp.32101068176427	32540	929
uiuo.ark+=13960=t6b28f15h	32605	597
mdp.39015031045266	41190	1210
uiuo.ark+=13960=t3514q38x	48910	998
uiuo.ark+=13960=t8hd8jz8v	50185	932
uiuo.ark+=13960=t08w43z30	37349	1507
nyp.33433076078843	184434	5927
uiuo.ark+=13960=t4th96q76	31184	951
inu.30000118294887	47926	2403
njp.32101067172963	112622	3607
uiuo.ark+=13960=t12n5t636	49177	1278
uiuo.ark+=13960=t2b85hw0z	31883	832
nnc1.0043378153	38704	1544
uiuo.ark+=13960=t79s2gq4b	44274	1028
uiuo.ark+=13960=t3jw8vm7c	57532	1568
nnc1.1002231824	35094	839
uiuo.ark+=13960=t86h4x71b	37136	664
uiuo.ark+=13960=t04x5pc89	45913	991
mdp.39015063561586	48378	1618
mdp.39015064003018	211418	7082
uiuo.ark+=13960=t10p1rt7k	45240	1032
uiuo.ark+=13960=t5k93g516	75012	2149
uiuo.ark+=13960=t80k2nk22	82464	2732
uiuo.ark+=13960=t2b85z60c	46457	1500
hvd.hwe3lv	104402	3639
uc1.b3326164	33797	750
hvd.hxk4l9	86993	3550
uiuo.ark+=13960=t3tt53x7z	54766	1588
mdp.39015012113810	83114	3248
uiuo.ark+=13960=t4xh05m31	81613	3853
uiuo.ark+=13960=t0ns18n38	69639	2107
uiuo.ark+=13960=t6xw5202g	58424	1895
uc1.b3123709	63377	2100
mdp.39015064002739	177327	5961
njp.32101038161665	66987	2190
mdp.39015063931243	71759	2014
uiuo.ark+=13960=t6155666f	49644	1153
uc1.$b278741	39346	1017
uc1.b3326165	31273	695
uiuo.ark+=13960=t76t15q92	49666	1619
uc1.b3325432	54605	1832
hvd.hn3n5s	224550	7395
uiuo.ark+=13960=t5w67451b	53777	1622
nyp.33433006539153	106560	5850
hvd.hn3n5m	178510	7076
nyp.33433082296157	25154	852
uc2.ark+=13960=t4qj7976b	16848	543
njp.32101067628865	27725	1139
njp.32101067630903	53297	1917
uiuo.ark+=13960=t9474s15t	54203	1371
nyp.33433066579420	69115	145
mdp.39015063526787	27816	1195
nyp.33433067303838	61869	3540
uiuo.ark+=13960=t2x35d69n	52492	2087
njp.32101068177243	71247	2276
mdp.39015028390121	108161	3613
uiuo.ark+=13960=t7zk5z02q	25306	938
uiuo.ark+=13960=t0cv5377g	53258	2530
nyp.33433081997516	224091	7369
nyp.33433074868237	59863	3233
uiuo.ark+=13960=t3hx1r852	69158	2402
uiuo.ark+=13960=t3bz6v35r	54866	1959
hvd.hwadaj	87027	3354
njp.32101067640787	54157	1727
uiuo.ark+=13960=t2k65383v	61166	2399
mdp.39015065444757	81632	2284
uiuo.ark+=13960=t5x642309	34988	849
njp.32101068163789	30041	755
uiuo.ark+=13960=t3dz0kv1q	48083	1771
