docid	recordid	oclc	locnum	author	authordate	imprint	inferreddate	datetype	startdate	enddate	imprintdate	place	enumcron	materialtype	language	subjects	genres	geographics	contents	title
mdp.39015011937375	000244355	2494823	PZ8.1.R25Si	Reed, Earl H. (Earl Howell),	1863-1931.	Chicago|Reilly & Lee|1926.	1926	s	1926	    	1926	ilu		monograph	eng	Indians of North America|Fiction	Fiction			The silver arrow, | and other Indian romances of the dune country | $c: by Earl H. Reed, with illustrations by the author; lyrics by J. U. Nicolson.
mdp.39015063740628	000244544	1211582	PZ3.A8274Ho2	Ashton, Helen,	1891-1958.	New York|The Macmillan company|1935.	1935	s	1935	    	1935	nyu		monograph	eng		Fiction			Hornets' nest, | $c: by Helen Aston.
mdp.39015063753738	000244561	2810176		Atherton, Gertrude Franklin Horn,	1857-1948.	New York|A. L. Burt company|c1923	1923	s	1923	    	1923	nyu		monograph	eng		Fiction			Black oxen, | $c: by Gertrude Atherton.
wu.89098865926	000244561	2810176		Atherton, Gertrude Franklin Horn,	1857-1948.	New York|A. L. Burt company|c1923	1923	s	1923	    	1923	nyu		monograph	eng		Fiction			Black oxen, | $c: by Gertrude Atherton.
mdp.39015028385261	000244718	8746910		Greene, Merritt.		Hillsdale, Mich.|Hillsdale School Supply|1959.	1959	s	1959	    	1959	miu		monograph	eng	Fiction|Indian trails|Michigan	Fiction|Bibliographies			"The land lies pretty = | ""Op-Jah-mo-mak-y-a"": a story of the Great Sauk Trail in 1832 with an introduction to the Northwest Territory / | $c: by Merritt Greene ; chapter head drawings by Jane Penfold."
mdp.39015063943883	000244726	31637059		Macnaughtan, S. (Sarah),	d. 1916.	ondon|J. Murray|1925	1925	s	1925	    	1925	enk		monograph	eng		Fiction			A lame dog's diary; | $c: [by] S. Macnaughtan.
mdp.39015063552221	000244760	13695659	PZ3.G86165Do 2	Gregg, Cecil Freeman,	1898-	New York|L. MacVeagh, Dial press, inc.|1932.	1932	s	1932	    	1932	nyu		monograph	eng		Fiction			The double solution, | a tale of inspector Higgins, | $c: by Cecil Freeman Gregg.
mdp.39015063552239	000244761	19803470	PZ3.G86165I	Gregg, Cecil Freeman,	1898-	New York|L. MacVeagh, The Dial press|Toronto|Longmans, Green and co.|1931.	1931	s	1931	    	1931	nyu		monograph	eng		Fiction			I have killed a man! | $c: By Cecil Freeman Gregg.
mdp.39015038745884	000244762	25793510	PZ3.G86165In 2	Gregg, Cecil Freeman,	1898-	New York|L. MacVeagh, Dial press inc.|1932.	1932	s	1932	    	1932	nyu		monograph	eng		Fiction			Inspector Higgins hurries | (being a day in his life) | $c: by Cecil Freeman Gregg.
mdp.39015063552288	000244766	1821597	PZ3.G8622Cas	Gregory, Jackson,	1882-	New York|C. Scribner's sons|1933.	1933	s	1933	    	1933	nyu		monograph	eng		Fiction			A case for Mr. Paul Savoy, | $c: by Jackson Gregory.
mdp.39015063551199	000244785	15063998	PZ3.G8714Cam	Gribble, Leonard R. (Leonard Reginald),	1908-	New York|Greenberg|1937	1937	s	1937	    	1937	nyu		monograph	eng		Fiction			The case of the Malverne diamonds.
mdp.39015063551207	000244789	41167612		Grierson, Francis Durham,	1888-	New York|Grosset & Dunlap|c1926	1926	s	1926	    	1926	nyu		monograph	eng		Fiction			The limping man, | $c: by Francis D. Grierson.
mdp.39015053585199	000245291	45696716		Hains, T. Jenkins (Thornton Jenkins),	b. 1866.	Boston|L. C. Page & company|1924.	1924	s	1924	    	1924	mau		monograph	eng		Fiction			Bahama Bill, | mate of the wrecking sloop Sea-horse, | $c: by T. Jenkins Hains. With a frontispiece in color by H. R. Reuterdahl.
mdp.39015053585116	000245297	17294009		Hains, T. Jenkins (Thornton Jenkins),	b. 1866.	Boston|L. C. Page & company|1924.	1924	s	1924	    	1924	mau		monograph	eng		Fiction			The black barque; | a tale of the pirate slave-ship Gentle Hand [on her last African cruise] | $c: by T. Jenkins Hains. Illustrated by W. H[erbert] Dunton.
mdp.39015063918620	000245298	31122562		Hains, T. Jenkins (Thornton Jenkins),	b. 1866.	Boston|L. C. Page & company|1924.	1924	s	1924	    	1924	mau		monograph	eng		Fiction			The voyage of the Arrow, | $c: by T. Jenkins Hains. Illustrated by H. C. Edwards.
uc1.$b103956	000245385	5583678	PZ3.M31373Mo	Mangione, Jerre,	1909-1998.	Boston|Houghton Mifflin|1943.	1943	s	1943	    	1943	mau		monograph	eng	Italians|Fiction|United States	Fiction			Mount Allegro, | $c: by Jerre Mangione, illustrated by Peggy Bacon.
mdp.39015006979234	000245385	5583678	PZ3.M31373Mo	Mangione, Jerre,	1909-1998.	Boston|Houghton Mifflin|1943.	1943	s	1943	    	1943	mau		monograph	eng	Italians|Fiction|United States	Fiction			Mount Allegro, | $c: by Jerre Mangione, illustrated by Peggy Bacon.
mdp.39015005366441	000245397	289218	PZ3.M3423Pl	Marks, Percy.		New York|London|The Century co.|c1924	1924	s	1924	    	1924	nyu		monograph	eng		Fiction			The plastic age, | $c: by Percy Marks.
mdp.39015023958880	000245423	6784466		Marshall, Edison,	1894-1967.	New York|Chicago|A. L. Burt company|c1935	1933	s	1933	    	1935	nyu		monograph	eng		Fiction			Dian of the lost land.
mdp.39015063551553	000245482	6881369	PZ3.H173Pav 2	Hambledon, Phyllis,	1892-	New York|Thomas Y. Crowell company|c1929	1929	s	1929	    	1929	nyu		monograph	eng		Fiction			The paved path, | a novel, | $c: by Phyllis Hambledon.
mdp.39015063551280	000245489	1819562	PZ3.H1829We	Hamilton, Elaine.		New York|London|The Century co.|c1931	1931	s	1931	    	1931	nyu		monograph	eng		Fiction			The Westminster mystery, | $c: by Elaine Hamilton.
mdp.39015062291581	000245614	1741172	PZ3M3636C	Martin, Helen Reimensnyder,	1868-1939.	New York|Dodd, Mead and company|1925.	1925	s	1925	    	1925	nyu		monograph	eng		Fiction			Challenged; | a novel, | $c: by Helen R. Martin.
mdp.39015038701184	000245617	2196397		Hammand, Esther Barstow.		New York|The Book league of America|c1940	1940	s	1940	    	1940	nyu		monograph	eng	Witchcraft|Massachusetts|Fiction|Salem	Fiction			Road to Endor, | $c: a novel by Esther Barstow Hammand, illustrated by E. M. Simon.
mdp.39015063944410	000245618	2053876	PZ3.M3636Lu	Martin, Helen Reimensnyder,	1868-1939.	New York|Dodd, Mead & company|1932.	1932	s	1932	    	1932	nyu		monograph	eng		Fiction			Lucy Anderson, | portrait of a wife, | $c: by Helen R. Martin.
mdp.39015022379567	000245621	18286482	PZ3.H1886Wh	Hammock, Claude Stuart,	1876-	New York|The Macmillan company|1930.	1930	s	1930	    	1930	nyu		monograph	eng		Fiction			Why murder the judge? | $c: By Claude Stuart Hammock.
mdp.39015063934718	000245626	1840386	PZ3.M3636Te	Martin, Helen Reimensnyder,	1868-1939.	New York|Dodd, Mead & company|1930.	1930	s	1930	    	1930	nyu		monograph	eng		Fiction			Tender talons, | a novel | $c: by Helen R. Martin.
mdp.39015063934700	000245631	9748739	PZ3.M3636Wi	Martin, Helen Reimensnyder,	1868-1939.	New York|Dodd, Mead & company|1929.	1929	s	1929	    	1929	nyu		monograph	eng		Fiction			Wings of healing, | $c: by Helen R. Martin.
mdp.39015049814463	000245749	37746131	PZ3.M3565Sp	Marshall, Edison,	1894-1967.	New York|Chicago|A. L. Burt company|c1934	1934	s	1934	    	1934	nyu		monograph	eng		Fiction			The splendid quest / | $c: by Edison Marshall.
uc1.$b273214	000245828	21940638	PZ3.M3697Ci	Marye, Beatrissia.		Los Angeles, Calif.|The Austin publishing co.|1927.	1927	s	1927	    	1927	cau		monograph	eng		Fiction			The circle, | $c: by Beatrissia Marye.
mdp.39015063934809	000245828	21940638	PZ3.M3697Ci	Marye, Beatrissia.		Los Angeles, Calif.|The Austin publishing co.|1927.	1927	s	1927	    	1927	cau		monograph	eng		Fiction			The circle, | $c: by Beatrissia Marye.
mdp.39015012312198	000246136	6174903	PZ3.M1337Jo	McClure, Marjorie Barkley		New York|Minton, Balch & company|1932.	1932	s	1932	    	1932	nyu		monograph	eng		Fiction			John Dean's journey, | $c: by Marjorie Barkley McClure.
mdp.39015063941515	000246138	1731205	PZ3.M13376De	MacClure, Victor.		Boston|New York|Houghton Mifflin company|1933.	1933	s	1933	    	1933	mau		monograph	eng		Fiction			Death behind the door, | $c: by Victor MacClure.
mdp.39015063941572	000246200	1160305	PZ3.M139Ea	McCutcheon, George Barr,	1866-1928.	New York|Dodd, Mead and company|1924.	1924	s	1924	    	1924	nyu		monograph	eng		Fiction			East of the setting sun, | a story of Graustark, | $c: by George Barr McCutcheon.
mdp.39015063934536	000246222	2867272	PZ3.M1472Wh	McDougald, Roman.		New York|Simon and Schuster|1945.	1945	s	1945	    	1945	nyu		monograph	eng		Fiction			The whistling legs, | $c: by Roman McDougald.
uc1.$b57001	000246227	3947675	PZ3.M1642Hu	Macfarlane, C. W. (Charles William),	1852-1931.	Philadelphia|The Penn publishing company|1930	1930	s	1930	    	1930	pau		monograph	eng		Fiction			Hugh Campbell, | $c: by C. W. Macfarlane.
mdp.39015063934262	000246227	3947675	PZ3.M1642Hu	Macfarlane, C. W. (Charles William),	1852-1931.	Philadelphia|The Penn publishing company|1930	1930	s	1930	    	1930	pau		monograph	eng		Fiction			Hugh Campbell, | $c: by C. W. Macfarlane.
mdp.39015063938107	000246237	2971522	PZ3.M178BL	MacGrath, Harold,	1871-	Garden City, N. Y.|Pub. for The Crime club, inc., by Doubleday, Doran & company, inc.|1930.	1930	s	1930	    	1930	nyu		monograph	eng		Fiction		First edition.	The blue rajah murder ...
mdp.39015035822363	000246243	1730989	PZ3.M178WL	MacGrath, Harold,	1871-	Garden City, N. Y.|Doubleday, Doran and company, inc.|1929.	1929	s	1929	    	1929	nyu		monograph	eng		Fiction		First edition.	The wolves of chaos, | $c: by Harold MacGrath.
mdp.39015063938123	000246523	2935771	PZ3.M1963Har	McKenna, Edward L.		New York|R. M. McBride & company|1929.	1929	s	1929	    	1929	nyu		monograph	eng		Fiction			Hardware, | $c: by Edward L. McKenna.
mdp.39015063939378	000246533	1803946	PZ3.L5782De	[Levine, William]	1881-	New York|London|The Mystery league|1933.	1933	s	1933	    	1933	nyu		monograph	eng		Fiction		First edition.	Death points a finger, | $c: by Will Levinrew [pseud.]
mdp.39015063939386	000246539	9206138		Lewis, Alfred Henry,	1857-1914.	New York|London|D. Appleton and company|1929.	1929	s	1929	    	1929	nyu		monograph	eng		Fiction			Wolfville folks, | $c: by Alfred Henry Lewis.
mdp.39015023983136	000246546	4062436	PZ3.L5855Wh	Lewis, Edwin Herbert,	1866-1938.	Chicago|Covici-McGee|1923.	1923	s	1923	    	1923	ilu		monograph	eng		Fiction			White lightning, | $c: by Edwin Herbert Lewis.
mdp.39015016777891	000246725	1183386		Merwin, Samuel,	1874-1936.	Boston|New York|Houghton Mifflin company|c1925	1925	s	1925	    	1925	mau		monograph	eng		Fiction			The moment of beauty | $c: [by] Samuel Merwin.
mdp.39015063945391	000246733	1262968	PZ3.M559Si	Merwin, Samuel,	1874-1936.	Boston|New York|Houghton Mifflin company|1923	1923	s	1923	    	1923	mau		monograph	eng		Fiction			Silk; | a legend as narrated in the journals and correspondence of Jan Po, | $c: by Samuel Merwin; illustrated by N. C. Wyeth.
mdp.39015059396633	000247003	7532461	PZ3.P2921Sh	Payne, Elisabeth Stancy.		New York|Dodd, Mead & company|1935.	1935	s	1935	    	1935	nyu		monograph	eng		Fiction			Shadow on the brook, | $c: by Elisabeth Stancy Payne.
mdp.39015065597190	000248204	4027028		Trollope, Anthony,	1815-1882.	New York|Dodd, Mead & company|1923.	1923	s	1923	    	1923	nyu	v.1	monograph	eng		Fiction			The Eustace diamonds, | $c: by Anthony Trollope.
mdp.39015065597208	000248204	4027028		Trollope, Anthony,	1815-1882.	New York|Dodd, Mead & company|1923.	1923	s	1923	    	1923	nyu	v.2	monograph	eng		Fiction			The Eustace diamonds, | $c: by Anthony Trollope.
mdp.39015065597109	000248214	967392	PZ3.T75B 18	Trollope, Anthony,	1815-1882.	New York|The Macmillan company|1926.	1926	s	1926	    	1926	nyu		monograph	eng		Fiction			Barchester towers, | $c: by Anthony Trollope; introduction by James I. Osborne.
mdp.39015065597117	000248218	12725580		Trollope, Anthony,	1815-1882.	London|Toronto|J. M. Dent & sons, ltd.|New York|E. P. Dutton & co.|1923	1923	r	1923	1906	1923	enk		monograph	eng		Fiction|Bibliographies			Barchester towers, | $c: by Anthony Trollope.
mdp.39015063979465	000248219	2712118	PZ3.P3843Po	Mrs., Pennoyer, Sara (Waller)	1900-	New York|Dodd, Mead & company|1937.	1937	s	1937	    	1937	nyu		monograph	eng		Fiction			Polly Tucker, | merchant | $c: [by] Sara Pennoyer. With a foreword by Hortense McQuarrie Odlum; illustrated by Jean Spadea.
mdp.39015003693093	000248450	2654323	E78.N76F8	Ford, R. Clyde (Richard Clyde),	1870-	Chicago|New York|Lyons & Carnahan|c1931	1931	s	1931	    	1931	ilu		monograph	eng	Northwest, Old|Indians of North America	Fiction			Red man or white, | a story of Indian life in the Northwest, | $c: by R. Clyde Ford.
mdp.39015059678923	000248675	513471	PZ3.P333Ti	Mrs. Peck, Elisabeth,		New York|House of Field, inc.|1941.	1941	s	1941	    	1941	nyu		monograph	eng		Fiction			Tibb's flooders; | a tale of the Ohio River flood of 1937, | $c: by Elisabeth Peck.
uc1.$b322800	000248687	280388	PZ4.B7353Me2	Boros, Eva,	1911-	New York|Farrar, Straus & Cudahy|1956	1956	s	1956	    	1956	nyu		monograph	eng		Fiction			The mermaids.
mdp.39015063978962	000248779	4646612	PZ3.P2938Fu	Paynter, John Henry.		Washington, D. C.|The Associated publishers, inc.|c1930	1930	s	1930	    	1930	dcu		monograph	eng	Slavery|United States|Fiction	Fiction			Fugitives of the Pearl, | $c: by John H. Paynter.
uc1.$b104512	000248819	1826422	PZ3.W603Wh	Wilson, Harry Leon,	1867-1939.	New York|H. C. Kinsey & company, inc.|1940.	1940	s	1940	    	1940	nyu		monograph	eng		Fiction			When in the course-- | $c: [by] Harry Leon Wilson.
mdp.39015063976370	000248819	1826422	PZ3.W603Wh	Wilson, Harry Leon,	1867-1939.	New York|H. C. Kinsey & company, inc.|1940.	1940	s	1940	    	1940	nyu		monograph	eng		Fiction			When in the course-- | $c: [by] Harry Leon Wilson.
mdp.39015063952777	000249753	3654780		Sedgwick, Anne Douglas,	1873-1935.	Boston|New York|Houghton Mifflin company|1930.	1930	s	1930	    	1930	mau		monograph	eng		Fiction			The encounter, | $c: by Anne Douglas Sedgwick (Mrs. Basil de Sélincourt)
mdp.39015002717851	000263625	6980007		Rine, Victor,	b. 1884.	Boston|Our World|c1955.	1955	s	1955	    	1955	mau		monograph	eng	History | Fiction	Fiction	Palestine	2nd ed.	In the path of the winds : | the case of the new patriot / | $c: by Victor Rine.
mdp.39015002298282	000264585	3759553		Voltaire,	1694-1778.	New York|New American Library|c1961.	1961	s	1961	    	1961	nyu		monograph	eng		Fiction|Bibliographies		Candide.--Zadig.--Micromegas.--The world as it is.--Memnon.--Bababec and the fakirs.--History of Scarmentado's travels.--Plato's dream.--Account of the sickness, confession, death, and apparition of the Jesuit Berthier.--Story of a good Brahman.--Jeannot and Colin.--An Indian adventure.--Ingenuous.--The one-eyed porter.--Memory's adventure.--Count Chesterfield's ears and Chaplain Goudman.	Candide, Zadig, and selected stories / | $c: Voltaire ; translated and with an introd. by Donald M. Frame.
uc1.b3364273	000271188	1084796	PZ3.R2525Da	Reed, John,	1887-1920.	New York|Vanguard Press|c1927	1927	s	1927	    	1927	nyu		monograph	eng		Fiction			Daughter of the revolution, | and other stories, | $c: by John Reed, edited, with an introduction, by Floyd Dell.
mdp.39015004710201	000279249	222597	PZ3.B479I	Bierce, Ambrose,	1842-1914?	New York|Albert and Charles Boni|1924.	1924	s	1924	    	1924	nyu		monograph	eng		Fiction			In the midst of life; | tales of soldiers and civilians, | $c: by Ambrose Bierce.
mdp.39015063943180	000280158	3997032		Lincoln, Joseph Crosby,	1870-1944.	New York|A. L. Burt company|1923	1923	s	1923	    	1923	nyu		monograph	eng		Fiction			Galusha the magnificent: | a novel, | $c: by Joseph C. Lincoln.
mdp.39015023187480	000280183	14040258		Lincoln, Joseph Crosby,	1870-1944.	New York|London|D. Appleton and company|1925.	1925	s	1925	    	1925	nyu		monograph	eng		Fiction			"The ""Old home house"", | $c: by Joseph C. Lincoln."
uc1.$b56966	000280210	1819867	PZ3.L8243	Prinz zu, Löwenstein, Hubertus,	1906-1984.	New York|Macmillan|1947.	1947	s	1947	    	1947	nyu		monograph	eng	Tiberius, 14-37|Church history|Primitive and early church, ca. 30-600|Fiction|History	Fiction	Rome		The eagle and the cross, | $c: by Prince Hubertus zu Loewenstein.
mdp.39015063942463	000280254	169560	PZ3.L6385BL	Lincoln, Joseph Crosby,	1870-1944.	New York|Coward-McCann, inc.|1929.	1929	s	1929	    	1929	nyu		monograph	eng		Fiction			Blair's attic, | $c: by Joseph C. Lincoln and Freeman Lincoln; end papers by N. C. Wyeth.
mdp.39015063938255	000280263	852888	PZ3.L828N 5	Logan, Algernon Sydney,	b. 1849.	Philadelphia|National publishing company|1934.	1934	s	1934	    	1934	pau		monograph	eng		Fiction		Collected ed.	Not on the chart; | a novel, | $c: by Algernon Sydney Logan.
mdp.39015063541281	000280333	4906005	PZ3.B6153Sh	Bledsoe, Mary.		Boston|New York|Lothrop, Lee & Shepard co.|1937.	1937	s	1937	    	1937	mau		monograph	eng		Fiction			Shadows slant north | $c: [by] Mary Bledsoe.
mdp.39015063923992	000280368	18277416	PZ3.L6387Se	Lincoln, Natalie Sumner.		New York|London|D. Appleton & company|1928.	1928	s	1928	    	1928	nyu		monograph	eng		Fiction			The secret of Mohawk Pond, | $c: by Natalie Sumner Lincoln.
mdp.39015063924008	000280371	7928034	PZ3.L6387Tf	Lincoln, Natalie Sumner.		New York|London|D. Appleton and company|1932.	1932	s	1932	    	1932	nyu		monograph	eng		Fiction			13 Thirteenth street, | $c: by Natalie Sumner Lincoln.
mdp.39015063521317	000280377	66267414		Booth, Louis F.		New York|Grosset & Dunlap|c1933	1933	s	1933	    	1933	nyu		monograph	eng		Fiction			The bank vault mystery, | $c: by Louis F. Booth.
mdp.39015023537197	000280415	564198	PZ3.L6385Sr	Lincoln, Joseph Crosby,	1870-1944.	New York|London|D. Appleton-Century company, incorporated|1937.	1937	s	1937	    	1937	nyu		monograph	eng		Fiction			Storm girl, | $c: by Joseph C. Lincoln.
mdp.39015063940228	000280428	6079360	PZ3.L65406Yo	Linfield, Mary Barrow.		New York|The Macaulay company|c1929	1929	s	1929	    	1929	nyu		monograph	eng		Fiction			Young woman in love, | $c: by Mary Barrow Linfield.
mdp.39015063940244	000280432	1824348	PZ3.L6544Mu	Lingo, Ada E.		Boston|New York|Houghton Mifflin company|1935.	1935	s	1935	    	1935	mau		monograph	eng		Fiction			Murder in Texas, | $c: by Ada E. Lingo.
mdp.39015018014954	000280479	4753528	PZ3.L718Th	Littell, Philip,	1868-1943.	New York|Coward-McCann, inc.|1928.	1928	s	1928	    	1928	nyu		monograph	eng		Fiction			This way out, | $c: by Philip Littell.
mdp.39015063938735	000280490	5138131	PZ3.L7627My	Livingston, Walter,	1895-	New York|The Mystery league, inc.|1930.	1930	s	1930	    	1930	nyu		monograph	eng		Fiction		First edition.	The mystery of Burnleigh manor, | $c: by Walter Livingston.
mdp.39015031385589	000280561	14634450	PZ3.L792Go	Locke, Gladys Edson,	1887-	Boston|L. C. Page & company|1927	1927	s	1927	    	1927	mau		monograph	eng		Fiction			The golden lotus, | $c: by G. E. Locke. Illustrated by Frank T. Merrill.
mdp.39015063939097	000280607	181376	PZ3.L81143Di	Lockridge, Frances Louise Davis.		Philadelphia|Lippincott Co.|1949	1949	s	1949	    	1949	pau		monograph	eng		Fiction		[1st ed.]	The dishonest murderer | $c: [by] Frances and Richard Lockridge.
mdp.39015063939071	000280646	629649	PZ3.L81144De	Lockridge, Richard,	1898-1982.	New York|E. P. Dutton & company, inc.|1945.	1945	s	1945	    	1945	nyu		monograph	eng		Fiction		First edition.	Death in the mind | $c: [by] Richard Lockridge & G. H. Estabrooks.
mdp.39015063525565	000280973	15351918	PZ3.B5627Rav	Black, Elizabeth Best,	1894-	New York|Loring and Mussey|c1933	1933	s	1933	    	1933	nyu		monograph	eng		Fiction			The Ravenelle riddle, | a Peter Strangely mystery, | $c: by E. Best Black.
mdp.39015006565694	000281011	2810504	PZ3.B7265Pat	Bradley, Mary (Hastings).		New York|London|D. Appleton-Century company, incorporated|1937.	1937	s	1937	    	1937	nyu		monograph	eng		Fiction			Pattern of three, | $c: by Mary Hastings Bradley.
mdp.39015063547890	000281152	19732780	PZ3.P7369Yo 3	Brandon, John G.		New York|Brentano's|1926	1926	s	1926	    	1926	nyu		monograph	eng		Fiction			Young love, | $c: by John G. Brandon.
mdp.39015063761285	000281213	8090193	PZ3.B587Oh	Blaker, Richard,	1893-1940.	New York|George H. Doran company|c1925	1925	s	1925	    	1925	nyu		monograph	eng		Fiction			Oh, the brave music! / | $c: by Richard Blaker.
mdp.39015063540408	000281267	8915802	PZ3.B762Gr	Brice, Monica.		Boston|New York|Lothrop, Lee & Shepard company|1938.	1938	s	1938	    	1938	nyu		monograph	eng		Fiction			Green wood burns slow, | $c: by Monica Brice.
uc1.$b56324	000281275	3611697	PZ3.B76458La	Mrs. Bridgman, Helen Bartlett,		New York|Cloister Pub. co.|1925.	1925	s	1925	    	1925	nyu		monograph	eng		Fiction			The last passion. / | $c: By Helen Bartlett Bridgman.
mdp.39015063540119	000281275	3611697	PZ3.B76458La	Mrs. Bridgman, Helen Bartlett,		New York|Cloister Pub. co.|1925.	1925	s	1925	    	1925	nyu		monograph	eng		Fiction			The last passion. / | $c: By Helen Bartlett Bridgman.
mdp.39015063525094	000281686	951538	PZ3.B7993My	Brown, Alice,	1857-1948.	New York|The Macmillan company|1925.	1925	s	1925	    	1925	nyu		monograph	eng		Fiction			The mysteries of Ann, | $c: by Alice Brown.
mdp.39015063525110	000281696	2276966	PZ3.B812Wg	Brown, Alice,	1857-1948.	New York|London|D. Appleton-Century company, incorporated|1935.	1935	s	1935	    	1935	nyu		monograph	eng		Fiction			The Willoughbys, | $c: by Alice Brown.
mdp.39015011941864	000281813	10104769		Bailey, Henry Christopher,	1878-	New York|E. P. Dutton & company|1932	1932	r	1932	    	1932	nyu		monograph	eng		Fiction			Call Mr. Fortune, | $c: by H. C. Bailey.
mdp.39015063525748	000281824	1817414		Bailey, Henry Christopher,	1878-	New York|E. P. Dutton & co., inc.|1932	1932	r	1932	    	1932	nyu		monograph	eng		Fiction			Mr. Fortune explains, | $c: by H. C. Bailey.
mdp.39015063525771	000281828	1817418	PZ3.B152Mf 4	Bailey, Henry Christopher,	1878-	New York|E. P. Dutton & co., inc.|c1931	1931	s	1931	    	1931	nyu		monograph	eng		Fiction		First edition.	Mr. Fortune speaking, | $c: by H. C. Bailey.
uc1.$b112639	000281831	935282	PZ3.B812Ki	Brown, Alice,	1857-1948.	New York|The Macmillan Company|1932.	1932	s	1932	    	1932	nyu		monograph	eng		Fiction			The kingdom in the sky, | $c: by Alice Brown.
mdp.39015063525052	000281831	935282	PZ3.B812Ki	Brown, Alice,	1857-1948.	New York|The Macmillan Company|1932.	1932	s	1932	    	1932	nyu		monograph	eng		Fiction			The kingdom in the sky, | $c: by Alice Brown.
mdp.39015063540358	000281959	1669172	PZ3.B1723Fam	Baker, Karle Wilson,	1878-1960.	New York|Coward-McCann, inc.|c1937	1937	s	1937	    	1937	nyu		monograph	eng		Fiction			Family style, | $c: by Karle Wilson Baker.
mdp.39015063915634	000282233	34001591		Mrs., Bartley, Nalbro Isadorah,	1888-	New York|Chicago|A. L. Burt company|1931	1931	s	1931	    	1931	nyu		monograph	eng		Fiction			The godfather, | $c: by Nalbro Bartley.
mdp.39015063548369	000282373	1885501	PZ3.B295Sh	Bassett, Sara Ware,	b. 1872.	Philadelphia|The Penn publishing company|c1933	1933	s	1933	    	1933	pau		monograph	eng		Fiction			Shifting sands | $c: [by] Sara Ware Bassett.
mdp.39015063542040	000282429	986133	PZ3.B3984No	Beith, Janet.		New York|Frederick A. Stokes company|1933.	1933	s	1933	    	1933	nyu		monograph	eng		Fiction			No second spring, | a novel, | $c: by Janet Beith.
mdp.39015063916616	000282475	1687009	PZ3.B81994Gi	Ford, Leslie,	1898-1983.	New York|Scribner|1957	1957	s	1957	    	1957	nyu		monograph	eng		Fiction			The girl from the Mimosa Club, | $c: by Leslie Ford [pseud.]
mdp.39015063540788	000282709	12985866	PZ3.C1539St	Mrs., Campbell, Harriette (Russell)	1883-	New York|A. A. Knopf|1936.	1936	s	1936	    	1936	nyu		monograph	eng		Fiction			The string glove mystery, | $c: by Harriette R. Campbell.
mdp.39015063524865	000283230	1950372	PZ3.C26894So	Caslow, Winfield H.		Grand Rapids, Mich.|The Grand Rapids calendar co., co-operating with J. Thomas co., Chicago, Ill.|c1928	1928	s	1928	    	1928	miu		monograph	eng		Fiction			The sob-squad, | a novel, | $c: by Winfield H. Caslow.
mdp.39015063542685	000283410	1507592		Austin, Anne,	1895-	New York|Grosset & Dunlap|1930	1930	s	1930	    	1930	nyu		monograph	eng		Fiction			The black pigeon, | $c: by Anne Austin.
mdp.39015063542495	000283418	9313763	PZ3.A9352On	Austin, Anne,	1895-	New York|The Macmillan company|1932.	1932	s	1932	    	1932	nyu		monograph	eng		Fiction			One drop of blood, | a mystery novel, | $c: by Anne Austin.
mdp.39015063525235	000283631	22520997	PZ3.C3444Yo	Mrs., Chadwick, Dorothy (Lester)	1903-	New York|Arcadia house|c1936	1936	s	1936	    	1936	nyu		monograph	eng		Fiction			Young April, | $c: by Dorothy L. Chadwick.
mdp.39015063525169	000283747	1657780	PZ3.B1453Dr	Baerlein, Henry,	1875-1960.	New York|Simon and Schuster|1930.	1930	s	1930	    	1930	nyu		monograph	eng		Fiction			Dreamy rivers, | $c: by Henry Baerlein.
mdp.39015063511292	000283839	938343	PZ3.C355Dr	Chambers, Robert W. (Robert William),	1865-1933.	New York|London|D. Appleton and Company|1927.	1927	s	1927	    	1927	nyu		monograph	eng		Fiction			The drums of Aulone | $c: [by] Robert W. Chambers.
mdp.39015055373388	000283897	19638167	PZ3.B32Mu	pseud. Burne, Glen,		New York|Dodd, Mead & company|c1934	1934	s	1934	    	1934	nyu		monograph	eng		Fiction			Murder to music | $c: [by] Glen Burne.
mdp.39015063512993	000284139	2697144	PZ3.C38384Tr	Baron, Charnwood, Godfrey Rathbone Benson,	1864-1945.	New York|L. MacVeagh, The Dial press|1928.	1928	s	1928	    	1928	nyu		monograph	eng		Fiction		Author's edition.	Tracks in the snow, | $c: by Lord Charnwood.
mdp.39015065531983	000284142	6892955	PZ3.C3874Mi	Chase, Daniel.		New York|The Macmillan company|1923.	1923	s	1923	    	1923	nyu		monograph	eng		Fiction			The middle passage, | $c: by Daniel Chase.
mdp.39015063513009	000284154	4288576	PZ3.C3879Pe	Chase, Eleanor.		New York|J. H. Sears & co., inc.|c1928	1928	s	1928	    	1928	nyu		monograph	eng		Fiction			Pennagan place, | $c: by Eleanor Chase.
mdp.39015063918661	000284581	2933421	PZ3.C3743Sh	Chappell, George S. (George Shepard),	1877-1946.	New York|G. P. Putnam's sons|1933.	1933	s	1933	    	1933	nyu		monograph	eng		Fiction			Shoal water.
mdp.39015063918703	000284610	1682989	PZ3.C355You	Chambers, Robert W. (Robert William),	1865-1933.	New York|London|D. Appleton-Century company, incorporated|1934.	1934	s	1934	    	1934	nyu		monograph	eng		Fiction			The young man's girl, | $c: by Robert W. Chambers.
