docid	recordid	oclc	locnum	author	authordate	imprint	inferreddate	datetype	startdate	enddate	imprintdate	place	enumcron	materialtype	language	subjects	genres	geographics	contents	title
mdp.39015062882785	005119541	59879733	PS3515.E43422A6 2006	Henderson, George Wylie.		Ann Arbor|University of Michigan Press|c2006.	2006	s	2006	    	2006	miu		monograph	eng	African Americans|Fiction	Bibliographies|Short stories	Harlem (New York, N.Y.)	"Sinner man's wedding -- Whistlin' slim -- Dance of death -- ""Thy name is woman"" -- Without tears -- Midnight in Harlem -- Day of judgment -- ""Man in de Moon"" -- A brownskin's revenge -- Redcap -- Harlem calling -- ""Mister Simmons-Good Lord!"" -- Waitress -- Time for a dance -- Home style: an episode -- Red Devil over Harlem -- Only Mary and me."	Harlem calling : | the collected stories of George Wylie Henderson, an Alabama writer of the Harlem Renaissance / | $c: edited and with an introduction by David G. Nicholls.
usu.39060015107484	005122948	61694780	PS3566.A612R35 2006	Papanikolas, Helen,	1917-	Logan|Utah State University Press|c2005.	2005	s	2005	    	2005	utu		monograph	eng	Sheepherding|Greek Americans|Fiction	Domestic fiction|Fiction	Utah		Rain in the valley : | a novel / | $c: by Helen Papanikolas.
mdp.39015064883930	005266985	64770871	PS3606.R38M57 2006	Frank, Joan,	1949-	Ann Arbor|University of Michigan Press|c2006.	2006	s	2006	    	2006	miu		monograph	eng	Editors|Fiction	Domestic fiction|Fiction			Miss Kansas City : | a novel / | $c: Joan Frank.
usu.39060016732694	005571621	84152829	PS3601.L439A73 2007	Allen-Yazzie, Christine Diane		Logan, Utah|Utah State University Press|c2007	2007	s	2007	    	2007	utu		monograph	eng	Voyages and travels|Fiction|Deserts|Women alcoholics|Interracial marriage|Navajo Indians|Separated people|Women authors	Fiction|Psychological fiction			The arc and the sediment / | $c: Christine Allen-Yazzie
mdp.39015070702876	005597410	125404565	PS3618.A958A38 2007	Rawlings, Wendy.		Ann Arbor|University of Michigan Press|c2007.	2007	s	2007	    	2007	miu		monograph	eng	Middle class families|Fiction	Domestic fiction|Fiction	Long Island (N.Y.)		The agnostics : | a novel / | $c: Wendy Rawlings.
mdp.39015077098641	005619805	129950617	PS3556.O697A44 2007	Ford, Elaine.		Ann Arbor|University of Michigan Press|c2007.	2007	s	2007	    	2007	miu		monograph	eng	(OCoLC)fst00821764|(OCoLC)fst01204270|fast|Authors, American|Maine	Fiction	Maine		The American wife / | $c: Elaine Ford.
mdp.39015082696850	005933261	213079788	PS3607.A557I43 2008	Gans, Herbert J.		Ann Arbor|University of Michigan Press|c2008.	2008	s	2008	    	2008	miu		monograph	eng	Twenty-first century|Forecasts|Forecasting|Politics and government|Fiction	Fiction	United States		Imagining America in 2033 : | how the country put itself together after Bush / | $c: Herbert J. Gans.
mdp.39015080703807	006806141	56956030	PS325.N68 2005	Notley, Alice,	1945-	Ann Arbor|University of Michigan Press|c2005	2005	s	2005	    	2005	miu		monograph	eng	American poetry|20th century|Authorship|History and criticism|Poetry|English poetry	Fiction			Coming after : | essays on poetry / | $c: Alice Notley
usu.39060016228362	010759294	60360425	PS3623.I6625H43 2005	Wingfield, Andrew,	1966-	Logan|Utah State University Press|c2005.	2005	s	2005	    	2005	utu		monograph	eng	Puma|Biologists|Midlife crisis|Fiction|Wildlife management	Suspense fiction|Fiction|Psychological fiction	California		Hear him roar : | a novel / | $c: Andrew Wingfield.
usu.39060017689927	010759296	475442678	PE1404.M359 2010	(Sennie Rudolph), Martin, S. R.	1935-	Logan, UT|Utah State University Press|2010.	2010	s	2010	    	2010	utu		monograph	eng	African-Americans|California|Fiction	Fiction|Hunting stories			Natural-born proud : | a revery / | $c: S.R. Martin, Jr.
