docid	allwords	stanfordwords
mdp.49015000838012	20793	1928
mdp.39015063561586	57056	1618
uiuo.ark+=13960=t8nc6b618	47092	1150
uc1.$b473613	84661	4255
nyp.33433074931597	73251	2437
uc2.ark+=13960=t5h99230h	300930	12309
mdp.39015030126505	121239	4440
loc.ark+=13960=t08w4945p	3260	137
dul1.ark+=13960=t89g6ct7k	28584	659
mdp.39015062378909	65033	4873
uc2.ark+=13960=t45q53b1s	116622	4288
dul1.ark+=13960=t4vh67297	79582	784
uc2.ark+=13960=t0pr7sq62	247149	9609
mdp.39015061469139	82842	5057
uc1.$b746092	116412	9198
nyp.33433074855069	86227	4651
nyp.33433081652574	74728	2683
uc1.$b301045	89011	5235
nyp.33433074861935	104830	5639
nyp.33433074856836	84146	4452
pst.000005752546	145491	7968
uc1.32106009522654	159842	8130
pst.000045753022	403013	28259
uc1.$b248787	11177	708
mdp.39015060836171	87769	5609
uc1.$b101946	240225	17135
mdp.39015033493647	50350	3541
nyp.33433081963146	60088	3640
nyp.33433076025943	78681	2588
mdp.39015059774052	53525	3179
pst.000014560620	91468	6196
mdp.39015048717071	49417	2737
nyp.33433074928775	84023	4393
uc2.ark+=13960=t21c1v37w	119218	10735
nyp.33433074866561	116107	5334
nyp.33433074927744	92411	2115
pst.000005733071	93947	6971
nyp.33433074793831	97028	4481
nyp.33433082303151	29238	1494
inu.30000007708815	243530	11134
uiuo.ark+=13960=t75t4866z	67891	1697
nyp.33433074862305	118090	4092
uc2.ark+=13960=t1ng4h02g	95317	3892
uiuo.ark+=13960=t44q88r9x	66459	1486
mdp.39015001153629	84190	4121
coo.31924064998069	58576	2064
uc2.ark+=13960=t4nk38459	15302	243
uc2.ark+=13960=t3dz04t88	58051	2812
dul1.ark+=13960=t9g45ch9h	87194	6049
mdp.39015042099278	94153	5798
hvd.hnn97y	82725	3128
uiuo.ark+=13960=t7br98r5d	59424	1408
uc1.$b555827	68772	5122
uc2.ark+=13960=t4rj4ck98	59262	1723
uc1.$b3181	65364	3686
mdp.39015063587474	63061	2495
uc2.ark+=13960=t8mc8ss07	55155	1925
nyp.33433074852835	91723	3410
uc1.$b662534	167216	8614
uc2.ark+=13960=t74t6gp9m	61689	2754
mdp.39015028917659	45448	2107
mdp.39015028435223	123410	9027
pst.000006161873	52146	3682
uc1.b4449524	138143	10272
uiuo.ark+=13960=t9j393d7p	91056	2311
uiuo.ark+=13960=t1ng57g58	67069	2913
uiuo.ark+=13960=t7zk5z02q	29524	938
mdp.39015012190651	85566	3715
pst.000004786689	87287	6700
uc2.ark+=13960=t4bp02s9c	212110	9700
nyp.33433076073646	105657	4788
mdp.39015000512742	49442	2496
uc2.ark+=13960=t7xk8n82d	341028	11802
mdp.39015061866318	61680	4712
inu.39000003642282	34976	1765
mdp.39015059119886	115616	8739
pst.000005455102	51896	2561
mdp.39015049744967	184462	12943
uiuo.ark+=13960=t3bz6v35r	65381	1959
uiuo.ark+=13960=t0qr5fj5r	51959	1608
mdp.39015018520398	132498	9454
uc2.ark+=13960=t9f47hm13	160066	7490
mdp.39015001610354	70161	4408
mdp.39015060075960	48495	2983
uc2.ark+=13960=t6qz22x3r	126455	4933
njp.32101066457449	39497	1458
uc1.b3741192	97673	3708
uc1.32106018712015	145967	13111
mdp.39015066783013	32417	1907
inu.32000009648280	28896	993
mdp.39015065707187	121561	9510
uc1.b3626218	57523	1943
uc2.ark+=13960=t51g0v51c	135853	6371
mdp.39015014541265	74404	5080
mdp.39015048891959	296653	19508
mdp.39015056512109	86264	5991
uiuo.ark+=13960=t04x5pc89	53258	991
uc1.$b155513	69050	4009
mdp.39015064003018	242082	7082
uc2.ark+=13960=t0sq8zn5q	123151	5794
uiuo.ark+=13960=t67375c09	60915	1798
inu.30000052999335	33473	1785
uc1.$b103842	148307	8304
inu.39000000277678	45040	2762
nnc1.0036685208	59908	1659
loc.ark+=13960=t2d805x4x	9437	575
uc2.ark+=13960=t7dr2sh01	122213	6252
mdp.39015018053242	187686	6634
nyp.33433068250780	13159	668
pst.000021382758	212399	11736
mdp.39015048712163	59044	4062
mdp.39015063918133	92621	4819
mdp.39015055883816	141663	9862
uiuo.ark+=13960=t5j96f67z	67893	1394
