docid	allwords	stanfordwords
uiuo.ark+=13960=t7cr6hq4j	64167	1202
uva.x000099740	75960	1593
uiuo.ark+=13960=t0ks7d013	68803	1371
nyp.33433074951595	68975	1740
uiuo.ark+=13960=t6xw4rw1j	66492	1576
uiuo.ark+=13960=t8nc69j1b	66709	1519
nyp.33433074951629	68300	1269
njp.32101064790809	45544	1250
njp.32101064790791	44593	1270
njp.32101064790783	43454	1152
nyp.33433074915129	73123	1618
nyp.33433074915137	72780	1614
uc2.ark+=13960=t3513xp37	60229	1194
hvd.rsmd2m	165568	3527
mdp.39015014117546	44755	1097
uiuo.ark+=13960=t2t449b4t	49316	1231
uiuo.ark+=13960=t3vt28143	51072	1276
uiuo.ark+=13960=t9x06cv0p	57431	1538
njp.32101069165098	60815	1489
uiuo.ark+=13960=t8df71j7t	77707	1827
nyp.33433074917844	105699	2508
nyp.33433074917851	102624	2558
nyp.33433074917877	97467	1871
nyp.33433074916226	58538	1694
nyp.33433074916218	65871	1882
hvd.hn21hk	54283	1896
hvd.hn21hl	47654	1677
hvd.hn21hm	48886	1672
hvd.hn21hn	50350	1638
mdp.39076006602267	60710	1558
uc1.$b250206	39623	784
uc1.$b250207	43663	947
uc1.$b250208	31720	627
uc2.ark+=13960=t0zp40383	54477	1050
njp.32101068166675	48436	1190
uc1.b3287723	47503	1176
njp.32101068166659	48371	1255
hvd.hwe3la	65581	1720
hvd.hwe3lb	54773	1152
hvd.hwe3l8	61080	1857
hvd.hwe3l9	52354	1387
uiuo.ark+=13960=t22b9bx7f	62435	933
uiuo.ark+=13960=t43r16n37	56490	836
uiuo.ark+=13960=t9k364f0b	59073	801
uiuo.ark+=13960=t1pg2cj2j	78695	2793
uiuo.ark+=13960=t5m90x77j	76803	2591
uiuo.ark+=13960=t3cz3x62n	82855	2596
mdp.39015010783804	51585	1483
mdp.39015010783788	53538	1540
nyp.33433074910260	75310	1301
nyp.33433074910278	75303	1130
nyp.33433074910286	86490	1337
uiuo.ark+=13960=t6nz8qp53	53313	904
uiuo.ark+=13960=t3st84p8j	50397	809
uiuo.ark+=13960=t4xh05574	50655	783
uiuo.ark+=13960=t48p6k665	46315	735
uiuo.ark+=13960=t6b28ds6f	38449	553
uiuo.ark+=13960=t2h711v1w	63089	1428
uiuo.ark+=13960=t63498m8d	62778	1375
uiuo.ark+=13960=t8kd2ht61	60827	1536
uiuo.ark+=13960=t96692w5h	50497	1181
uiuo.ark+=13960=t13n2s72x	68770	1669
uiuo.ark+=13960=t5w671c7p	41538	1501
uiuo.ark+=13960=t6c25fw6c	48781	1709
uiuo.ark+=13960=t79s29w7z	52362	1802
uiuo.ark+=13960=t18k7vt5k	38061	1174
uiuo.ark+=13960=t0vq3h35w	31558	1046
mdp.39015063976966	49500	1641
mdp.39015063977246	47764	1479
njp.32101049431032	820795	21992
njp.32101049431040	844195	27060
njp.32101000817351	787296	24228
njp.32101047811474	782285	29184
nyp.33433075814735	41529	962
mdp.39015029503011	43039	774
mdp.39015029503029	40672	601
mdp.39015029503003	43904	856
mdp.39015029503037	39886	818
nyp.33433074955034	68176	1948
nyp.33433074955026	75684	2272
nyp.33433074955018	56808	1585
nyp.33433074948518	73879	1707
nyp.33433075724090	35762	863
nyp.33433075724108	39592	909
nyp.33433075724116	42207	801
nyp.33433075724124	40922	757
nyp.33433074913264	49574	1097
nyp.33433074913272	46702	1100
nyp.33433074913280	45741	932
nyp.33433074913298	45649	868
uiuo.ark+=13960=t9572451c	55808	1306
uiuo.ark+=13960=t06x0248f	48481	1324
uiuo.ark+=13960=t5w675c99	50409	1211
uiuo.ark+=13960=t0ns1fr1q	47912	1129
uiuo.ark+=13960=t44q8kw5h	42744	669
uiuo.ark+=13960=t8mc9mw3b	46882	951
uiuo.ark+=13960=t7np2rz8s	47766	847
uiuo.ark+=13960=t3bz6wf26	50441	803
njp.32101068167194	55116	1111
njp.32101068167186	47069	1229
uiuo.ark+=13960=t76t1998v	68928	2257
uiuo.ark+=13960=t19k4zt0k	66722	2035
uiuo.ark+=13960=t2v41c088	66661	2019
uiuo.ark+=13960=t8z89vv9r	66394	2052
uc1.$b250156	47816	1159
uiuo.ark+=13960=t5v702d0j	60258	1568
uiuo.ark+=13960=t3nw03758	57089	1394
mdp.39015014117660	61074	1458
mdp.39015014117918	73337	2022
mdp.39015014117900	91014	2783
uiuo.ark+=13960=t44q87r9h	90889	2272
uiuo.ark+=13960=t6g16bg6q	89331	2041
uiuo.ark+=13960=t2f76q341	93363	2163
uiuo.ark+=13960=t20c59g5f	91968	2106
uiuo.ark+=13960=t45q58q09	94124	1798
pst.000006711061	83395	2290
pst.000006711085	78223	1820
pst.000006711092	82905	2014
pst.000006711108	80638	1946
nyp.33433074910369	109354	5062
nyp.33433074910377	107202	4547
uva.x001770566	108026	5165
uva.x001770565	102752	4781
njp.32101066755040	78987	1966
njp.32101066755057	72401	1465
njp.32101066755065	75037	1851
njp.32101066755073	76935	1775
nyp.33433075769871	61578	1595
nyp.33433075769897	61898	1605
uc2.ark+=13960=t4nk3kh11	109654	5532
uiuo.ark+=13960=t25b0k68x	127637	2753
uiuo.ark+=13960=t4gm8nx89	133587	2973
uc1.b3322633	130166	2919
uiuo.ark+=13960=t8ff47j1k	136806	3022
nyp.33433075743058	62449	1860
nyp.33433075743066	65570	2521
nyp.33433075743074	66683	2237
nyp.33433044180994	83029	2323
nyp.33433081596904	86368	2890
dul1.ark+=13960=t8df7h88h	64046	2225
uc1.$b250204	53056	1656
nyp.33433074943733	92419	2576
nyp.33433074943741	97646	2637
uc1.b3312072	151627	8444
uc1.b3326182	41073	1427
uc1.b3326183	38396	972
uc1.b3123708	83300	2426
uc1.b3123709	75701	2093
uc1.b3123710	79855	2327
uc1.b3123711	78906	2396
nyp.33433075884696	39211	1404
uc1.b3135311	42649	1443
uc1.b3135312	42295	1414
uc1.b3135313	40148	1567
uc1.b3135314	39951	1441
njp.32101038161665	79548	2188
njp.32101038161673	89005	2406
uc1.b3581573	106737	4478
uc2.ark+=13960=t2j67c031	123234	5671
uc2.ark+=13960=t9d50jh1j	127424	5781
nnc1.0315302636	39544	954
nnc1.0315302644	34784	778
nnc1.0315302652	45563	953
njp.32101068177987	63755	1348
njp.32101068177995	66213	1614
njp.32101068178019	60244	1282
uc1.b3143046	62458	1488
nyp.33433075729636	76083	1806
nyp.33433075729644	73267	1685
mdp.39015064575080	51759	1537
mdp.39015068372872	49131	1427
yale.39002043864520	199089	9262
uc1.b4104109	181753	5776
uiuo.ark+=13960=t49p39n8t	35760	700
uiuo.ark+=13960=t2b85hw0z	39163	824
uiuo.ark+=13960=t39z9dr9n	42435	659
hvd.hxkelx	72423	1517
njp.32101007066085	75695	1705
njp.32101007066069	72531	1884
uc1.$b287467	60089	1484
uiuo.ark+=13960=t12n5rc7j	56124	1431
uiuo.ark+=13960=t3029gc9s	56043	1502
nyp.33433067303846	102604	5254
nyp.33433067303853	99948	5190
nyp.33433067303861	103764	5996
uiuo.ark+=13960=t5k93g516	88703	2119
uiuo.ark+=13960=t80k2nk22	99374	2705
uc1.$b275035	103967	2232
uc1.b4104601	48696	1017
uc1.b4104602	54911	1345
uc1.b4104603	53994	1011
uiuo.ark+=13960=t5w67451b	64382	1600
uiuo.ark+=13960=t3bz6v35r	65381	1932
uiuo.ark+=13960=t3417mv2g	69246	2309
njp.32101017879931	180713	11275
uc2.ark+=13960=t7vm4gd68	119822	6700
mdp.39015039606887	102094	4707
uiuo.ark+=13960=t83j3r55b	64561	1421
uc1.b3322005	57520	1271
nyp.33433075723415	47646	1542
njp.32101069166229	50362	1720
uc1.b3322551	58013	2303
hvd.hxk4kn	111631	3206
hvd.hxk4kp	134122	3928
uc2.ark+=13960=t1kh0fr36	134840	6132
wu.89101370583	74669	2622
wu.89101370567	76645	2427
wu.89101370542	81221	2227
nnc1.0023361212	94790	3211
nnc1.0023361182	109156	3705
hvd.hwp4qg	100858	2293
hvd.hwp4r7	113804	2766
hvd.hwp4r8	109329	2269
hvd.hn1wah	82189	2251
hvd.hn1wag	84931	2585
uc2.ark+=13960=t5gb23h15	79946	2424
uiuo.ark+=13960=t5s760q0d	76249	2222
uiuo.ark+=13960=t86h56406	79956	2450
nyp.33433074915038	105905	3839
nyp.33433074915020	105895	3824
njp.32101068971348	68153	1394
njp.32101068971330	69690	1531
njp.32101068971322	55916	1411
uc1.$b250374	69603	2231
nyp.33433075750822	75396	2322
nyp.33433075750830	70177	1744
nyp.33433075744494	74686	2270
mdp.39015012355734	71048	2135
uiuo.ark+=13960=t74t77c6m	71729	2237
uiuo.ark+=13960=t08w41v7r	55976	1593
nyp.33433075764153	105196	2403
nyp.33433075764146	110154	2308
nyp.33433075764138	114136	2513
nyp.33433082532171	113516	5004
njp.32101068971140	75902	1704
njp.32101068971132	70149	1591
njp.32101067173714	216711	6923
uc1.b3331970	69494	1984
uc1.b3331971	70838	1864
uiuo.ark+=13960=t6d22hw5w	79836	2902
uiuo.ark+=13960=t9w09p03g	77494	2683
uiuo.ark+=13960=t15m6t80m	77254	2224
uc1.b3581583	65987	1864
uc1.b3581584	68784	2015
uc1.b3581585	72562	2118
mdp.39015011955898	80118	2388
nyp.33433082531934	79174	3298
nyp.33433082531942	80465	3258
uc1.b3322078	93847	3185
mdp.39015063870110	96469	3009
uc1.b3322080	92199	2715
uc1.b3324304	70530	2965
uc1.b3324305	67331	3045
uc1.b3324306	87373	3808
uiuo.ark+=13960=t2m623v1p	60301	1564
uc2.ark+=13960=t17m08867	56562	1277
uc1.$b250095	55031	1063
mdp.39015063967320	59122	1812
mdp.39015063967486	54915	1729
mdp.39015063967478	50060	1229
uiuo.ark+=13960=t89g67z7q	55122	1109
uiuo.ark+=13960=t2b85vp2c	51013	929
uiuo.ark+=13960=t4bp0pc22	52279	923
mdp.39015064544847	55122	1045
mdp.39015064544839	60098	1595
mdp.39015064544821	68896	1918
mdp.39015064544813	58880	1491
hvd.hwdf1s	63664	2233
uc1.b3578410	70207	1900
mdp.39015063994472	68530	1906
mdp.39015063994498	63170	1679
nyp.33433074855168	52175	1510
mdp.39015063967296	55483	1580
nyp.33433074855143	61845	1774
uc1.b3327591	81789	2824
uc1.b3327592	90607	3151
njp.32101069165387	65656	1942
njp.32101069165379	58594	1785
uc1.$b250561	73719	2659
mdp.39015065763081	79283	2482
mdp.39015068423428	83204	2847
uc2.ark+=13960=t8sb40478	72189	2401
nyp.33433074932389	72183	2956
uc1.b3322285	72290	3062
uc2.ark+=13960=t81j9d84q	63335	2373
uiuo.ark+=13960=t4wh3558f	64677	2273
uiuo.ark+=13960=t5t73084p	82259	2849
nyp.33433074868781	101965	3598
wu.89099755118	103416	3769
nyp.33433075742746	100873	3272
nyp.33433075742753	103092	3025
hvd.hn2rru	103490	3228
hvd.hn2rsf	115355	3582
mdp.39015065596887	100191	2849
nyp.33433075743645	105323	2906
uc2.ark+=13960=t08w3ds0n	76849	2451
uc1.b3123831	71406	1758
mdp.39015063617438	72519	1791
